source_drug_index,target_drug_index,original_similarity,task_similarity,kg_similarity,edge_origin
20,2,0.0,1.0000000000000002,0.9633150259944552,ORIGINAL
20,3,0.0,0.8613567692141091,0.9478675140998328,ORIGINAL
20,4,0.0,0.9434563530497265,1.0,ORIGINAL
20,5,0.0,0.9333333333333333,1.0,ORIGINAL
20,6,0.0,0.6324555320336759,0.9646784562203947,ORIGINAL
20,7,0.0,0.9090909090909091,1.0,ORIGINAL
20,8,0.0,0.8869685939836239,1.0,ORIGINAL
20,9,0.0,,1.0,ORIGINAL
21,549,0.9,0.9523809523809523,,ORIGINAL
21,739,0.9,0.9761870601839528,,ORIGINAL
21,0,0.0,,0.9787128308504259,ORIGINAL
21,1,0.0,0.9438798074485388,0.9787128308504259,ORIGINAL
21,2,0.0,0.9622504486493764,0.9352165916551258,ORIGINAL
21,3,0.0,0.9140905301589133,0.9507984159514022,ORIGINAL
21,4,0.0,0.9503819266229829,0.9787128308504259,ORIGINAL
21,5,0.0,0.9428090415820635,0.9787128308504259,ORIGINAL
21,6,0.0,0.7089175569585667,0.9503441962871676,ORIGINAL
21,7,0.0,0.8421052631578946,0.9787128308504259,ORIGINAL
22,0,0.0,,0.9464225387447485,ORIGINAL
22,1,0.0,,0.9464225387447485,ORIGINAL
22,2,0.0,,0.9364023515847217,ORIGINAL
22,3,0.0,,0.946063815064017,ORIGINAL
22,4,0.0,,0.9464225387447485,ORIGINAL
22,5,0.0,,0.9464225387447485,ORIGINAL
22,6,0.0,,0.9660329857432681,ORIGINAL
22,7,0.0,,0.9464225387447485,ORIGINAL
22,8,0.0,,0.9464225387447485,ORIGINAL
22,9,0.0,,0.9464225387447485,ORIGINAL
23,0,0.0,,0.9738458758990994,ORIGINAL
23,1,0.0,0.944911182523068,0.9738458758990994,ORIGINAL
23,2,0.0,0.9594032236002469,0.9545809525599896,ORIGINAL
23,3,0.0,0.8997354108424374,0.9713391354286336,ORIGINAL
23,4,0.0,0.9486832980505138,0.9738458758990994,ORIGINAL
23,5,0.0,0.9999999999999999,0.9738458758990994,ORIGINAL
23,6,0.0,0.9594032236002469,0.9212287384896999,ORIGINAL
23,7,0.0,0.944911182523068,0.9738458758990994,ORIGINAL
23,8,0.0,0.9622504486493764,0.9738458758990994,ORIGINAL
23,9,0.0,0.9486832980505138,0.9738458758990994,ORIGINAL
24,0,0.0,-0.447213595499958,0.9806790826880305,ORIGINAL
24,1,0.0,0.5855400437691199,0.9806790826880305,ORIGINAL
24,2,0.0,0.6199304198780667,0.9341955269643447,ORIGINAL
24,3,0.0,0.42092222111001554,0.9453174429785006,ORIGINAL
24,4,0.0,0.4536323543632774,0.9806790826880305,ORIGINAL
24,5,0.0,0.4588314677411235,0.9806790826880305,ORIGINAL
24,6,0.0,0.5714285714285714,0.9561958130021706,ORIGINAL
24,7,0.0,0.7092081432669752,0.9806790826880305,ORIGINAL
24,8,0.0,0.44543540318737396,0.9806790826880305,ORIGINAL
24,9,0.0,0.8838834764831844,0.9806790826880305,ORIGINAL
25,0,0.0,,0.9317824658482984,ORIGINAL
25,1,0.0,0.8164965809277259,0.9317824658482984,ORIGINAL
25,2,0.0,0.4364357804719848,0.9481723036225334,ORIGINAL
25,3,0.0,0.7071067811865475,0.9184882791854332,ORIGINAL
25,4,0.0,0.9428090415820635,0.9317824658482984,ORIGINAL
25,5,0.0,0.5330017908890261,0.9317824658482984,ORIGINAL
25,6,0.0,0.6666666666666667,0.9277148474475789,ORIGINAL
25,7,0.0,0.9486832980505138,0.9317824658482984,ORIGINAL
25,8,0.0,0.9486832980505138,0.9317824658482984,ORIGINAL
25,9,0.0,0.2834733547569204,0.9317824658482984,ORIGINAL
26,0,0.0,,0.9806790815403282,ORIGINAL
26,1,0.0,1.0,0.9806790815403282,ORIGINAL
26,2,0.0,0.9058216273156767,0.9341955258135484,ORIGINAL
26,3,0.0,0.8333333333333334,0.9453174438792368,ORIGINAL
26,4,0.0,0.9622504486493763,0.9806790815403282,ORIGINAL
26,5,0.0,0.9999999999999999,0.9806790815403282,ORIGINAL
26,6,0.0,0.4629100498862757,0.9561958137126199,ORIGINAL
26,7,0.0,,0.9806790815403282,ORIGINAL
26,8,0.0,0.9622504486493763,0.9806790815403282,ORIGINAL
26,9,0.0,0.9561828874675149,0.9806790815403282,ORIGINAL
27,0,0.0,,0.9472315702303523,ORIGINAL
27,1,0.0,,0.9472315702303523,ORIGINAL
27,2,0.0,,0.9299349183050548,ORIGINAL
27,3,0.0,,0.900893001940777,ORIGINAL
27,4,0.0,,0.9472315702303523,ORIGINAL
27,5,0.0,0.9428090415820635,0.9472315702303523,ORIGINAL
27,6,0.0,,0.9765532417861429,ORIGINAL
27,7,0.0,0.9525793444156805,0.9472315702303523,ORIGINAL
27,8,0.0,0.9428090415820635,0.9472315702303523,ORIGINAL
27,9,0.0,,0.9472315702303523,ORIGINAL
28,0,0.0,0.0,0.9633150259944552,ORIGINAL
28,1,0.0,0.882522608121828,0.9633150259944552,ORIGINAL
28,2,0.0,0.5477225575051661,0.9999999999999993,ORIGINAL
28,3,0.0,0.4654746681256313,0.9777320874553711,ORIGINAL
28,4,0.0,0.9128709291752769,0.9633150259944552,ORIGINAL
28,5,0.0,0.6999999999999998,0.9633150259944552,ORIGINAL
28,6,0.0,0.1690308509457033,0.9658346052796958,ORIGINAL
28,7,0.0,0.5163977794943222,0.9633150259944552,ORIGINAL
28,8,0.0,0.6622661785325219,0.9633150259944552,ORIGINAL
28,9,0.0,0.6172133998483676,0.9633150259944552,ORIGINAL
29,0,0.0,,0.9547094717688748,ORIGINAL
29,1,0.0,,0.9547094717688748,ORIGINAL
29,2,0.0,0.9428090415820635,0.9773974148095274,ORIGINAL
29,3,0.0,0.9438798074485389,0.9866204906090082,ORIGINAL
29,4,0.0,,0.9547094717688748,ORIGINAL
29,5,0.0,,0.9547094717688748,ORIGINAL
29,6,0.0,,0.9639000526449375,ORIGINAL
29,7,0.0,,0.9547094717688748,ORIGINAL
29,8,0.0,,0.9547094717688748,ORIGINAL
29,9,0.0,,0.9547094717688748,ORIGINAL
30,0,0.0,,0.9999999999999963,ORIGINAL
30,1,0.0,0.9486832980505138,0.9999999999999963,ORIGINAL
30,2,0.0,0.9467292624062573,0.963315030649272,ORIGINAL
30,3,0.0,0.9293203772845849,0.9478675182060994,ORIGINAL
30,4,0.0,0.9561828874675149,0.9999999999999963,ORIGINAL
30,5,0.0,0.9428090415820634,0.9999999999999963,ORIGINAL
30,6,0.0,0.4364357804719848,0.9646784581218443,ORIGINAL
30,7,0.0,0.9723055853282466,0.9999999999999963,ORIGINAL
30,8,0.0,0.9013878188659974,0.9999999999999963,ORIGINAL
30,9,0.0,0.7745966692414834,0.9999999999999963,ORIGINAL
31,0,0.0,,0.9265269144557784,ORIGINAL
31,1,0.0,0.5,0.9265269144557784,ORIGINAL
31,2,0.0,0.4082482904638631,0.8674344100157444,ORIGINAL
31,3,0.0,0.5303300858899106,0.8508475952763901,ORIGINAL
31,4,0.0,0.8660254037844387,0.9265269144557784,ORIGINAL
31,5,0.0,0.7071067811865475,0.9265269144557784,ORIGINAL
31,6,0.0,0.35355339059327373,0.9305804524064215,ORIGINAL
31,7,0.0,,0.9265269144557784,ORIGINAL
31,8,0.0,,0.9265269144557784,ORIGINAL
31,9,0.0,0.6666666666666666,0.9265269144557784,ORIGINAL
32,0,0.0,,0.961120586841919,ORIGINAL
32,1,0.0,0.944911182523068,0.961120586841919,ORIGINAL
32,2,0.0,,0.9521660180930676,ORIGINAL
32,3,0.0,,0.9352301584940231,ORIGINAL
32,4,0.0,0.9622504486493763,0.961120586841919,ORIGINAL
32,5,0.0,1.0000000000000002,0.961120586841919,ORIGINAL
32,6,0.0,0.3651483716701107,0.9665349418267045,ORIGINAL
32,7,0.0,,0.961120586841919,ORIGINAL
32,8,0.0,,0.961120586841919,ORIGINAL
32,9,0.0,,0.961120586841919,ORIGINAL
33,0,0.0,0.9999999999999998,0.9949147262909888,ORIGINAL
33,1,0.0,0.9434563530497265,0.9949147262909888,ORIGINAL
33,2,0.0,0.9061030445113443,0.9513045252701238,ORIGINAL
33,3,0.0,0.8890008890013334,0.9266304177681179,ORIGINAL
33,4,0.0,0.8804087784801331,0.9949147262909888,ORIGINAL
33,5,0.0,0.9315516419063741,0.9949147262909888,ORIGINAL
33,6,0.0,0.4803844614152614,0.9703037312415322,ORIGINAL
33,7,0.0,0.968962790249909,0.9949147262909888,ORIGINAL
33,8,0.0,0.8677218312746247,0.9949147262909888,ORIGINAL
33,9,0.0,0.9429541672723838,0.9949147262909888,ORIGINAL
34,0,0.0,,1.0,ORIGINAL
34,1,0.0,0.75,1.0,ORIGINAL
34,2,0.0,0.37796447300922725,0.9633150259944552,ORIGINAL
34,3,0.0,0.4615930911724977,0.9478675140998328,ORIGINAL
34,4,0.0,0.7071067811865476,1.0,ORIGINAL
34,5,0.0,0.5477225575051661,1.0,ORIGINAL
34,6,0.0,0.47673129462279606,0.9646784562203947,ORIGINAL
34,7,0.0,0.5892556509887896,1.0,ORIGINAL
34,8,0.0,0.6187184335382291,1.0,ORIGINAL
34,9,0.0,0.6885303726590962,1.0,ORIGINAL
35,0,0.0,,0.9420432252655582,ORIGINAL
