node_index,node_id,node_type,name,source
199,BIOKORF_DRUG_199,BIOKORF_DRUG,foscarnet,BioKORF
200,BIOKORF_DRUG_200,BIOKORF_DRUG,erlotinib,BioKORF
201,BIOKORF_DRUG_201,BIOKORF_DRUG,cyclophosphamide,BioKORF
202,BIOKORF_DRUG_202,BIOKORF_DRUG,rofecoxib,BioKORF
203,BIOKORF_DRUG_203,BIOKORF_DRUG,ciprofloxacin,BioKORF
204,BIOKORF_DRUG_204,BIOKORF_DRUG,gadoversetamide,BioKORF
205,BIOKORF_DRUG_205,BIOKORF_DRUG,toremifene,BioKORF
206,BIOKORF_DRUG_206,BIOKORF_DRUG,vincristine,BioKORF
207,BIOKORF_DRUG_207,BIOKORF_DRUG,benazepril,BioKORF
208,BIOKORF_DRUG_208,BIOKORF_DRUG,fluorouracil,BioKORF
209,BIOKORF_DRUG_209,BIOKORF_DRUG,pyridostigmine,BioKORF
210,BIOKORF_DRUG_210,BIOKORF_DRUG,azelaic.acid,BioKORF
211,BIOKORF_DRUG_211,BIOKORF_DRUG,zafirlukast,BioKORF
212,BIOKORF_DRUG_212,BIOKORF_DRUG,pentostatin,BioKORF
213,BIOKORF_DRUG_213,BIOKORF_DRUG,piroxicam,BioKORF
214,BIOKORF_DRUG_214,BIOKORF_DRUG,lamotrigine,BioKORF
215,BIOKORF_DRUG_215,BIOKORF_DRUG,zanamivir,BioKORF
216,BIOKORF_DRUG_216,BIOKORF_DRUG,bosentan,BioKORF
217,BIOKORF_DRUG_217,BIOKORF_DRUG,tigecycline,BioKORF
218,BIOKORF_DRUG_218,BIOKORF_DRUG,methotrexate,BioKORF
219,BIOKORF_DRUG_219,BIOKORF_DRUG,carbamazepine,BioKORF
220,BIOKORF_DRUG_220,BIOKORF_DRUG,cisatracurium,BioKORF
221,BIOKORF_DRUG_221,BIOKORF_DRUG,fondaparinux,BioKORF
222,BIOKORF_DRUG_222,BIOKORF_DRUG,propranolol,BioKORF
223,BIOKORF_DRUG_223,BIOKORF_DRUG,clonidine,BioKORF
224,BIOKORF_DRUG_224,BIOKORF_DRUG,valaciclovir,BioKORF
225,BIOKORF_DRUG_225,BIOKORF_DRUG,valdecoxib,BioKORF
226,BIOKORF_DRUG_226,BIOKORF_DRUG,voriconazole,BioKORF
227,BIOKORF_DRUG_227,BIOKORF_DRUG,levocarnitine,BioKORF
228,BIOKORF_DRUG_228,BIOKORF_DRUG,enalapril,BioKORF
229,BIOKORF_DRUG_229,BIOKORF_DRUG,nizatidine,BioKORF
230,BIOKORF_DRUG_230,BIOKORF_DRUG,diclofenac,BioKORF
231,BIOKORF_DRUG_231,BIOKORF_DRUG,doxazosin,BioKORF
232,BIOKORF_DRUG_232,BIOKORF_DRUG,amiloride,BioKORF
233,BIOKORF_DRUG_233,BIOKORF_DRUG,gadoteridol,BioKORF
234,BIOKORF_DRUG_234,BIOKORF_DRUG,labetalol,BioKORF
235,BIOKORF_DRUG_235,BIOKORF_DRUG,linezolid,BioKORF
236,BIOKORF_DRUG_236,BIOKORF_DRUG,ivermectin,BioKORF
237,BIOKORF_DRUG_237,BIOKORF_DRUG,medroxyprogesterone,BioKORF
238,BIOKORF_DRUG_238,BIOKORF_DRUG,butorphanol,BioKORF
239,BIOKORF_DRUG_239,BIOKORF_DRUG,bisoprolol,BioKORF
240,BIOKORF_DRUG_240,BIOKORF_DRUG,rifabutin,BioKORF
241,BIOKORF_DRUG_241,BIOKORF_DRUG,imatinib,BioKORF
242,BIOKORF_DRUG_242,BIOKORF_DRUG,triamcinolone,BioKORF
243,BIOKORF_DRUG_243,BIOKORF_DRUG,testosterone,BioKORF
244,BIOKORF_DRUG_244,BIOKORF_DRUG,efavirenz,BioKORF
245,BIOKORF_DRUG_245,BIOKORF_DRUG,alendronic.acid,BioKORF
246,BIOKORF_DRUG_246,BIOKORF_DRUG,clofarabine,BioKORF
247,BIOKORF_DRUG_247,BIOKORF_DRUG,dexmedetomidine,BioKORF
248,BIOKORF_DRUG_248,BIOKORF_DRUG,adenosine,BioKORF
249,BIOKORF_DRUG_249,BIOKORF_DRUG,simvastatin,BioKORF
250,BIOKORF_DRUG_250,BIOKORF_DRUG,pemetrexed,BioKORF
251,BIOKORF_DRUG_251,BIOKORF_DRUG,gonadorelin,BioKORF
252,BIOKORF_DRUG_252,BIOKORF_DRUG,stavudine,BioKORF
253,BIOKORF_DRUG_253,BIOKORF_DRUG,calcium.folinate,BioKORF
254,BIOKORF_DRUG_254,BIOKORF_DRUG,latanoprost,BioKORF
255,BIOKORF_DRUG_255,BIOKORF_DRUG,estrone,BioKORF
256,BIOKORF_DRUG_256,BIOKORF_DRUG,trazodone,BioKORF
257,BIOKORF_DRUG_257,BIOKORF_DRUG,sevelamer,BioKORF
258,BIOKORF_DRUG_258,BIOKORF_DRUG,acamprosate,BioKORF
259,BIOKORF_DRUG_259,BIOKORF_DRUG,verapamil,BioKORF
260,BIOKORF_DRUG_260,BIOKORF_DRUG,nilutamide,BioKORF
261,BIOKORF_DRUG_261,BIOKORF_DRUG,nafarelin,BioKORF
262,BIOKORF_DRUG_262,BIOKORF_DRUG,sumatriptan,BioKORF
263,BIOKORF_DRUG_263,BIOKORF_DRUG,cefixime,BioKORF
264,BIOKORF_DRUG_264,BIOKORF_DRUG,aprepitant,BioKORF
265,BIOKORF_DRUG_265,BIOKORF_DRUG,galantamine,BioKORF
266,BIOKORF_DRUG_266,BIOKORF_DRUG,tamoxifen,BioKORF
267,BIOKORF_DRUG_267,BIOKORF_DRUG,losartan,BioKORF
268,BIOKORF_DRUG_268,BIOKORF_DRUG,amphotericin.B,BioKORF
269,BIOKORF_DRUG_269,BIOKORF_DRUG,midazolam,BioKORF
270,BIOKORF_DRUG_270,BIOKORF_DRUG,tobramycin,BioKORF
271,BIOKORF_DRUG_271,BIOKORF_DRUG,trovafloxacin,BioKORF
272,BIOKORF_DRUG_272,BIOKORF_DRUG,pentosan.polysulfate.sodium,BioKORF
273,BIOKORF_DRUG_273,BIOKORF_DRUG,moexipril,BioKORF
274,BIOKORF_DRUG_274,BIOKORF_DRUG,phentolamine,BioKORF
275,BIOKORF_DRUG_275,BIOKORF_DRUG,fluorescein,BioKORF
276,BIOKORF_DRUG_276,BIOKORF_DRUG,daunorubicin,BioKORF
277,BIOKORF_DRUG_277,BIOKORF_DRUG,furosemide,BioKORF
278,BIOKORF_DRUG_278,BIOKORF_DRUG,tizanidine,BioKORF
279,BIOKORF_DRUG_279,BIOKORF_DRUG,eplerenone,BioKORF
280,BIOKORF_DRUG_280,BIOKORF_DRUG,amprenavir,BioKORF
281,BIOKORF_DRUG_281,BIOKORF_DRUG,naltrexone,BioKORF
282,BIOKORF_DRUG_282,BIOKORF_DRUG,delavirdine,BioKORF
283,BIOKORF_DRUG_283,BIOKORF_DRUG,tamsulosin,BioKORF
284,BIOKORF_DRUG_284,BIOKORF_DRUG,porfimer.sodium,BioKORF
285,BIOKORF_DRUG_285,BIOKORF_DRUG,sufentanil,BioKORF
286,BIOKORF_DRUG_286,BIOKORF_DRUG,lamivudine,BioKORF
287,BIOKORF_DRUG_287,BIOKORF_DRUG,ibandronic.acid,BioKORF
288,BIOKORF_DRUG_288,BIOKORF_DRUG,apomorphine,BioKORF
289,BIOKORF_DRUG_289,BIOKORF_DRUG,paroxetine,BioKORF
290,BIOKORF_DRUG_290,BIOKORF_DRUG,adefovir.dipivoxil,BioKORF
291,BIOKORF_DRUG_291,BIOKORF_DRUG,lisinopril,BioKORF
292,BIOKORF_DRUG_292,BIOKORF_DRUG,imiquimod,BioKORF
293,BIOKORF_DRUG_293,BIOKORF_DRUG,glyceryl.trinitrate,BioKORF
294,BIOKORF_DRUG_294,BIOKORF_DRUG,nateglinide,BioKORF
295,BIOKORF_DRUG_295,BIOKORF_DRUG,risperidone,BioKORF
296,BIOKORF_DRUG_296,BIOKORF_DRUG,naftifine,BioKORF
297,BIOKORF_DRUG_297,BIOKORF_DRUG,esomeprazole,BioKORF
298,BIOKORF_DRUG_298,BIOKORF_DRUG,pentamidine.isethionate,BioKORF
299,BIOKORF_DRUG_299,BIOKORF_DRUG,riluzole,BioKORF
300,BIOKORF_DRUG_300,BIOKORF_DRUG,hydrocortisone,BioKORF
301,BIOKORF_DRUG_301,BIOKORF_DRUG,mannitol,BioKORF
302,BIOKORF_DRUG_302,BIOKORF_DRUG,gadobenic.acid,BioKORF
303,BIOKORF_DRUG_303,BIOKORF_DRUG,modafinil,BioKORF
304,BIOKORF_DRUG_304,BIOKORF_DRUG,deferoxamine,BioKORF
305,BIOKORF_DRUG_305,BIOKORF_DRUG,tretinoin,BioKORF
306,BIOKORF_DRUG_306,BIOKORF_DRUG,dolasetron,BioKORF
307,BIOKORF_DRUG_307,BIOKORF_DRUG,clopidogrel,BioKORF
308,BIOKORF_DRUG_308,BIOKORF_DRUG,meropenem,BioKORF
309,BIOKORF_DRUG_309,BIOKORF_DRUG,irinotecan,BioKORF
310,BIOKORF_DRUG_310,BIOKORF_DRUG,olopatadine,BioKORF
311,BIOKORF_DRUG_311,BIOKORF_DRUG,alprostadil,BioKORF
312,BIOKORF_DRUG_312,BIOKORF_DRUG,etoposide,BioKORF
313,BIOKORF_DRUG_313,BIOKORF_DRUG,tirofiban,BioKORF
314,BIOKORF_DRUG_314,BIOKORF_DRUG,oxcarbazepine,BioKORF
315,BIOKORF_DRUG_315,BIOKORF_DRUG,estradiol,BioKORF
316,BIOKORF_DRUG_316,BIOKORF_DRUG,aciclovir,BioKORF
317,BIOKORF_DRUG_317,BIOKORF_DRUG,naproxen,BioKORF
318,BIOKORF_DRUG_318,BIOKORF_DRUG,perindopril,BioKORF
319,BIOKORF_DRUG_319,BIOKORF_DRUG,sulfasalazine,BioKORF
320,BIOKORF_DRUG_320,BIOKORF_DRUG,tazarotene,BioKORF
321,BIOKORF_DRUG_321,BIOKORF_DRUG,alfentanil,BioKORF
322,BIOKORF_DRUG_322,BIOKORF_DRUG,dicycloverine,BioKORF
323,BIOKORF_DRUG_323,BIOKORF_DRUG,pentoxifylline,BioKORF
324,BIOKORF_DRUG_324,BIOKORF_DRUG,indapamide,BioKORF
325,BIOKORF_DRUG_325,BIOKORF_DRUG,ribavirin,BioKORF
326,BIOKORF_DRUG_326,BIOKORF_DRUG,fentanyl,BioKORF
327,BIOKORF_DRUG_327,BIOKORF_DRUG,meloxicam,BioKORF
328,BIOKORF_DRUG_328,BIOKORF_DRUG,orciprenaline,BioKORF
329,BIOKORF_DRUG_329,BIOKORF_DRUG,tadalafil,BioKORF
330,BIOKORF_DRUG_330,BIOKORF_DRUG,fosfomycin,BioKORF
331,BIOKORF_DRUG_331,BIOKORF_DRUG,diazepam,BioKORF
332,BIOKORF_DRUG_332,BIOKORF_DRUG,cefaclor,BioKORF
333,BIOKORF_DRUG_333,BIOKORF_DRUG,mifepristone,BioKORF
334,BIOKORF_DRUG_334,BIOKORF_DRUG,donepezil,BioKORF
335,BIOKORF_DRUG_335,BIOKORF_DRUG,mercaptamine,BioKORF
336,BIOKORF_DRUG_336,BIOKORF_DRUG,dacarbazine,BioKORF
337,BIOKORF_DRUG_337,BIOKORF_DRUG,temozolomide,BioKORF
338,BIOKORF_DRUG_338,BIOKORF_DRUG,aminolevulinic.acid,BioKORF
339,BIOKORF_DRUG_339,BIOKORF_DRUG,terbinafine,BioKORF
340,BIOKORF_DRUG_340,BIOKORF_DRUG,penicillamine,BioKORF
341,BIOKORF_DRUG_341,BIOKORF_DRUG,vardenafil,BioKORF
342,BIOKORF_DRUG_342,BIOKORF_DRUG,tacrolimus,BioKORF
343,BIOKORF_DRUG_343,BIOKORF_DRUG,terbutaline,BioKORF
344,BIOKORF_DRUG_344,BIOKORF_DRUG,conivaptan,BioKORF
