matrix_index,biokorf_drug_id,graph_node_index,has_kg_connection
239,BIOKORF_DRUG_239,239,True
240,BIOKORF_DRUG_240,240,True
241,BIOKORF_DRUG_241,241,True
242,BIOKORF_DRUG_242,242,True
243,BIOKORF_DRUG_243,243,True
244,BIOKORF_DRUG_244,244,True
245,BIOKORF_DRUG_245,245,True
246,BIOKORF_DRUG_246,246,True
247,BIOKORF_DRUG_247,247,True
248,BIOKORF_DRUG_248,248,True
249,BIOKORF_DRUG_249,249,True
250,BIOKORF_DRUG_250,250,True
251,BIOKORF_DRUG_251,251,True
252,BIOKORF_DRUG_252,252,True
253,BIOKORF_DRUG_253,253,True
254,BIOKORF_DRUG_254,254,True
255,BIOKORF_DRUG_255,255,True
256,BIOKORF_DRUG_256,256,True
257,BIOKORF_DRUG_257,257,True
258,BIOKORF_DRUG_258,258,True
259,BIOKORF_DRUG_259,259,True
260,BIOKORF_DRUG_260,260,True
261,BIOKORF_DRUG_261,261,False
262,BIOKORF_DRUG_262,262,True
263,BIOKORF_DRUG_263,263,True
264,BIOKORF_DRUG_264,264,True
265,BIOKORF_DRUG_265,265,True
266,BIOKORF_DRUG_266,266,True
267,BIOKORF_DRUG_267,267,True
268,BIOKORF_DRUG_268,268,True
269,BIOKORF_DRUG_269,269,True
270,BIOKORF_DRUG_270,270,True
271,BIOKORF_DRUG_271,271,True
272,BIOKORF_DRUG_272,272,False
273,BIOKORF_DRUG_273,273,False
274,BIOKORF_DRUG_274,274,True
275,BIOKORF_DRUG_275,275,False
276,BIOKORF_DRUG_276,276,True
277,BIOKORF_DRUG_277,277,True
278,BIOKORF_DRUG_278,278,True
279,BIOKORF_DRUG_279,279,True
280,BIOKORF_DRUG_280,280,True
281,BIOKORF_DRUG_281,281,True
282,BIOKORF_DRUG_282,282,True
283,BIOKORF_DRUG_283,283,True
284,BIOKORF_DRUG_284,284,True
285,BIOKORF_DRUG_285,285,True
286,BIOKORF_DRUG_286,286,True
287,BIOKORF_DRUG_287,287,True
288,BIOKORF_DRUG_288,288,True
289,BIOKORF_DRUG_289,289,True
290,BIOKORF_DRUG_290,290,True
291,BIOKORF_DRUG_291,291,True
292,BIOKORF_DRUG_292,292,True
293,BIOKORF_DRUG_293,293,True
294,BIOKORF_DRUG_294,294,True
295,BIOKORF_DRUG_295,295,True
296,BIOKORF_DRUG_296,296,True
297,BIOKORF_DRUG_297,297,True
298,BIOKORF_DRUG_298,298,False
299,BIOKORF_DRUG_299,299,True
300,BIOKORF_DRUG_300,300,True
301,BIOKORF_DRUG_301,301,True
302,BIOKORF_DRUG_302,302,True
303,BIOKORF_DRUG_303,303,True
304,BIOKORF_DRUG_304,304,True
305,BIOKORF_DRUG_305,305,True
306,BIOKORF_DRUG_306,306,True
307,BIOKORF_DRUG_307,307,True
308,BIOKORF_DRUG_308,308,True
309,BIOKORF_DRUG_309,309,True
310,BIOKORF_DRUG_310,310,True
