matrix_index,biokorf_side_id,graph_node_index,has_kg_connection
309,BIOKORF_SIDE_309,1066,False
310,BIOKORF_SIDE_310,1067,False
311,BIOKORF_SIDE_311,1068,False
312,BIOKORF_SIDE_312,1069,True
313,BIOKORF_SIDE_313,1070,False
314,BIOKORF_SIDE_314,1071,False
315,BIOKORF_SIDE_315,1072,False
316,BIOKORF_SIDE_316,1073,False
317,BIOKORF_SIDE_317,1074,False
318,BIOKORF_SIDE_318,1075,True
319,BIOKORF_SIDE_319,1076,False
320,BIOKORF_SIDE_320,1077,False
321,BIOKORF_SIDE_321,1078,False
322,BIOKORF_SIDE_322,1079,False
323,BIOKORF_SIDE_323,1080,True
324,BIOKORF_SIDE_324,1081,False
325,BIOKORF_SIDE_325,1082,False
326,BIOKORF_SIDE_326,1083,False
327,BIOKORF_SIDE_327,1084,True
328,BIOKORF_SIDE_328,1085,False
329,BIOKORF_SIDE_329,1086,False
330,BIOKORF_SIDE_330,1087,False
331,BIOKORF_SIDE_331,1088,False
332,BIOKORF_SIDE_332,1089,True
333,BIOKORF_SIDE_333,1090,True
334,BIOKORF_SIDE_334,1091,False
335,BIOKORF_SIDE_335,1092,False
336,BIOKORF_SIDE_336,1093,False
337,BIOKORF_SIDE_337,1094,False
338,BIOKORF_SIDE_338,1095,False
339,BIOKORF_SIDE_339,1096,False
340,BIOKORF_SIDE_340,1097,True
341,BIOKORF_SIDE_341,1098,False
342,BIOKORF_SIDE_342,1099,False
343,BIOKORF_SIDE_343,1100,True
344,BIOKORF_SIDE_344,1101,False
345,BIOKORF_SIDE_345,1102,True
346,BIOKORF_SIDE_346,1103,False
347,BIOKORF_SIDE_347,1104,False
348,BIOKORF_SIDE_348,1105,True
349,BIOKORF_SIDE_349,1106,False
350,BIOKORF_SIDE_350,1107,False
351,BIOKORF_SIDE_351,1108,False
352,BIOKORF_SIDE_352,1109,False
353,BIOKORF_SIDE_353,1110,True
354,BIOKORF_SIDE_354,1111,False
355,BIOKORF_SIDE_355,1112,False
356,BIOKORF_SIDE_356,1113,False
357,BIOKORF_SIDE_357,1114,False
358,BIOKORF_SIDE_358,1115,False
359,BIOKORF_SIDE_359,1116,True
360,BIOKORF_SIDE_360,1117,False
361,BIOKORF_SIDE_361,1118,True
362,BIOKORF_SIDE_362,1119,True
363,BIOKORF_SIDE_363,1120,True
364,BIOKORF_SIDE_364,1121,False
365,BIOKORF_SIDE_365,1122,False
366,BIOKORF_SIDE_366,1123,False
367,BIOKORF_SIDE_367,1124,False
368,BIOKORF_SIDE_368,1125,False
369,BIOKORF_SIDE_369,1126,False
370,BIOKORF_SIDE_370,1127,True
371,BIOKORF_SIDE_371,1128,False
372,BIOKORF_SIDE_372,1129,True
373,BIOKORF_SIDE_373,1130,True
374,BIOKORF_SIDE_374,1131,False
375,BIOKORF_SIDE_375,1132,False
376,BIOKORF_SIDE_376,1133,False
377,BIOKORF_SIDE_377,1134,False
378,BIOKORF_SIDE_378,1135,True
379,BIOKORF_SIDE_379,1136,True
380,BIOKORF_SIDE_380,1137,False
381,BIOKORF_SIDE_381,1138,False
382,BIOKORF_SIDE_382,1139,False
383,BIOKORF_SIDE_383,1140,True
384,BIOKORF_SIDE_384,1141,False
385,BIOKORF_SIDE_385,1142,False
386,BIOKORF_SIDE_386,1143,False
387,BIOKORF_SIDE_387,1144,False
388,BIOKORF_SIDE_388,1145,True
389,BIOKORF_SIDE_389,1146,False
390,BIOKORF_SIDE_390,1147,False
391,BIOKORF_SIDE_391,1148,False
392,BIOKORF_SIDE_392,1149,False
393,BIOKORF_SIDE_393,1150,False
394,BIOKORF_SIDE_394,1151,True
395,BIOKORF_SIDE_395,1152,True
396,BIOKORF_SIDE_396,1153,False
397,BIOKORF_SIDE_397,1154,False
398,BIOKORF_SIDE_398,1155,False
399,BIOKORF_SIDE_399,1156,True
400,BIOKORF_SIDE_400,1157,False
401,BIOKORF_SIDE_401,1158,True
402,BIOKORF_SIDE_402,1159,False
403,BIOKORF_SIDE_403,1160,False
404,BIOKORF_SIDE_404,1161,True
405,BIOKORF_SIDE_405,1162,True
406,BIOKORF_SIDE_406,1163,True
407,BIOKORF_SIDE_407,1164,True
408,BIOKORF_SIDE_408,1165,True
409,BIOKORF_SIDE_409,1166,True
410,BIOKORF_SIDE_410,1167,False
411,BIOKORF_SIDE_411,1168,False
412,BIOKORF_SIDE_412,1169,False
413,BIOKORF_SIDE_413,1170,True
414,BIOKORF_SIDE_414,1171,False
415,BIOKORF_SIDE_415,1172,True
416,BIOKORF_SIDE_416,1173,True
417,BIOKORF_SIDE_417,1174,False
418,BIOKORF_SIDE_418,1175,False
419,BIOKORF_SIDE_419,1176,True
420,BIOKORF_SIDE_420,1177,False
421,BIOKORF_SIDE_421,1178,True
422,BIOKORF_SIDE_422,1179,False
423,BIOKORF_SIDE_423,1180,True
424,BIOKORF_SIDE_424,1181,False
425,BIOKORF_SIDE_425,1182,False
426,BIOKORF_SIDE_426,1183,False
427,BIOKORF_SIDE_427,1184,False
428,BIOKORF_SIDE_428,1185,False
429,BIOKORF_SIDE_429,1186,False
430,BIOKORF_SIDE_430,1187,False
431,BIOKORF_SIDE_431,1188,True
432,BIOKORF_SIDE_432,1189,True
433,BIOKORF_SIDE_433,1190,False
434,BIOKORF_SIDE_434,1191,True
435,BIOKORF_SIDE_435,1192,False
436,BIOKORF_SIDE_436,1193,False
437,BIOKORF_SIDE_437,1194,False
438,BIOKORF_SIDE_438,1195,False
439,BIOKORF_SIDE_439,1196,False
440,BIOKORF_SIDE_440,1197,False
441,BIOKORF_SIDE_441,1198,False
442,BIOKORF_SIDE_442,1199,False
443,BIOKORF_SIDE_443,1200,True
444,BIOKORF_SIDE_444,1201,False
445,BIOKORF_SIDE_445,1202,True
446,BIOKORF_SIDE_446,1203,False
447,BIOKORF_SIDE_447,1204,False
448,BIOKORF_SIDE_448,1205,True
449,BIOKORF_SIDE_449,1206,False
450,BIOKORF_SIDE_450,1207,False
451,BIOKORF_SIDE_451,1208,True
452,BIOKORF_SIDE_452,1209,False
453,BIOKORF_SIDE_453,1210,False
454,BIOKORF_SIDE_454,1211,False
455,BIOKORF_SIDE_455,1212,False
456,BIOKORF_SIDE_456,1213,False
457,BIOKORF_SIDE_457,1214,False
458,BIOKORF_SIDE_458,1215,True
459,BIOKORF_SIDE_459,1216,False
460,BIOKORF_SIDE_460,1217,False
461,BIOKORF_SIDE_461,1218,False
462,BIOKORF_SIDE_462,1219,False
463,BIOKORF_SIDE_463,1220,False
464,BIOKORF_SIDE_464,1221,False
465,BIOKORF_SIDE_465,1222,False
466,BIOKORF_SIDE_466,1223,False
467,BIOKORF_SIDE_467,1224,False
468,BIOKORF_SIDE_468,1225,True
469,BIOKORF_SIDE_469,1226,False
470,BIOKORF_SIDE_470,1227,True
471,BIOKORF_SIDE_471,1228,True
472,BIOKORF_SIDE_472,1229,True
473,BIOKORF_SIDE_473,1230,False
474,BIOKORF_SIDE_474,1231,False
475,BIOKORF_SIDE_475,1232,True
476,BIOKORF_SIDE_476,1233,False
477,BIOKORF_SIDE_477,1234,True
478,BIOKORF_SIDE_478,1235,False
479,BIOKORF_SIDE_479,1236,False
480,BIOKORF_SIDE_480,1237,False
481,BIOKORF_SIDE_481,1238,False
482,BIOKORF_SIDE_482,1239,False
483,BIOKORF_SIDE_483,1240,True
484,BIOKORF_SIDE_484,1241,False
485,BIOKORF_SIDE_485,1242,True
486,BIOKORF_SIDE_486,1243,False
487,BIOKORF_SIDE_487,1244,False
488,BIOKORF_SIDE_488,1245,True
489,BIOKORF_SIDE_489,1246,False
490,BIOKORF_SIDE_490,1247,False
491,BIOKORF_SIDE_491,1248,True
492,BIOKORF_SIDE_492,1249,False
493,BIOKORF_SIDE_493,1250,False
494,BIOKORF_SIDE_494,1251,False
495,BIOKORF_SIDE_495,1252,False
496,BIOKORF_SIDE_496,1253,False
497,BIOKORF_SIDE_497,1254,False
498,BIOKORF_SIDE_498,1255,False
499,BIOKORF_SIDE_499,1256,False
500,BIOKORF_SIDE_500,1257,False
501,BIOKORF_SIDE_501,1258,False
502,BIOKORF_SIDE_502,1259,True
503,BIOKORF_SIDE_503,1260,False
504,BIOKORF_SIDE_504,1261,False
505,BIOKORF_SIDE_505,1262,True
506,BIOKORF_SIDE_506,1263,False
507,BIOKORF_SIDE_507,1264,False
508,BIOKORF_SIDE_508,1265,False
509,BIOKORF_SIDE_509,1266,True
510,BIOKORF_SIDE_510,1267,False
511,BIOKORF_SIDE_511,1268,False
512,BIOKORF_SIDE_512,1269,True
513,BIOKORF_SIDE_513,1270,False
514,BIOKORF_SIDE_514,1271,False
515,BIOKORF_SIDE_515,1272,True
516,BIOKORF_SIDE_516,1273,True
517,BIOKORF_SIDE_517,1274,False
518,BIOKORF_SIDE_518,1275,False
519,BIOKORF_SIDE_519,1276,True
520,BIOKORF_SIDE_520,1277,False
521,BIOKORF_SIDE_521,1278,True
522,BIOKORF_SIDE_522,1279,True
523,BIOKORF_SIDE_523,1280,True
524,BIOKORF_SIDE_524,1281,False
525,BIOKORF_SIDE_525,1282,False
526,BIOKORF_SIDE_526,1283,False
527,BIOKORF_SIDE_527,1284,False
528,BIOKORF_SIDE_528,1285,False
529,BIOKORF_SIDE_529,1286,False
530,BIOKORF_SIDE_530,1287,True
531,BIOKORF_SIDE_531,1288,True
532,BIOKORF_SIDE_532,1289,False
533,BIOKORF_SIDE_533,1290,False
534,BIOKORF_SIDE_534,1291,False
535,BIOKORF_SIDE_535,1292,False
536,BIOKORF_SIDE_536,1293,True
537,BIOKORF_SIDE_537,1294,True
538,BIOKORF_SIDE_538,1295,False
539,BIOKORF_SIDE_539,1296,True
540,BIOKORF_SIDE_540,1297,False
541,BIOKORF_SIDE_541,1298,False
542,BIOKORF_SIDE_542,1299,False
543,BIOKORF_SIDE_543,1300,False
544,BIOKORF_SIDE_544,1301,False
545,BIOKORF_SIDE_545,1302,False
546,BIOKORF_SIDE_546,1303,False
547,BIOKORF_SIDE_547,1304,True
548,BIOKORF_SIDE_548,1305,True
549,BIOKORF_SIDE_549,1306,False
550,BIOKORF_SIDE_550,1307,False
551,BIOKORF_SIDE_551,1308,True
552,BIOKORF_SIDE_552,1309,False
553,BIOKORF_SIDE_553,1310,True
554,BIOKORF_SIDE_554,1311,True
555,BIOKORF_SIDE_555,1312,False
556,BIOKORF_SIDE_556,1313,False
557,BIOKORF_SIDE_557,1314,True
558,BIOKORF_SIDE_558,1315,False
559,BIOKORF_SIDE_559,1316,False
560,BIOKORF_SIDE_560,1317,False
561,BIOKORF_SIDE_561,1318,False
562,BIOKORF_SIDE_562,1319,False
563,BIOKORF_SIDE_563,1320,False
