flat_chemical_id	stereo_chemical_id	source_cid	inchikey
CIDm10000090	CIDs10000090	10000090	RBNJQUUPILTTJA-UHFFFAOYSA-N
CIDm10000091	CIDs10000091	10000091	QVEAVWDPFKBDIB-PDUDAORKSA-N
CIDm10000092	CIDs10000092	10000092	PPRGZRZAQPBGTE-ACCUITESSA-N
CIDm10000093	CIDs10000093	10000093	VTIDUZFULADBAD-UHFFFAOYSA-N
CIDm10000094	CIDs10000094	10000094	GECDLPBGKBTQAP-NXVVXOECSA-N
CIDm10000095	CIDs10000095	10000095	UTOCABUEFPUWHT-UHFFFAOYSA-N
CIDm10000096	CIDs10000096	10000096	LZSCYLPKQMQRCK-UHFFFAOYSA-N
CIDm10000097	CIDs10000097	10000097	SZOCJNYVWVFBFU-ASWSPKEYSA-N
CIDm10000098	CIDs10000098	10000098	LBQMWFKCOIVJGB-NFOMZHRRSA-N
CIDm10000099	CIDs10000099	10000099	GMKVQHXQVLYDAI-UHFFFAOYSA-N
CIDm00100001	CIDs00100001	100001	AUDPUFBIVWMAED-UHFFFAOYSA-N
CIDm01000010	CIDs01000010	1000010	LGIWGZFFFOEELT-QKLQHJQFSA-N
CIDm10000100	CIDs10000100	10000100	GYBOEOQIIXOHLD-UHFFFAOYSA-N
CIDm10000101	CIDs10000101	10000101	BOMZFPJZPIPRGI-FUXUFSKHSA-N
CIDm10000102	CIDs10000102	10000102	WRZBLKNKBXVSSY-UHFFFAOYSA-N
CIDm10000103	CIDs10000103	10000103	KOLBCEKWNJZHLC-UHFFFAOYSA-N
CIDm10000104	CIDs10000104	10000104	SEZAMMYRYBQDRV-UHFFFAOYSA-N
CIDm00239706	CIDs10000105	10000105	ZRBIDSORDFCGOL-GSQKNLKFSA-N
CIDm10000106	CIDs10000106	10000106	FEPNQNVZHJMHEN-JOCHJYFZSA-N
CIDm10000107	CIDs10000107	10000107	GPJVWWCGMHNQJY-DPYASYAXSA-N
CIDm10000108	CIDs10000108	10000108	NBEVMWHOASLVNB-SKZWUVKFSA-N
CIDm10000109	CIDs10000109	10000109	NKLOZJJOZATIIO-RKNIQEAPSA-N
CIDm01000011	CIDs01000011	1000011	RCXAAKCIYGLTOG-UHFFFAOYSA-N
CIDm10000110	CIDs10000110	10000110	BYQVVFSIVTYXEA-VPOPLMJOSA-N
CIDm10000111	CIDs10000111	10000111	AKWYJFLCTISTET-NHCUHLMSSA-N
CIDm10000112	CIDs10000112	10000112	YRVHWAGWWBXDJU-GFGAIRHFSA-N
CIDm10000112	CIDs10000113	10000113	YRVHWAGWWBXDJU-WWJNNCHVSA-N
CIDm10000114	CIDs10000114	10000114	HJFBPLBJEWOADA-UHFFFAOYSA-N
CIDm10000115	CIDs10000115	10000115	YRNPEYNGANCJOQ-UHFFFAOYSA-N
CIDm10000116	CIDs10000116	10000116	DTJSAPZYJRMORY-DRJFBDSASA-N
CIDm00002735	CIDs10000117	10000117	QYSXJUFSXHHAJI-FIQZJQCTSA-N
CIDm10000118	CIDs10000118	10000118	OEBFDVCNCPOLIP-KNTRCKAVSA-N
CIDm10000119	CIDs10000119	10000119	FGHFJTKYIGXWDB-UHFFFAOYSA-N
CIDm01000012	CIDs01000012	1000012	SWSMLFBFXSFGIO-UHFFFAOYSA-N
CIDm10000120	CIDs10000120	10000120	NLTJREJJMULMPU-UHFFFAOYSA-N
CIDm10000121	CIDs10000121	10000121	QBPHVDALVMRNRH-UHFFFAOYSA-N
CIDm10000122	CIDs10000122	10000122	GUBJQUGAKYTADM-UHFFFAOYSA-N
CIDm10000123	CIDs10000123	10000123	BNWZJSKERXRCKY-UHFFFAOYSA-M
CIDm10000123	CIDs10000123	10000124	RLJJZAIXIIFYHD-UHFFFAOYSA-N
CIDm10000125	CIDs10000125	10000125	SAYKKKLUJKNDBL-UHFFFAOYSA-N
CIDm10000126	CIDs10000126	10000126	VTQRFINICSMYHD-UHFFFAOYSA-N
CIDm10000127	CIDs10000127	10000127	XTLCKZTVVWESAA-UHFFFAOYSA-N
CIDm10000128	CIDs10000128	10000128	UVILBTKYBASPPR-OTYXRUKQSA-N
CIDm10000129	CIDs10000129	10000129	IHSKBNHESQKGMP-UHFFFAOYSA-N
CIDm01000013	CIDs01000013	1000013	NRFXKMGSIOKTOL-UHFFFAOYSA-N
CIDm10000130	CIDs10000130	10000130	HGMQFLXEARTPMP-ZEIDDFDZSA-L
CIDm06610793	CIDs10000131	10000131	NQMPWEKCZLDWMK-GHRIWEEISA-N
CIDm10000132	CIDs10000132	10000132	YYCOTDIZDQHPKL-UHFFFAOYSA-N
CIDm10000133	CIDs10000133	10000133	PQZOFHDCPSEZDH-YAOYWCTKSA-N
CIDm10000133	CIDs10000133	10000134	ASVKFQLDGCPTON-QGMBQPNBSA-P
CIDm10000135	CIDs10000135	10000135	TUTKEKRFDCXMGS-UHFFFAOYSA-N
CIDm10000136	CIDs10000136	10000136	CJEJCHSLDPOXPO-CFAJVAMVSA-N
CIDm10000137	CIDs10000137	10000137	HUKIGIDJWKOGKB-UHFFFAOYSA-N
CIDm10000138	CIDs10000138	10000138	XFPJFQODDQBPFU-DHZHZOJOSA-N
CIDm10000139	CIDs10000139	10000139	NTQYHMBFILUHFC-UHFFFAOYSA-N
CIDm01000014	CIDs01000014	1000014	VSVKNUJOZBBXPG-FVJLSDCUSA-N
CIDm10000140	CIDs10000140	10000140	BOHHUFXPWFWWMG-UHFFFAOYSA-N
CIDm10000141	CIDs10000141	10000141	PMPUZFQTNXCVOO-UHFFFAOYSA-N
CIDm00292116	CIDs10000142	10000142	ZGVQACKXOOWCLS-UXKAXBEESA-N
CIDm10000143	CIDs10000143	10000143	ZZULJZKWVXSADD-UMJHXOGRSA-N
CIDm10000144	CIDs10000144	10000144	RIAJDBZHLAPPAB-UHFFFAOYSA-N
CIDm10000145	CIDs10000145	10000145	GOPXMKDIVJBBQF-LJQANCHMSA-N
CIDm10000146	CIDs10000146	10000146	DITRAWGPPHDAHU-UHFFFAOYSA-N
CIDm00004494	CIDs10000147	10000147	FAIIFDPAEUKBEP-MRXNPFEDSA-N
CIDm10000148	CIDs10000148	10000148	SSVPLUKVNGHJAR-UHFFFAOYSA-N
CIDm10000149	CIDs10000149	10000149	FWBGGMRUKIISSM-JTQLQIEISA-N
CIDm01000015	CIDs01000015	1000015	SGJWDWOZKFHUMS-UHFFFAOYSA-N
CIDm10000150	CIDs10000150	10000150	BWHXZZDCYXJEBS-UHFFFAOYSA-N
CIDm10000151	CIDs10000151	10000151	IMSNXUQFYLWGRL-UHFFFAOYSA-N
CIDm00193585	CIDs10000152	10000152	VNPWVMVYUSNFAW-DMDBJEJLSA-N
CIDm10000153	CIDs10000153	10000153	KVOXUSYEIRKQLD-UHFFFAOYSA-N
CIDm10000154	CIDs10000154	10000154	NQWRXHJFPNGLKG-YGFGXBMJSA-N
CIDm10000155	CIDs10000155	10000155	MWYVGMJHYCRYSK-UHFFFAOYSA-N
CIDm10000156	CIDs10000156	10000156	KVAZNMYEMLWKKC-LJQANCHMSA-N
CIDm10000157	CIDs10000157	10000157	FPFMUSINIVWZNS-UHFFFAOYSA-N
CIDm10000158	CIDs10000158	10000158	LKFVGXVMJBYBTG-UHFFFAOYSA-N
CIDm10000159	CIDs10000159	10000159	XHXDRBLABILPLP-JTQLQIEISA-N
CIDm01000016	CIDs01000016	1000016	JZXMSBVMJSTNCH-UHFFFAOYSA-N
CIDm10000160	CIDs10000160	10000160	JSQOWZXTJGEHKS-UHFFFAOYSA-N
CIDm10000161	CIDs10000161	10000161	GWUWOFWGEMYAKH-UHFFFAOYSA-N
CIDm10000162	CIDs10000162	10000162	QYGLVQJFLPXEIJ-UHFFFAOYSA-N
CIDm10000163	CIDs10000163	10000163	HHPXEANUNMIBLA-UHFFFAOYSA-N
CIDm10000164	CIDs10000164	10000164	GWUAMSPORLVPOV-ZRDIBKRKSA-N
CIDm10000165	CIDs10000165	10000165	UGLOMRNWUVNFPL-UHFFFAOYSA-N
CIDm10000166	CIDs10000166	10000166	SUUUCXUKLCYWPB-UHFFFAOYSA-N
CIDm10000167	CIDs10000167	10000167	VYLBHHRRFRXFLB-UHFFFAOYSA-N
CIDm10000168	CIDs10000168	10000168	LBZPOOCTTFIXSK-BQGCOEIASA-N
CIDm10000169	CIDs10000169	10000169	GMXHQPNVKQTICR-UHFFFAOYSA-N
CIDm01000017	CIDs01000017	1000017	BZMVTVGXEVMDRV-ZVDOUQERSA-N
CIDm10000170	CIDs10000170	10000170	SXQXATVZGJLZJL-UHFFFAOYSA-N
CIDm10000171	CIDs10000171	10000171	GOVSYTPHKPQEHP-BENRWUELSA-N
CIDm10000172	CIDs10000172	10000172	TWLLCWWTMIIROK-GVIHWOQHSA-N
CIDm10000173	CIDs10000173	10000173	PZVDNPFXQRRUMJ-ICSRJNTNSA-N
CIDm10000174	CIDs10000174	10000174	SGTBSQGREFUMCL-FQEVSTJZSA-N
CIDm10000175	CIDs10000175	10000175	IHRYBMJOINOSJX-FYWRMAATSA-N
CIDm10000176	CIDs10000176	10000176	IWZXUVDLANMUBB-AHWVRZQESA-N
CIDm10000177	CIDs10000177	10000177	MNFAOEQXSOWASB-UHFFFAOYSA-N
CIDm10000178	CIDs10000178	10000178	VZEMZZBQGVMWKJ-UHFFFAOYSA-N
CIDm10000179	CIDs10000179	10000179	OXSSTUBQFACSST-PRPCKNLMSA-N
CIDm01000018	CIDs01000018	1000018	WYRBZPZMRZETCR-UHFFFAOYSA-N
CIDm10000180	CIDs10000180	10000180	XDWKIAXSKVXMGS-FWFHFJTMSA-N
CIDm10000181	CIDs10000181	10000181	YGWVRXNMSNCONR-AHPUENDDSA-N
CIDm00009401	CIDs10000182	10000182	AVSXSVCZWQODGV-FVXHSHAASA-N
