matrix_index,side_effect_name,sider_found,sider_pt_row_count,umls_cui_count,umls_cuis,matched_meddra_names,mapping_status
94,bacterial infection,True,57,1,"[""C0004623""]","[""Bacterial infection""]",unique_umls
95,balance disorder,True,68,1,"[""C0575090""]","[""Balance disorder""]",unique_umls
96,basal cell carcinoma,True,13,1,"[""C0007117""]","[""Basal cell carcinoma""]",unique_umls
97,benign neoplasm of skin,True,10,1,"[""C0004998""]","[""Benign neoplasm of skin""]",unique_umls
98,biliary colic,True,9,1,"[""C0151824""]","[""Biliary colic""]",unique_umls
99,bipolar disorder,True,12,1,"[""C0005586""]","[""Bipolar disorder""]",unique_umls
100,bipolar i disorder,True,14,1,"[""C0853193""]","[""Bipolar I disorder""]",unique_umls
101,bladder cancer,True,9,1,"[""C0005684""]","[""Bladder cancer""]",unique_umls
102,bladder pain,True,98,1,"[""C0232849""]","[""Bladder pain""]",unique_umls
103,bleeding time prolonged,True,10,1,"[""C0151529""]","[""Bleeding time prolonged""]",unique_umls
104,dermatitis eyelid,False,0,0,[],[],unmatched
105,spasm eyelid,False,0,0,[],[],unmatched
106,blindness,True,30,1,"[""C0456909""]","[""Blindness""]",unique_umls
107,blister,True,43,1,"[""C0005758""]","[""Blister""]",unique_umls
108,blood albumin decreased,True,35,1,"[""C0853777""]","[""Blood albumin decreased""]",unique_umls
109,blood alkaline phosphatase increased,True,235,1,"[""C0852911""]","[""Blood alkaline phosphatase increased""]",unique_umls
110,blood bilirubin increased,True,144,1,"[""C0311468""]","[""Blood bilirubin increased""]",unique_umls
111,blood calcium decreased,True,22,1,"[""C3665624""]","[""Blood calcium decreased""]",unique_umls
112,blood cholesterol increased,True,16,1,"[""C0595930""]","[""Blood cholesterol increased""]",unique_umls
113,creatine kinase high,False,0,0,[],[],unmatched
114,blood creatinine increased,True,320,1,"[""C0235431""]","[""Blood creatinine increased""]",unique_umls
115,blood disorder,True,36,1,"[""C0018939""]","[""Blood disorder""]",unique_umls
116,blood glucose decreased,True,17,1,"[""C0595883""]","[""Blood glucose decreased""]",unique_umls
117,blood glucose increased,True,61,1,"[""C0595877""]","[""Blood glucose increased""]",unique_umls
118,blood lactate dehydrogenase increased,True,59,1,"[""C0853149""]","[""Blood lactate dehydrogenase increased""]",unique_umls
119,blood phosphorus decreased,True,28,1,"[""C0877517""]","[""Blood phosphorus decreased""]",unique_umls
120,blood potassium decreased,True,51,1,"[""C0853761""]","[""Blood potassium decreased""]",unique_umls
121,blood potassium increased,True,31,1,"[""C0853760""]","[""Blood potassium increased""]",unique_umls
122,blood pressure increased,True,66,1,"[""C0497247""]","[""Blood pressure increased""]",unique_umls
123,blood prolactin increased,True,13,1,"[""C0854082""]","[""Blood prolactin increased""]",unique_umls
124,blood triglycerides increased,True,99,1,"[""C0853692""]","[""Blood triglycerides increased""]",unique_umls
125,blood urea increased,True,131,1,"[""C0151539""]","[""Blood urea increased""]",unique_umls
126,blood uric acid increased,True,74,1,"[""C0235416""]","[""Blood uric acid increased""]",unique_umls
127,blood urine present,True,5,1,"[""C0947999""]","[""Blood urine present""]",unique_umls
128,body temperature decreased,True,29,1,"[""C0020672""]","[""Body temperature decreased""]",unique_umls
129,body temperature increased,True,1619,1,"[""C0015967""]","[""Body temperature increased""]",unique_umls
130,bone disorder,True,35,1,"[""C0005940""]","[""Bone disorder""]",unique_umls
131,bone pain,True,187,1,"[""C0151825""]","[""Bone pain""]",unique_umls
132,bradycardia,True,391,1,"[""C0428977""]","[""Bradycardia""]",unique_umls
133,loss of motor function,False,0,0,[],[],unmatched
134,brain oedema,True,31,1,"[""C1527311""]","[""Brain oedema""]",unique_umls
135,breast cancer,True,24,1,"[""C0006142""]","[""Breast cancer""]",unique_umls
136,breast discharge,True,10,1,"[""C0149741""]","[""Breast discharge""]",unique_umls
137,breast disorder,True,89,1,"[""C0006145""]","[""Breast disorder""]",unique_umls
138,breast engorgement,True,10,1,"[""C0085688""]","[""Breast engorgement""]",unique_umls
139,breast enlargement,True,59,1,"[""C2225524""]","[""Breast enlargement""]",unique_umls
140,breast neoplasm,True,20,1,"[""C1458155""]","[""Breast neoplasm""]",unique_umls
141,breast pain,True,147,1,"[""C0024902""]","[""Breast pain""]",unique_umls
142,breast tenderness,True,56,1,"[""C0262397""]","[""Breast tenderness""]",unique_umls
143,breath odour,True,20,1,"[""C0018520""]","[""Breath odour""]",unique_umls
144,breath sounds abnormal,True,22,1,"[""C0231856""]","[""Breath sounds abnormal""]",unique_umls
145,reactive airways disease,False,0,0,[],[],unmatched
146,bronchitis,True,486,1,"[""C0006277""]","[""Bronchitis""]",unique_umls
147,bronchospasm,True,169,1,"[""C0006266""]","[""Bronchospasm""]",unique_umls
148,bronchospasm paradoxical,True,17,1,"[""C0236072""]","[""Bronchospasm paradoxical""]",unique_umls
149,bruxism,True,31,1,"[""C0006325""]","[""Bruxism""]",unique_umls
150,bundle branch block,True,48,1,"[""C0006384""]","[""Bundle branch block""]",unique_umls
151,burning sensation,True,47,1,"[""C0085624""]","[""Burning sensation""]",unique_umls
152,bursitis,True,36,1,"[""C0006444""]","[""Bursitis""]",unique_umls
153,cachexia,True,11,1,"[""C0006625""]","[""Cachexia""]",unique_umls
154,candida infection,True,207,1,"[""C0006840""]","[""Candida infection""]",unique_umls
155,cardiac arrest,True,92,1,"[""C0018790""]","[""Cardiac arrest""]",unique_umls
156,cardiac disorder,True,167,1,"[""C0018799""]","[""Cardiac disorder""]",unique_umls
