matrix_index,biokorf_drug_id,drug_name,kg_available,embedding_row
190,BIOKORF_DRUG_190,vancomycin,True,190
191,BIOKORF_DRUG_191,dextromethorphan,True,191
192,BIOKORF_DRUG_192,albendazole,True,192
193,BIOKORF_DRUG_193,trandolapril,True,193
194,BIOKORF_DRUG_194,caspofungin,True,194
195,BIOKORF_DRUG_195,alitretinoin,True,195
196,BIOKORF_DRUG_196,metolazone,True,196
197,BIOKORF_DRUG_197,oxaliplatin,True,197
198,BIOKORF_DRUG_198,lercanidipine,True,198
199,BIOKORF_DRUG_199,foscarnet,True,199
200,BIOKORF_DRUG_200,erlotinib,True,200
201,BIOKORF_DRUG_201,cyclophosphamide,True,201
202,BIOKORF_DRUG_202,rofecoxib,True,202
203,BIOKORF_DRUG_203,ciprofloxacin,True,203
204,BIOKORF_DRUG_204,gadoversetamide,False,204
205,BIOKORF_DRUG_205,toremifene,True,205
206,BIOKORF_DRUG_206,vincristine,True,206
207,BIOKORF_DRUG_207,benazepril,True,207
208,BIOKORF_DRUG_208,fluorouracil,True,208
209,BIOKORF_DRUG_209,pyridostigmine,True,209
210,BIOKORF_DRUG_210,azelaic.acid,True,210
211,BIOKORF_DRUG_211,zafirlukast,True,211
212,BIOKORF_DRUG_212,pentostatin,True,212
213,BIOKORF_DRUG_213,piroxicam,True,213
214,BIOKORF_DRUG_214,lamotrigine,True,214
215,BIOKORF_DRUG_215,zanamivir,True,215
216,BIOKORF_DRUG_216,bosentan,True,216
217,BIOKORF_DRUG_217,tigecycline,True,217
218,BIOKORF_DRUG_218,methotrexate,True,218
219,BIOKORF_DRUG_219,carbamazepine,True,219
220,BIOKORF_DRUG_220,cisatracurium,True,220
221,BIOKORF_DRUG_221,fondaparinux,True,221
222,BIOKORF_DRUG_222,propranolol,True,222
223,BIOKORF_DRUG_223,clonidine,True,223
224,BIOKORF_DRUG_224,valaciclovir,True,224
225,BIOKORF_DRUG_225,valdecoxib,True,225
226,BIOKORF_DRUG_226,voriconazole,True,226
227,BIOKORF_DRUG_227,levocarnitine,True,227
228,BIOKORF_DRUG_228,enalapril,True,228
229,BIOKORF_DRUG_229,nizatidine,True,229
230,BIOKORF_DRUG_230,diclofenac,True,230
231,BIOKORF_DRUG_231,doxazosin,True,231
232,BIOKORF_DRUG_232,amiloride,True,232
233,BIOKORF_DRUG_233,gadoteridol,True,233
234,BIOKORF_DRUG_234,labetalol,True,234
235,BIOKORF_DRUG_235,linezolid,True,235
236,BIOKORF_DRUG_236,ivermectin,True,236
237,BIOKORF_DRUG_237,medroxyprogesterone,True,237
238,BIOKORF_DRUG_238,butorphanol,True,238
239,BIOKORF_DRUG_239,bisoprolol,True,239
240,BIOKORF_DRUG_240,rifabutin,True,240
241,BIOKORF_DRUG_241,imatinib,True,241
242,BIOKORF_DRUG_242,triamcinolone,True,242
243,BIOKORF_DRUG_243,testosterone,True,243
244,BIOKORF_DRUG_244,efavirenz,True,244
245,BIOKORF_DRUG_245,alendronic.acid,True,245
246,BIOKORF_DRUG_246,clofarabine,True,246
247,BIOKORF_DRUG_247,dexmedetomidine,True,247
248,BIOKORF_DRUG_248,adenosine,True,248
249,BIOKORF_DRUG_249,simvastatin,True,249
250,BIOKORF_DRUG_250,pemetrexed,True,250
251,BIOKORF_DRUG_251,gonadorelin,True,251
252,BIOKORF_DRUG_252,stavudine,True,252
253,BIOKORF_DRUG_253,calcium.folinate,True,253
254,BIOKORF_DRUG_254,latanoprost,True,254
255,BIOKORF_DRUG_255,estrone,True,255
256,BIOKORF_DRUG_256,trazodone,True,256
257,BIOKORF_DRUG_257,sevelamer,True,257
258,BIOKORF_DRUG_258,acamprosate,True,258
259,BIOKORF_DRUG_259,verapamil,True,259
260,BIOKORF_DRUG_260,nilutamide,True,260
261,BIOKORF_DRUG_261,nafarelin,False,261
262,BIOKORF_DRUG_262,sumatriptan,True,262
263,BIOKORF_DRUG_263,cefixime,True,263
264,BIOKORF_DRUG_264,aprepitant,True,264
265,BIOKORF_DRUG_265,galantamine,True,265
266,BIOKORF_DRUG_266,tamoxifen,True,266
267,BIOKORF_DRUG_267,losartan,True,267
268,BIOKORF_DRUG_268,amphotericin.B,True,268
269,BIOKORF_DRUG_269,midazolam,True,269
270,BIOKORF_DRUG_270,tobramycin,True,270
271,BIOKORF_DRUG_271,trovafloxacin,True,271
272,BIOKORF_DRUG_272,pentosan.polysulfate.sodium,False,272
273,BIOKORF_DRUG_273,moexipril,False,273
274,BIOKORF_DRUG_274,phentolamine,True,274
275,BIOKORF_DRUG_275,fluorescein,False,275
276,BIOKORF_DRUG_276,daunorubicin,True,276
277,BIOKORF_DRUG_277,furosemide,True,277
278,BIOKORF_DRUG_278,tizanidine,True,278
279,BIOKORF_DRUG_279,eplerenone,True,279
280,BIOKORF_DRUG_280,amprenavir,True,280
281,BIOKORF_DRUG_281,naltrexone,True,281
282,BIOKORF_DRUG_282,delavirdine,True,282
283,BIOKORF_DRUG_283,tamsulosin,True,283
284,BIOKORF_DRUG_284,porfimer.sodium,True,284
285,BIOKORF_DRUG_285,sufentanil,True,285
286,BIOKORF_DRUG_286,lamivudine,True,286
287,BIOKORF_DRUG_287,ibandronic.acid,True,287
288,BIOKORF_DRUG_288,apomorphine,True,288
289,BIOKORF_DRUG_289,paroxetine,True,289
290,BIOKORF_DRUG_290,adefovir.dipivoxil,True,290
291,BIOKORF_DRUG_291,lisinopril,True,291
292,BIOKORF_DRUG_292,imiquimod,True,292
293,BIOKORF_DRUG_293,glyceryl.trinitrate,True,293
294,BIOKORF_DRUG_294,nateglinide,True,294
295,BIOKORF_DRUG_295,risperidone,True,295
296,BIOKORF_DRUG_296,naftifine,True,296
297,BIOKORF_DRUG_297,esomeprazole,True,297
298,BIOKORF_DRUG_298,pentamidine.isethionate,False,298
299,BIOKORF_DRUG_299,riluzole,True,299
300,BIOKORF_DRUG_300,hydrocortisone,True,300
301,BIOKORF_DRUG_301,mannitol,True,301
302,BIOKORF_DRUG_302,gadobenic.acid,True,302
303,BIOKORF_DRUG_303,modafinil,True,303
304,BIOKORF_DRUG_304,deferoxamine,True,304
305,BIOKORF_DRUG_305,tretinoin,True,305
306,BIOKORF_DRUG_306,dolasetron,True,306
307,BIOKORF_DRUG_307,clopidogrel,True,307
308,BIOKORF_DRUG_308,meropenem,True,308
309,BIOKORF_DRUG_309,irinotecan,True,309
310,BIOKORF_DRUG_310,olopatadine,True,310
311,BIOKORF_DRUG_311,alprostadil,True,311
312,BIOKORF_DRUG_312,etoposide,True,312
313,BIOKORF_DRUG_313,tirofiban,True,313
314,BIOKORF_DRUG_314,oxcarbazepine,True,314
315,BIOKORF_DRUG_315,estradiol,True,315
316,BIOKORF_DRUG_316,aciclovir,True,316
317,BIOKORF_DRUG_317,naproxen,True,317
318,BIOKORF_DRUG_318,perindopril,True,318
319,BIOKORF_DRUG_319,sulfasalazine,True,319
320,BIOKORF_DRUG_320,tazarotene,True,320
321,BIOKORF_DRUG_321,alfentanil,True,321
322,BIOKORF_DRUG_322,dicycloverine,True,322
323,BIOKORF_DRUG_323,pentoxifylline,True,323
324,BIOKORF_DRUG_324,indapamide,True,324
325,BIOKORF_DRUG_325,ribavirin,True,325
326,BIOKORF_DRUG_326,fentanyl,True,326
327,BIOKORF_DRUG_327,meloxicam,True,327
328,BIOKORF_DRUG_328,orciprenaline,True,328
329,BIOKORF_DRUG_329,tadalafil,True,329
330,BIOKORF_DRUG_330,fosfomycin,True,330
331,BIOKORF_DRUG_331,diazepam,True,331
332,BIOKORF_DRUG_332,cefaclor,True,332
333,BIOKORF_DRUG_333,mifepristone,True,333
334,BIOKORF_DRUG_334,donepezil,True,334
335,BIOKORF_DRUG_335,mercaptamine,True,335
336,BIOKORF_DRUG_336,dacarbazine,True,336
337,BIOKORF_DRUG_337,temozolomide,True,337
338,BIOKORF_DRUG_338,aminolevulinic.acid,True,338
339,BIOKORF_DRUG_339,terbinafine,True,339
340,BIOKORF_DRUG_340,penicillamine,True,340
341,BIOKORF_DRUG_341,vardenafil,True,341
342,BIOKORF_DRUG_342,tacrolimus,True,342
343,BIOKORF_DRUG_343,terbutaline,True,343
344,BIOKORF_DRUG_344,conivaptan,True,344
345,BIOKORF_DRUG_345,eprosartan,True,345
346,BIOKORF_DRUG_346,sirolimus,True,346
347,BIOKORF_DRUG_347,emtricitabine,True,347
348,BIOKORF_DRUG_348,quinapril,True,348
349,BIOKORF_DRUG_349,clomifene,True,349
350,BIOKORF_DRUG_350,risedronic.acid,True,350
351,BIOKORF_DRUG_351,bumetanide,True,351
352,BIOKORF_DRUG_352,chlormethine,True,352
353,BIOKORF_DRUG_353,granisetron,True,353
354,BIOKORF_DRUG_354,triazolam,True,354
355,BIOKORF_DRUG_355,remifentanil,True,355
356,BIOKORF_DRUG_356,didanosine,True,356
357,BIOKORF_DRUG_357,ondansetron,True,357
358,BIOKORF_DRUG_358,bimatoprost,True,358
359,BIOKORF_DRUG_359,tiagabine,True,359
360,BIOKORF_DRUG_360,quinidine,True,360
361,BIOKORF_DRUG_361,zonisamide,True,361
362,BIOKORF_DRUG_362,paricalcitol,True,362
363,BIOKORF_DRUG_363,tinidazole,True,363
364,BIOKORF_DRUG_364,repaglinide,True,364
365,BIOKORF_DRUG_365,amantadine,True,365
366,BIOKORF_DRUG_366,metronidazole,True,366
367,BIOKORF_DRUG_367,almotriptan,True,367
368,BIOKORF_DRUG_368,buprenorphine,False,368
369,BIOKORF_DRUG_369,levosimendan,True,369
370,BIOKORF_DRUG_370,cyclobenzaprine,True,370
371,BIOKORF_DRUG_371,famotidine,True,371
372,BIOKORF_DRUG_372,azacitidine,True,372
373,BIOKORF_DRUG_373,misoprostol,True,373
374,BIOKORF_DRUG_374,colesevelam,True,374
375,BIOKORF_DRUG_375,tipranavir,True,375
376,BIOKORF_DRUG_376,maprotiline,True,376
377,BIOKORF_DRUG_377,salmeterol,True,377
378,BIOKORF_DRUG_378,fulvestrant,True,378
379,BIOKORF_DRUG_379,felbamate,True,379
380,BIOKORF_DRUG_380,fexofenadine,True,380
381,BIOKORF_DRUG_381,naratriptan,True,381
382,BIOKORF_DRUG_382,rizatriptan,True,382
383,BIOKORF_DRUG_383,hydrocodone,True,383
384,BIOKORF_DRUG_384,carboplatin,True,384
385,BIOKORF_DRUG_385,pindolol,True,385
386,BIOKORF_DRUG_386,zaleplon,True,386
387,BIOKORF_DRUG_387,apraclonidine,True,387
388,BIOKORF_DRUG_388,telmisartan,True,388
389,BIOKORF_DRUG_389,desloratadine,True,389
390,BIOKORF_DRUG_390,alosetron,True,390
391,BIOKORF_DRUG_391,azelastine,True,391
392,BIOKORF_DRUG_392,ezetimibe,True,392
393,BIOKORF_DRUG_393,dipyridamole,True,393
394,BIOKORF_DRUG_394,telithromycin,True,394
395,BIOKORF_DRUG_395,lomefloxacin,True,395
396,BIOKORF_DRUG_396,ramelteon,True,396
397,BIOKORF_DRUG_397,isotretinoin,True,397
398,BIOKORF_DRUG_398,formoterol,True,398
399,BIOKORF_DRUG_399,glycopyrronium.bromide,True,399
400,BIOKORF_DRUG_400,cytarabine,True,400
401,BIOKORF_DRUG_401,rivastigmine,True,401
402,BIOKORF_DRUG_402,exemestane,True,402
403,BIOKORF_DRUG_403,methyl.aminolevulinate,True,403
404,BIOKORF_DRUG_404,azathioprine,True,404
405,BIOKORF_DRUG_405,auranofin,True,405
406,BIOKORF_DRUG_406,gabapentin,True,406
407,BIOKORF_DRUG_407,doxorubicin,True,407
408,BIOKORF_DRUG_408,frovatriptan,True,408
409,BIOKORF_DRUG_409,hydrochlorothiazide,True,409
410,BIOKORF_DRUG_410,salbutamol,True,410
411,BIOKORF_DRUG_411,levobupivacaine,True,411
412,BIOKORF_DRUG_412,cromoglicic.acid,True,412
413,BIOKORF_DRUG_413,ganciclovir,True,413
414,BIOKORF_DRUG_414,hydroxycarbamide,True,414
415,BIOKORF_DRUG_415,letrozole,True,415
416,BIOKORF_DRUG_416,busulfan,True,416
417,BIOKORF_DRUG_417,metyrapone,True,417
418,BIOKORF_DRUG_418,cinacalcet,True,418
419,BIOKORF_DRUG_419,balsalazide,True,419
420,BIOKORF_DRUG_420,sulfamethoxazole.and.trimethoprim,True,420
421,BIOKORF_DRUG_421,minocycline,True,421
422,BIOKORF_DRUG_422,guanfacine,True,422
423,BIOKORF_DRUG_423,isosorbide.mononitrate,True,423
424,BIOKORF_DRUG_424,mycophenolic.acid,True,424
425,BIOKORF_DRUG_425,amlexanox,True,425
426,BIOKORF_DRUG_426,irbesartan,True,426
427,BIOKORF_DRUG_427,topotecan,True,427
428,BIOKORF_DRUG_428,tolterodine,True,428
429,BIOKORF_DRUG_429,selegiline,True,429
430,BIOKORF_DRUG_430,fenofibrate,True,430
431,BIOKORF_DRUG_431,thalidomide,True,431
432,BIOKORF_DRUG_432,melphalan,True,432
433,BIOKORF_DRUG_433,memantine,True,433
434,BIOKORF_DRUG_434,gatifloxacin,True,434
435,BIOKORF_DRUG_435,lubiprostone,True,435
436,BIOKORF_DRUG_436,fluocinonide,True,436
437,BIOKORF_DRUG_437,abacavir,True,437
438,BIOKORF_DRUG_438,ibuprofen,True,438
439,BIOKORF_DRUG_439,norfloxacin,True,439
440,BIOKORF_DRUG_440,amoxicillin,True,440
441,BIOKORF_DRUG_441,oxybutynin,True,441
442,BIOKORF_DRUG_442,glipizide,True,442
443,BIOKORF_DRUG_443,clonazepam,True,443
444,BIOKORF_DRUG_444,atazanavir,True,444
445,BIOKORF_DRUG_445,fludarabine,True,445
446,BIOKORF_DRUG_446,atorvastatin,True,446
447,BIOKORF_DRUG_447,tegaserod,True,447
448,BIOKORF_DRUG_448,vigabatrin,True,448
449,BIOKORF_DRUG_449,streptomycin,True,449
450,BIOKORF_DRUG_450,orlistat,True,450
451,BIOKORF_DRUG_451,pilocarpine,True,451
452,BIOKORF_DRUG_452,iloprost,True,452
453,BIOKORF_DRUG_453,fluvastatin,True,453
454,BIOKORF_DRUG_454,leflunomide,True,454
455,BIOKORF_DRUG_455,rosuvastatin,True,455
456,BIOKORF_DRUG_456,pimozide,True,456
457,BIOKORF_DRUG_457,capecitabine,True,457
458,BIOKORF_DRUG_458,sertraline,True,458
459,BIOKORF_DRUG_459,heparin,True,459
460,BIOKORF_DRUG_460,miconazole,True,460
461,BIOKORF_DRUG_461,nifedipine,True,461
462,BIOKORF_DRUG_462,atovaquone,True,462
463,BIOKORF_DRUG_463,amiodarone,True,463
464,BIOKORF_DRUG_464,gliclazide,True,464
465,BIOKORF_DRUG_465,bicalutamide,True,465
466,BIOKORF_DRUG_466,rabeprazole,True,466
467,BIOKORF_DRUG_467,pioglitazone,True,467
468,BIOKORF_DRUG_468,carvedilol,True,468
469,BIOKORF_DRUG_469,levofloxacin,True,469
470,BIOKORF_DRUG_470,micafungin,True,470
471,BIOKORF_DRUG_471,doxepin,True,471
472,BIOKORF_DRUG_472,nefazodone,True,472
473,BIOKORF_DRUG_473,cefprozil,True,473
474,BIOKORF_DRUG_474,gemifloxacin,True,474
475,BIOKORF_DRUG_475,bupropion,True,475
476,BIOKORF_DRUG_476,trimetrexate,True,476
477,BIOKORF_DRUG_477,terazosin,True,477
478,BIOKORF_DRUG_478,ofloxacin,True,478
479,BIOKORF_DRUG_479,cilostazol,True,479
480,BIOKORF_DRUG_480,itraconazole,False,480
481,BIOKORF_DRUG_481,arsenic.trioxide,False,481
482,BIOKORF_DRUG_482,escitalopram,True,482
483,BIOKORF_DRUG_483,idarubicin,True,483
484,BIOKORF_DRUG_484,podophyllotoxin,True,484
485,BIOKORF_DRUG_485,rescinnamine,True,485
486,BIOKORF_DRUG_486,ifosfamide,True,486
487,BIOKORF_DRUG_487,propafenone,True,487
488,BIOKORF_DRUG_488,pergolide,True,488
489,BIOKORF_DRUG_489,ciclopirox,True,489
490,BIOKORF_DRUG_490,desflurane,True,490
491,BIOKORF_DRUG_491,clindamycin,True,491
492,BIOKORF_DRUG_492,acebutolol,True,492
493,BIOKORF_DRUG_493,brinzolamide,True,493
494,BIOKORF_DRUG_494,flecainide,True,494
495,BIOKORF_DRUG_495,estramustine,True,495
496,BIOKORF_DRUG_496,bromocriptine,True,496
497,BIOKORF_DRUG_497,levetiracetam,True,497
498,BIOKORF_DRUG_498,nadolol,False,498
499,BIOKORF_DRUG_499,mitoxantrone,True,499
500,BIOKORF_DRUG_500,sparfloxacin,True,500
501,BIOKORF_DRUG_501,clarithromycin,True,501
502,BIOKORF_DRUG_502,ceftriaxone,True,502
503,BIOKORF_DRUG_503,estazolam,True,503
504,BIOKORF_DRUG_504,finasteride,True,504
505,BIOKORF_DRUG_505,anastrozole,True,505
506,BIOKORF_DRUG_506,halofantrine,True,506
507,BIOKORF_DRUG_507,dantrolene,True,507
508,BIOKORF_DRUG_508,rifaximin,True,508
509,BIOKORF_DRUG_509,budesonide,True,509
510,BIOKORF_DRUG_510,aminophylline,True,510
511,BIOKORF_DRUG_511,quetiapine,True,511
512,BIOKORF_DRUG_512,paclitaxel,True,512
513,BIOKORF_DRUG_513,saquinavir,True,513
514,BIOKORF_DRUG_514,dexamethasone,True,514
515,BIOKORF_DRUG_515,levodopa,True,515
516,BIOKORF_DRUG_516,aripiprazole,True,516
517,BIOKORF_DRUG_517,epoprostenol,True,517
518,BIOKORF_DRUG_518,gemfibrozil,True,518
519,BIOKORF_DRUG_519,clomipramine,True,519
520,BIOKORF_DRUG_520,bepridil,True,520
521,BIOKORF_DRUG_521,docetaxel,True,521
522,BIOKORF_DRUG_522,iodixanol,True,522
523,BIOKORF_DRUG_523,olsalazine,True,523
524,BIOKORF_DRUG_524,dasatinib,True,524
525,BIOKORF_DRUG_525,lisdexamfetamine,True,525
526,BIOKORF_DRUG_526,lapatinib,True,526
527,BIOKORF_DRUG_527,desonide,True,527
