matrix_index,drug_name,top1_neighbor_index,top1_neighbor_name,top1_nonself_cosine,top5_mean_cosine,top10_mean_cosine,tenth_neighbor_cosine,top1_minus_tenth_similarity_margin,top1_minus_top10_mean_margin
62,cabergoline,496,bromocriptine,0.9999999999999956,0.999999999999995,0.9999999999999947,0.9999999999999933,2.220446049250313e-15,8.881784197001252e-16
63,dapsone,282,delavirdine,0.9999999999999956,0.9999999999999956,0.9999999999999953,0.9999999999999952,3.3306690738754696e-16,2.220446049250313e-16
64,terconazole,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
65,phenytoin,59,ranolazine,0.9999999999999927,0.9999999999999911,0.9999999999999905,0.9999999999999886,4.107825191113079e-15,2.220446049250313e-15
66,doxycycline,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
67,anagrelide,104,tolcapone,1.0000000000000002,1.0000000000000002,0.9999999999999998,0.9999999999999971,3.1086244689504383e-15,4.440892098500626e-16
68,carmustine,116,nitisinone,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.9999999999999999,0.0,1.1102230246251565e-16
69,metoprolol,110,atenolol,0.9999999999999997,0.9999999999999962,0.9975743434803126,0.9919144775887164,0.008085522411283241,0.0024256565196870694
70,ropinirole,115,alfuzosin,0.9999999999999973,0.9999999999999971,0.9999999999999968,0.9999999999999963,9.992007221626409e-16,5.551115123125783e-16
71,isradipine,40,dofetilide,0.9999999999999992,0.9999999999999989,0.9999999999999962,0.9999999999999918,7.438494264988549e-15,2.9976021664879227e-15
72,topiramate,75,theophylline,0.9806080035970223,0.9795060773149551,0.9771663535516012,0.9748266290400542,0.005781374556968033,0.003441650045421074
74,amsacrine,172,lenalidomide,0.9999999999999999,0.998521700138802,0.994341740861808,0.9901617806908622,0.009838219309137641,0.005658259138191846
75,theophylline,256,trazodone,0.9999999999999972,0.995148687607102,0.9935315825308848,0.9919144755579881,0.008085524442009162,0.00646841746911242
76,argatroban,324,indapamide,1.0,0.9967233855301085,0.9908853020131396,0.985047217929248,0.014952782070752013,0.009114697986860376
77,lidocaine,40,dofetilide,0.9999999999999951,0.9999999999999949,0.9999999999999941,0.9999999999999923,2.7755575615628914e-15,9.992007221626409e-16
