pair_group,source_drug_index,source_drug_name,target_drug_index,target_drug_name,kg_embedding_cosine,source_gene_count,target_gene_count,shared_gene_count,gene_jaccard,source_pathway_count,target_pathway_count,shared_pathway_count,pathway_jaccard
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,116,nitisinone,248,adenosine,0.9338680128251999,1,7,0,0.0,1,11,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,166,nabumetone,505,anastrozole,0.9389282903714155,10,10,2,0.1111111111111111,37,22,12,0.2553191489361702
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,579,lorcaserin,625,sitaxentan,0.9665349454044853,9,5,2,0.16666666666666666,20,13,11,0.5
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,363,tinidazole,544,fosphenytoin,0.9213431347169461,2,10,1,0.09090909090909091,10,29,8,0.25806451612903225
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,167,ketorolac,302,gadobenic.acid,0.9528772583816012,5,0,0,0.0,17,0,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,602,ustekinumab,609,tapentadol,0.954293545570222,1,11,0,0.0,2,22,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,511,quetiapine,744,colestilan,0.9246351820614569,32,0,0,0.0,32,0,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,234,labetalol,396,ramelteon,0.9455570304688342,14,6,1,0.05263157894736842,32,15,7,0.175
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,226,voriconazole,574,ixabepilone,0.9849399239670963,9,3,1,0.09090909090909091,16,40,7,0.14285714285714285
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,234,labetalol,439,norfloxacin,0.9403407998440918,14,6,0,0.0,32,19,7,0.1590909090909091
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,235,linezolid,751,candesartan,0.8847763930028,2,7,0,0.0,8,22,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,295,risperidone,483,idarubicin,0.9360128810778172,17,4,1,0.05,36,18,9,0.2
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,468,carvedilol,515,levodopa,0.9717623541728129,30,11,1,0.025,87,21,14,0.14893617021276595
