matrix_index,drug_name,stitch_id,optimuskg_id,optimuskg_name,matched_field,inchi_key,canonical_smiles,source_ids,accession_numbers
164,acitretin,CIDm05284513,CHEMBL1131,ACITRETIN,properties.name;properties.synonyms;properties.trade_names,IHUNBGSDBOWDMA-AQFIFDHZSA-N,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,"[""acitretin"",""DB00459"",""50173""]",[]
165,verteporfin,CIDm05362420,CHEMBL2052016,CHEMBL2052016,properties.synonyms,YTZALCGQUPRCGW-MXVXOLGGSA-N,C=Cc1c(C)c2cc3nc(cc4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)O)c(CCC(=O)OC)c4C)[C@@]1(C)C3=CC=C(C(=O)OC)[C@H]1C(=O)OC,"[""DB00460""]",[]
165,verteporfin,CIDm05362420,CHEMBL5314346,VERTEPORFIN,properties.name;properties.synonyms,"","","[""verteporfin"",""human/EPAR/visudyne""]",[]
166,nabumetone,CIDm00004409,CHEMBL1070,NABUMETONE,properties.name;properties.synonyms;properties.trade_names,BLXXJMDCKKHMKV-UHFFFAOYSA-N,COc1ccc2cc(CCC(C)=O)ccc2c1,"[""nabumetone"",""7443"",""DB00461""]",[]
167,ketorolac,CIDm00003826,CHEMBL469,KETOROLAC,properties.name;properties.synonyms,OZWKMVRBQXNZKK-UHFFFAOYSA-N,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,"[""76223"",""DB00465""]",[]
168,montelukast,CIDm05281040,CHEMBL787,MONTELUKAST,properties.name;properties.synonyms,UCHDWCPVSPXUMX-TZIWLTJVSA-N,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,"[""50730"",""DB00471""]",[]
169,fluoxetine,CIDm00003386,CHEMBL1201082,FLUOXETINE HYDROCHLORIDE,properties.trade_names,GIYXAJPCNFJEHY-UHFFFAOYSA-N,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl,"[""fluoxetine%20hydrochloride"",""veterinary/EPAR/reconcile""]",[]
169,fluoxetine,CIDm00003386,CHEMBL153036,R-FLUOXETINE,properties.synonyms,RTHCYVBBDHJXIQ-MRXNPFEDSA-N,CNCC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,"[""86991"",""DB08472""]",[]
169,fluoxetine,CIDm00003386,CHEMBL41,FLUOXETINE,properties.name;properties.synonyms,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,"[""DB00472"",""86990""]",[]
170,duloxetine,CIDm00060834,CHEMBL1175,DULOXETINE,properties.name;properties.synonyms,ZEUITGRIYCTCEM-KRWDZBQOSA-N,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,"[""DB00476"",""36795""]",[]
171,rimantadine,CIDm00005071,CHEMBL959,RIMANTADINE,properties.name;properties.synonyms,UBCHPRBFMUDMNC-UHFFFAOYSA-N,CC(N)C12CC3CC(CC(C3)C1)C2,"[""DB00478""]",[]
172,lenalidomide,CIDm00216326,CHEMBL848,LENALIDOMIDE,properties.name;properties.synonyms,GOTYRUGSSMKFNF-UHFFFAOYSA-N,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,"[""lenalidomide"",""human/EPAR/revlimid"",""DB00480"",""63791""]",[]
172,lenalidomide,CIDm00216326,RXNORM:342369,lenalidomide,properties.name,"","",[],[]
173,raloxifene,CIDm00005035,CHEMBL81,RALOXIFENE,properties.name;properties.synonyms,GZUITABIAKMVPG-UHFFFAOYSA-N,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,"[""DB00481"",""8772""]",[]
174,celecoxib,CIDm00002662,CHEMBL118,CELECOXIB,properties.name;properties.synonyms;properties.trade_names,RZEKVGVHFLEQIL-UHFFFAOYSA-N,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,"[""DB00482"",""human/EPAR/onsenal"",""celecoxib"",""41423""]",[]
