matrix_index,drug_name,stitch_id,stitch_inchikey,optimuskg_id,optimuskg_name,optimuskg_inchikey,was_previous_name_candidate
115,alfuzosin,CIDm00002092,WNMJYKCGWZFFKR-UHFFFAOYSA-N,CHEMBL709,ALFUZOSIN,WNMJYKCGWZFFKR-UHFFFAOYSA-N,true
116,nitisinone,CIDm00115355,OUBCNLGXQFSTLU-UHFFFAOYSA-N,CHEMBL1337,NITISINONE,OUBCNLGXQFSTLU-UHFFFAOYSA-N,true
117,clobazam,CIDm00002789,CXOXHMZGEKVPMT-UHFFFAOYSA-N,CHEMBL70418,CLOBAZAM,CXOXHMZGEKVPMT-UHFFFAOYSA-N,true
122,anidulafungin,CIDm00166548,JHVAMHSQVVQIOT-MFAJLEFUSA-N,CHEMBL264241,ANIDULAFUNGIN,JHVAMHSQVVQIOT-MFAJLEFUSA-N,true
126,mirtazapine,CIDm00004205,RONZAEMNMFQXRA-MRXNPFEDSA-N,CHEMBL1366933,ESMIRTAZAPINE,RONZAEMNMFQXRA-MRXNPFEDSA-N,false
126,mirtazapine,CIDm00004205,RPUBHMMISKEXSR-MLCLTIQSSA-N,CHEMBL2107339,ESMIRTAZAPINE MALEATE,RPUBHMMISKEXSR-MLCLTIQSSA-N,false
126,mirtazapine,CIDm00004205,RONZAEMNMFQXRA-UHFFFAOYSA-N,CHEMBL654,MIRTAZAPINE,RONZAEMNMFQXRA-UHFFFAOYSA-N,true
130,mexiletine,CIDm00004178,NFEIBWMZVIVJLQ-UHFFFAOYSA-N,CHEMBL1200606,MEXILETINE HYDROCHLORIDE,NFEIBWMZVIVJLQ-UHFFFAOYSA-N,false
130,mexiletine,CIDm00004178,VLPIATFUUWWMKC-SNVBAGLBSA-N,CHEMBL147507,(R)-MEXILETINE,VLPIATFUUWWMKC-SNVBAGLBSA-N,true
130,mexiletine,CIDm00004178,VLPIATFUUWWMKC-UHFFFAOYSA-N,CHEMBL558,MEXILETINE,VLPIATFUUWWMKC-UHFFFAOYSA-N,true
132,amlodipine,CIDm00002162,TZNOWAJJWCGILX-BTJKTKAUSA-N,CHEMBL1200984,AMLODIPINE MALEATE,TZNOWAJJWCGILX-BTJKTKAUSA-N,false
132,amlodipine,CIDm00002162,HTIQEAQVCYTUBX-UHFFFAOYSA-N,CHEMBL1491,AMLODIPINE,HTIQEAQVCYTUBX-UHFFFAOYSA-N,true
132,amlodipine,CIDm00002162,HTIQEAQVCYTUBX-KRWDZBQOSA-N,CHEMBL2111097,LEVAMLODIPINE,HTIQEAQVCYTUBX-KRWDZBQOSA-N,false
132,amlodipine,CIDm00002162,TZNOWAJJWCGILX-HNUXRKMMSA-N,CHEMBL4594288,LEVAMLODIPINE MALEATE,TZNOWAJJWCGILX-HNUXRKMMSA-N,false
134,nimodipine,CIDm00004497,UIAGMCDKSXEBJQ-UHFFFAOYSA-N,CHEMBL1428,NIMODIPINE,UIAGMCDKSXEBJQ-UHFFFAOYSA-N,true
137,sorafenib,CIDm00216239,IVDHYUQIDRJSTI-UHFFFAOYSA-N,CHEMBL1200485,SORAFENIB TOSYLATE,IVDHYUQIDRJSTI-UHFFFAOYSA-N,false
137,sorafenib,CIDm00216239,MLDQJTXFUGDVEO-UHFFFAOYSA-N,CHEMBL1336,SORAFENIB,MLDQJTXFUGDVEO-UHFFFAOYSA-N,true
137,sorafenib,CIDm00216239,MLDQJTXFUGDVEO-FIBGUPNXSA-N,CHEMBL4297490,CM-4307,MLDQJTXFUGDVEO-FIBGUPNXSA-N,false
138,zoledronic.acid,CIDm00068740,FUXFIVRTGHOMSO-UHFFFAOYSA-N,CHEMBL4303669,ZOLEDRONIC ACID,FUXFIVRTGHOMSO-UHFFFAOYSA-N,false
138,zoledronic.acid,CIDm00068740,XRASPMIURGNCCH-UHFFFAOYSA-N,CHEMBL924,ZOLEDRONIC ACID ANHYDROUS,XRASPMIURGNCCH-UHFFFAOYSA-N,false
139,nisoldipine,CIDm00004499,VKQFCGNPDRICFG-UHFFFAOYSA-N,CHEMBL1726,NISOLDIPINE,VKQFCGNPDRICFG-UHFFFAOYSA-N,true
141,alprazolam,CIDm00002118,VREFGVBLTWBCJP-UHFFFAOYSA-N,CHEMBL661,ALPRAZOLAM,VREFGVBLTWBCJP-UHFFFAOYSA-N,true
142,loxapine,CIDm00003964,JSXBVMKACNEMKY-UHFFFAOYSA-N,CHEMBL1201060,LOXAPINE HYDROCHLORIDE,JSXBVMKACNEMKY-UHFFFAOYSA-N,false
142,loxapine,CIDm00003964,YQZBAXDVDZTKEQ-UHFFFAOYSA-N,CHEMBL1201155,LOXAPINE SUCCINATE,YQZBAXDVDZTKEQ-UHFFFAOYSA-N,false
142,loxapine,CIDm00003964,XJGVXQDUIWGIRW-UHFFFAOYSA-N,CHEMBL831,LOXAPINE,XJGVXQDUIWGIRW-UHFFFAOYSA-N,true
144,rosiglitazone,CIDm00077998,YASAKCUCGLMORW-UHFFFAOYSA-N,CHEMBL121,ROSIGLITAZONE,YASAKCUCGLMORW-UHFFFAOYSA-N,true
144,rosiglitazone,CIDm00077998,SUFUKZSWUHZXAV-BTJKTKAUSA-N,CHEMBL843,ROSIGLITAZONE MALEATE,SUFUKZSWUHZXAV-BTJKTKAUSA-N,false
146,miglustat,CIDm00051634,UQRORFVVSGFNRO-UTINFBMNSA-N,CHEMBL1029,MIGLUSTAT,UQRORFVVSGFNRO-UTINFBMNSA-N,true
146,miglustat,CIDm00051634,UQRORFVVSGFNRO-XFWSIPNHSA-N,CHEMBL1086997,LUCERASTAT,UQRORFVVSGFNRO-XFWSIPNHSA-N,false
147,methylphenidate,CIDm00004158,JUMYIBMBTDDLNG-UHFFFAOYSA-N,CHEMBL1722,METHYLPHENIDATE HYDROCHLORIDE,JUMYIBMBTDDLNG-UHFFFAOYSA-N,false
147,methylphenidate,CIDm00004158,DUGOZIWVEXMGBE-UHFFFAOYSA-N,CHEMBL796,METHYLPHENIDATE,DUGOZIWVEXMGBE-UHFFFAOYSA-N,true
147,methylphenidate,CIDm00004158,DUGOZIWVEXMGBE-CHWSQXEVSA-N,CHEMBL827,DEXMETHYLPHENIDATE,DUGOZIWVEXMGBE-CHWSQXEVSA-N,false
147,methylphenidate,CIDm00004158,JUMYIBMBTDDLNG-OJERSXHUSA-N,CHEMBL904,DEXMETHYLPHENIDATE HYDROCHLORIDE,JUMYIBMBTDDLNG-OJERSXHUSA-N,false
149,zolpidem,CIDm00005732,VXRDAMSNTXUHFX-UHFFFAOYSA-N,CHEMBL3989820,ZOLPIDEM TARTRATE,VXRDAMSNTXUHFX-UHFFFAOYSA-N,false
149,zolpidem,CIDm00005732,ZAFYATHCZYHLPB-UHFFFAOYSA-N,CHEMBL911,ZOLPIDEM,ZAFYATHCZYHLPB-UHFFFAOYSA-N,true
