matrix_index,side_effect_name,sider_umls_cui,meddra_id,meddra_name,canonical_optimuskg_id,alias_optimuskg_ids,mapping_method,mapping_status,requires_review
773,pupils unequal,C0003079,10037538,Pupils unequal,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
774,purpura,C0034150,10037549,Purpura,meddra:10037549,"[""HP_0000979""]",sider_umls_pt,meddra_with_hpo_alias,False
775,pyelonephritis,C0034186,10037596,Pyelonephritis,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
776,urine purulent,,,,,[],,unresolved,True
777,rales,C0034642,10037833,Rales,,[],exact_meddra_pt_name,meddra_resolved_but_not_in_optimuskg,True
778,rash,C0015230,10037844,Rash,meddra:10037844,"[""HP_0000988""]",sider_umls_pt,meddra_with_hpo_alias,False
779,rash erythematous,C0234913,10037855,Rash erythematous,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
780,rash generalised,C0497365,10037858,Rash generalised,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
781,rash macular,C0221201,10037867,Rash macular,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
782,macula papules rash,,,,,[],,unresolved,True
783,rash papular,C1519353,10037876,Rash papular,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
784,rash pustular,C0085641,10037888,Rash pustular,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
785,rectal haemorrhage,C0267596,10038063,Rectal haemorrhage,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
786,defecation urge painful,,,,,[],,unresolved,True
787,regurgitation,C2004489,10067171,Regurgitation,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
788,renal failure,C0035078,10038435,Renal failure,meddra:10038435,"[""HP_0000083""]",sider_umls_pt,meddra_with_hpo_alias,False
789,renal impairment,C1565489,10062237,Renal impairment,meddra:10062237,"[""HP_0000083""]",sider_umls_pt,meddra_with_hpo_alias,False
790,renal pain,C0558489,10038490,Renal pain,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
791,renal tubular necrosis,C1720775,10038540,Renal tubular necrosis,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
792,respiration abnormal,C1260922,10038647,Respiration abnormal,,"[""HP_0002086""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
793,respiratory depression,C0235063,10038678,Respiratory depression,,"[""HP_0002791""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
794,respiratory disorder,C0035204,10038683,Respiratory disorder,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
795,respiratory distress,C0476273,10038687,Respiratory distress,,"[""HP_0002098""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
796,respiratory failure,C1145670,10038695,Respiratory failure,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
797,respiratory tract congestion,C0948349,10052251,Respiratory tract congestion,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
798,respiratory tract infection,C0035243,10062352,Respiratory tract infection,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
799,restless legs syndrome,C0035258,10058920,Restless legs syndrome,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
800,retching,C0232602,10038776,Retching,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
801,retinal degeneration,C0035304,10038845,Retinal degeneration,,"[""HP_0001105""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
802,retinal detachment,C0035305,10038848,Retinal detachment,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
803,retinal disorder,C0035309,10038853,Retinal disorder,,"[""HP_0000479""]",exact_meddra_pt_name,meddra_resolved_but_not_in_optimuskg,True
804,retinal haemorrhage,C0035317,10038867,Retinal haemorrhage,,"[""HP_0000573""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
805,retroperitoneal haemorrhage,C0151705,10038980,Retroperitoneal haemorrhage,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
806,rhabdomyolysis,C0035410,10039020,Rhabdomyolysis,meddra:10039020,[],sider_umls_pt,meddra_by_umls,False
807,rheumatoid arthritis,C0003873,10039073,Rheumatoid arthritis,,"[""HP_0001370""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
808,rhinitis,C0035455,10039083,Rhinitis,meddra:10039083,[],sider_umls_pt,meddra_by_umls,False
809,rhinitis allergic,C2607914,10039085,Rhinitis allergic,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
810,mucous nasal increased,,,,,[],,unresolved,True
811,dry rales,,,,,[],,unresolved,True
812,road traffic accident,C0221706,10039203,Road traffic accident,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
813,rosacea,C0035854,10039218,Rosacea,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
