matrix_index,drug_name,stitch_id,candidate_count,candidate_ids,mapping_status
109,olanzapine,CIDm00004585,1,CHEMBL715,unique_exact
110,atenolol,CIDm00002249,1,CHEMBL24,unique_exact
111,pimecrolimus,CIDm06509979,1,CHEMBL1200686,unique_exact
112,omeprazole,CIDm00004594,1,CHEMBL1503,unique_exact
113,cetirizine,CIDm01548999,2,CHEMBL1000;CHEMBL1607273,ambiguous_exact
114,diltiazem,CIDm00039186,1,CHEMBL23,unique_exact
115,alfuzosin,CIDm00002092,1,CHEMBL709,unique_exact
116,nitisinone,CIDm00115355,2,CHEMBL1337;RXNORM:61805,ambiguous_exact
117,clobazam,CIDm00002789,1,CHEMBL70418,unique_exact
118,megestrol,CIDm00019090,1,CHEMBL1201139,unique_exact
119,aztreonam,CIDm05742832,1,CHEMBL158,unique_exact
120,sapropterin,CIDm00044257,1,CHEMBL1201774,unique_exact
121,vinorelbine,CIDm00060779,1,CHEMBL553025,unique_exact
122,anidulafungin,CIDm00166548,1,CHEMBL264241,unique_exact
123,clozapine,CIDm00002818,1,CHEMBL42,unique_exact
124,levonorgestrel,CIDm00013109,1,CHEMBL1389,unique_exact
125,cidofovir,CIDm00466146,2,CHEMBL152;CHEMBL5314375,ambiguous_exact
126,mirtazapine,CIDm00004205,1,CHEMBL654,unique_exact
127,timolol,CIDm00033624,1,CHEMBL499,unique_exact
128,treprostinil,CIDm06918140,2,CHEMBL1237119;RXNORM:343048,ambiguous_exact
129,palonosetron,CIDm06337614,1,CHEMBL1189679,unique_exact
130,mexiletine,CIDm00004178,2,CHEMBL147507;CHEMBL558,ambiguous_exact
131,dexrazoxane,CIDm00071384,1,CHEMBL1738,unique_exact
132,amlodipine,CIDm00002162,2,CHEMBL1491;RXNORM:17767,ambiguous_exact
133,digoxin,CIDm02724385,1,CHEMBL1751,unique_exact
134,nimodipine,CIDm00004497,1,CHEMBL1428,unique_exact
135,beclometasone,CIDm00020469,1,CHEMBL1200500,unique_exact
136,progesterone,CIDm00005994,1,CHEMBL103,unique_exact
137,sorafenib,CIDm00216239,1,CHEMBL1336,unique_exact
138,zoledronic.acid,CIDm00068740,0,"",unmatched
139,nisoldipine,CIDm00004499,1,CHEMBL1726,unique_exact
140,eszopiclone,CIDm00969472,1,CHEMBL1522,unique_exact
141,alprazolam,CIDm00002118,1,CHEMBL661,unique_exact
142,loxapine,CIDm00003964,1,CHEMBL831,unique_exact
143,mupirocin,CIDm00446596,2,CHEMBL3989715;CHEMBL719,ambiguous_exact
144,rosiglitazone,CIDm00077998,1,CHEMBL121,unique_exact
145,pramipexole,CIDm00119569,1,CHEMBL301265,unique_exact
146,miglustat,CIDm00051634,1,CHEMBL1029,unique_exact
147,methylphenidate,CIDm00004158,1,CHEMBL796,unique_exact
148,hyoscyamine,CIDm00003661,1,CHEMBL1331216,unique_exact
149,zolpidem,CIDm00005732,1,CHEMBL911,unique_exact
150,famciclovir,CIDm00003324,1,CHEMBL880,unique_exact
151,streptozocin,CIDm00029327,2,CHEMBL1603;CHEMBL1651906,ambiguous_exact
152,allopurinol,CIDm00002094,2,CHEMBL1467;RXNORM:519,ambiguous_exact
153,ceftazidime,CIDm05481173,1,CHEMBL44354,unique_exact
154,cerivastatin,CIDm00446156,1,CHEMBL1477,unique_exact
155,trimethoprim,CIDm00005578,1,CHEMBL22,unique_exact
156,gemcitabine,CIDm00060749,1,CHEMBL888,unique_exact
157,entecavir,CIDm00153941,2,CHEMBL5314362;CHEMBL713,ambiguous_exact
158,teniposide,CIDm00452548,1,CHEMBL452231,unique_exact
159,epirubicin,CIDm00041867,1,CHEMBL417,unique_exact
160,lansoprazole,CIDm00003883,1,CHEMBL480,unique_exact
161,loratadine,CIDm00003957,1,CHEMBL998,unique_exact
162,prazosin,CIDm00004893,1,CHEMBL2,unique_exact
163,imipramine,CIDm00003696,1,CHEMBL11,unique_exact
164,acitretin,CIDm05284513,1,CHEMBL1131,unique_exact
165,verteporfin,CIDm05362420,2,CHEMBL2052016;CHEMBL5314346,ambiguous_exact
166,nabumetone,CIDm00004409,1,CHEMBL1070,unique_exact
167,ketorolac,CIDm00003826,1,CHEMBL469,unique_exact
168,montelukast,CIDm05281040,1,CHEMBL787,unique_exact
169,fluoxetine,CIDm00003386,3,CHEMBL1201082;CHEMBL153036;CHEMBL41,ambiguous_exact
170,duloxetine,CIDm00060834,1,CHEMBL1175,unique_exact
171,rimantadine,CIDm00005071,1,CHEMBL959,unique_exact
172,lenalidomide,CIDm00216326,2,CHEMBL848;RXNORM:342369,ambiguous_exact
173,raloxifene,CIDm00005035,1,CHEMBL81,unique_exact
174,celecoxib,CIDm00002662,1,CHEMBL118,unique_exact
175,brimonidine,CIDm00002435,1,CHEMBL844,unique_exact
176,dicloxacillin,CIDm00018381,1,CHEMBL893,unique_exact
177,nabilone,CIDm00039860,2,CHEMBL2218896;CHEMBL947,ambiguous_exact
178,sotalol,CIDm00005253,1,CHEMBL471,unique_exact
179,buspirone,CIDm00002477,1,CHEMBL49,unique_exact
180,fosinopril,CIDm00055891,1,CHEMBL3039598,unique_exact
181,entacapone,CIDm05281081,2,CHEMBL953;RXNORM:60307,ambiguous_exact
182,zidovudine,CIDm00035370,1,CHEMBL129,unique_exact
183,darifenacin,CIDm00444030,1,CHEMBL1346,unique_exact
184,oxycodone,CIDm05284603,1,CHEMBL656,unique_exact
185,flutamide,CIDm00003397,1,CHEMBL806,unique_exact
186,cimetidine,CIDm00002756,1,CHEMBL30,unique_exact
187,haloperidol,CIDm00003559,1,CHEMBL54,unique_exact
188,ritonavir,CIDm00392622,2,CHEMBL163;RXNORM:85762,ambiguous_exact
189,nitazoxanide,CIDm00041684,1,CHEMBL1401,unique_exact
