matrix_index,drug_name,stitch_id,optimuskg_id,optimuskg_name,mapping_method,mapping_confidence,candidate_count,resolution_status
85,raltitrexed,CIDm00104758,CHEMBL225071,RALTITREXED,unique_exact,high,1,resolved
86,etonogestrel,CIDm06917715,CHEMBL1531,ETONOGESTREL,unique_exact,high,1,resolved
87,morphine,CIDm05288826,CHEMBL70,MORPHINE,unique_exact,high,1,resolved
88,ropivacaine,CIDm00175804,CHEMBL1077896,ROPIVACAINE,unique_exact,high,1,resolved
89,bupivacaine,CIDm00002474,"","","","",2,ambiguous
90,penciclovir,CIDm00004725,CHEMBL1540,PENCICLOVIR,unique_exact,high,1,resolved
91,tenofovir.disoproxil,CIDm05481350,"","","","",2,ambiguous
92,flucloxacillin,CIDm00021319,CHEMBL222645,FLOXACILLIN,unique_exact,high,1,resolved
93,tranexamic.acid,CIDm00005526,CHEMBL877,TRANEXAMIC ACID,dot_normalized_exact,high,1,resolved
94,ertapenem,CIDm00150610,CHEMBL1359,ERTAPENEM,unique_exact,high,1,resolved
95,bexarotene,CIDm00082146,CHEMBL1023,BEXAROTENE,unique_exact,high,1,resolved
96,ibutilide,CIDm00060752,CHEMBL533,IBUTILIDE,unique_exact,high,1,resolved
97,chlortalidone,CIDm00002732,CHEMBL1055,CHLORTHALIDONE,unique_exact,high,1,resolved
98,valproic.acid,CIDm00003121,CHEMBL109,VALPROIC ACID,dot_normalized_exact,high,1,resolved
99,zolmitriptan,CIDm00060857,CHEMBL1185,ZOLMITRIPTAN,unique_exact,high,1,resolved
100,paracetamol,CIDm00001983,CHEMBL112,ACETAMINOPHEN,unique_exact,high,1,resolved
101,gefitinib,CIDm00123631,CHEMBL939,GEFITINIB,unique_exact,high,1,resolved
102,piperacillin,CIDm00043672,CHEMBL702,PIPERACILLIN,canonical_name_disambiguation,high,2,resolved
103,dihydroergotamine,CIDm00010531,CHEMBL1732,DIHYDROERGOTAMINE,unique_exact,high,1,resolved
104,tolcapone,CIDm04659569,CHEMBL1324,TOLCAPONE,unique_exact,high,1,resolved
105,hydromorphone,CIDm05284570,CHEMBL398707,HYDROMORPHONE,unique_exact,high,1,resolved
106,indometacin,CIDm00003715,CHEMBL6,INDOMETHACIN,unique_exact,high,1,resolved
107,metformin,CIDm00004091,"","","","",2,ambiguous
108,ipratropium.bromide,CIDm00003746,CHEMBL2134724,IPRATROPIUM BROMIDE,dot_normalized_exact,high,1,resolved
