matrix_index,biokorf_drug_id,drug_name,stitch_id,entity_type,optimuskg_ids,optimuskg_node_count,mapping_source,mapping_confidence,kg_mapping_status,requires_manual_review
68,BIOKORF_DRUG_068,carmustine,CIDm00002578,drug,"[""CHEMBL513""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
69,BIOKORF_DRUG_069,metoprolol,CIDm00004171,drug,"[""CHEMBL13""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
70,BIOKORF_DRUG_070,ropinirole,CIDm00005095,drug,"[""CHEMBL589""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
71,BIOKORF_DRUG_071,isradipine,CIDm00003784,drug,"[""CHEMBL1648""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
72,BIOKORF_DRUG_072,topiramate,CIDm05284627,drug,"[""CHEMBL220492""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
73,BIOKORF_DRUG_073,olmesartan.medoxomil,CIDm00158781,drug,[],0,triage:FORM_OR_SALT_AMBIGUITY,review_required,review_required,true
74,BIOKORF_DRUG_074,amsacrine,CIDm00002179,drug,"[""CHEMBL43""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
75,BIOKORF_DRUG_075,theophylline,CIDm00002153,drug,"[""CHEMBL190""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
76,BIOKORF_DRUG_076,argatroban,CIDm00092721,drug,"[""CHEMBL1166""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
77,BIOKORF_DRUG_077,lidocaine,CIDm00003676,drug,"[""CHEMBL79""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
78,BIOKORF_DRUG_078,pamidronic.acid,CIDm00004673,drug,"[""CHEMBL834""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
79,BIOKORF_DRUG_079,venlafaxine,CIDm00005656,drug,"[""CHEMBL637""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
80,BIOKORF_DRUG_080,conjugated.estrogens,CIDm00168708,drug,"[""DRUGBANK:DB00286""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
81,BIOKORF_DRUG_081,travoprost,CIDm05282226,drug,"[""CHEMBL1200799""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
82,BIOKORF_DRUG_082,atomoxetine,CIDm00054840,drug,"[""CHEMBL641""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
83,BIOKORF_DRUG_083,bleomycin,CIDm05360373,drug,[],0,triage:FORM_OR_SALT_AMBIGUITY,review_required,review_required,true
84,BIOKORF_DRUG_084,chlorambucil,CIDm00002708,drug,"[""CHEMBL515""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
85,BIOKORF_DRUG_085,raltitrexed,CIDm00104758,drug,"[""CHEMBL225071""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
86,BIOKORF_DRUG_086,etonogestrel,CIDm06917715,drug,"[""CHEMBL1531""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
87,BIOKORF_DRUG_087,morphine,CIDm05288826,drug,"[""CHEMBL70""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
88,BIOKORF_DRUG_088,ropivacaine,CIDm00175804,drug,"[""CHEMBL1077896""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
89,BIOKORF_DRUG_089,bupivacaine,CIDm00002474,drug,"[""CHEMBL1098""]",1,evidence_fusion:resolved_by_unique_intersection,very_high,mapped_single,false
90,BIOKORF_DRUG_090,penciclovir,CIDm00004725,drug,"[""CHEMBL1540""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
91,BIOKORF_DRUG_091,tenofovir.disoproxil,CIDm05481350,drug,"[""CHEMBL1538"", ""RXNORM:300195""]",2,triage:SAFE_MULTI_NODE,high,mapped_multi,false
92,BIOKORF_DRUG_092,flucloxacillin,CIDm00021319,drug,"[""CHEMBL222645""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
93,BIOKORF_DRUG_093,tranexamic.acid,CIDm00005526,drug,"[""CHEMBL877""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
94,BIOKORF_DRUG_094,ertapenem,CIDm00150610,drug,"[""CHEMBL1359""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
95,BIOKORF_DRUG_095,bexarotene,CIDm00082146,drug,"[""CHEMBL1023""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
96,BIOKORF_DRUG_096,ibutilide,CIDm00060752,drug,"[""CHEMBL533""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
97,BIOKORF_DRUG_097,chlortalidone,CIDm00002732,drug,"[""CHEMBL1055""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
98,BIOKORF_DRUG_098,valproic.acid,CIDm00003121,drug,"[""CHEMBL109""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
99,BIOKORF_DRUG_099,zolmitriptan,CIDm00060857,drug,"[""CHEMBL1185""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
100,BIOKORF_DRUG_100,paracetamol,CIDm00001983,drug,"[""CHEMBL112""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
101,BIOKORF_DRUG_101,gefitinib,CIDm00123631,drug,"[""CHEMBL939""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
102,BIOKORF_DRUG_102,piperacillin,CIDm00043672,drug,"[""CHEMBL702""]",1,evidence_fusion:supported_canonical_name,high,mapped_single,false
103,BIOKORF_DRUG_103,dihydroergotamine,CIDm00010531,drug,"[""CHEMBL1732""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
104,BIOKORF_DRUG_104,tolcapone,CIDm04659569,drug,"[""CHEMBL1324""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
105,BIOKORF_DRUG_105,hydromorphone,CIDm05284570,drug,"[""CHEMBL398707""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
106,BIOKORF_DRUG_106,indometacin,CIDm00003715,drug,"[""CHEMBL6""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
107,BIOKORF_DRUG_107,metformin,CIDm00004091,drug,"[""CHEMBL1431""]",1,evidence_fusion:resolved_by_unique_intersection,very_high,mapped_single,false
108,BIOKORF_DRUG_108,ipratropium.bromide,CIDm00003746,drug,"[""CHEMBL2134724""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
109,BIOKORF_DRUG_109,olanzapine,CIDm00004585,drug,"[""CHEMBL715""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
110,BIOKORF_DRUG_110,atenolol,CIDm00002249,drug,"[""CHEMBL24""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
111,BIOKORF_DRUG_111,pimecrolimus,CIDm06509979,drug,"[""CHEMBL1200686""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
112,BIOKORF_DRUG_112,omeprazole,CIDm00004594,drug,"[""CHEMBL1503""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
113,BIOKORF_DRUG_113,cetirizine,CIDm01548999,drug,"[""CHEMBL1000""]",1,evidence_fusion:supported_canonical_name,high,mapped_single,false
114,BIOKORF_DRUG_114,diltiazem,CIDm00039186,drug,"[""CHEMBL23""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
115,BIOKORF_DRUG_115,alfuzosin,CIDm00002092,drug,"[""CHEMBL709""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
116,BIOKORF_DRUG_116,nitisinone,CIDm00115355,drug,"[""CHEMBL1337""]",1,evidence_fusion:resolved_by_unique_structure_candidate,very_high,mapped_single,false
117,BIOKORF_DRUG_117,clobazam,CIDm00002789,drug,"[""CHEMBL70418""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
118,BIOKORF_DRUG_118,megestrol,CIDm00019090,drug,"[""CHEMBL1201139""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
119,BIOKORF_DRUG_119,aztreonam,CIDm05742832,drug,"[""CHEMBL158""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
120,BIOKORF_DRUG_120,sapropterin,CIDm00044257,drug,"[""CHEMBL1201774""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
121,BIOKORF_DRUG_121,vinorelbine,CIDm00060779,drug,"[""CHEMBL553025""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
122,BIOKORF_DRUG_122,anidulafungin,CIDm00166548,drug,"[""CHEMBL264241""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
123,BIOKORF_DRUG_123,clozapine,CIDm00002818,drug,"[""CHEMBL42""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
124,BIOKORF_DRUG_124,levonorgestrel,CIDm00013109,drug,"[""CHEMBL1389""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
125,BIOKORF_DRUG_125,cidofovir,CIDm00466146,drug,"[""CHEMBL5314375""]",1,evidence_fusion:supported_canonical_name,high,mapped_single,false
126,BIOKORF_DRUG_126,mirtazapine,CIDm00004205,drug,"[""CHEMBL654""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
127,BIOKORF_DRUG_127,timolol,CIDm00033624,drug,"[""CHEMBL499""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
128,BIOKORF_DRUG_128,treprostinil,CIDm06918140,drug,"[""CHEMBL1237119"", ""RXNORM:343048""]",2,triage:SAFE_MULTI_NODE,high,mapped_multi,false
129,BIOKORF_DRUG_129,palonosetron,CIDm06337614,drug,"[""CHEMBL1189679""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
130,BIOKORF_DRUG_130,mexiletine,CIDm00004178,drug,"[""CHEMBL558""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
131,BIOKORF_DRUG_131,dexrazoxane,CIDm00071384,drug,"[""CHEMBL1738""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
132,BIOKORF_DRUG_132,amlodipine,CIDm00002162,drug,"[""CHEMBL1491""]",1,evidence_fusion:resolved_by_unique_intersection,very_high,mapped_single,false
133,BIOKORF_DRUG_133,digoxin,CIDm02724385,drug,"[""CHEMBL1751""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
134,BIOKORF_DRUG_134,nimodipine,CIDm00004497,drug,"[""CHEMBL1428""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
135,BIOKORF_DRUG_135,beclometasone,CIDm00020469,drug,"[""CHEMBL1200500""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
136,BIOKORF_DRUG_136,progesterone,CIDm00005994,drug,"[""CHEMBL103""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
137,BIOKORF_DRUG_137,sorafenib,CIDm00216239,drug,"[""CHEMBL1336""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
138,BIOKORF_DRUG_138,zoledronic.acid,CIDm00068740,drug,"[""CHEMBL4303669""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
139,BIOKORF_DRUG_139,nisoldipine,CIDm00004499,drug,"[""CHEMBL1726""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
140,BIOKORF_DRUG_140,eszopiclone,CIDm00969472,drug,"[""CHEMBL1522""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
141,BIOKORF_DRUG_141,alprazolam,CIDm00002118,drug,"[""CHEMBL661""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
142,BIOKORF_DRUG_142,loxapine,CIDm00003964,drug,"[""CHEMBL831""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
143,BIOKORF_DRUG_143,mupirocin,CIDm00446596,drug,"[""CHEMBL719""]",1,evidence_fusion:supported_canonical_name,high,mapped_single,false
144,BIOKORF_DRUG_144,rosiglitazone,CIDm00077998,drug,"[""CHEMBL121""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
145,BIOKORF_DRUG_145,pramipexole,CIDm00119569,drug,"[""CHEMBL301265""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
