matrix_index,side_effect_name,optimuskg_id,optimuskg_name,ontology_namespace,matched_field,properties.code,properties.umls_cui,properties.concept_ids,properties.xrefs,properties.snomed_concept_ids
424,hyperacusis,HP_0010780,Hyperacusis,HPO,properties.name,"","",[],[],[]
431,high blood sugar,HP_0003074,Hyperglycemia,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0003074,C0020456,"[""21003278""]","[""SNOMEDCT_US:237598005"",""NCIt:C26797"",""SNOMEDCT_US:80394007"",""SNOMEDCT:80394007"",""UMLS:C0020456"",""DOID:4195""]","[""80394007.0""]"
432,hyperhidrosis,HP_0000975,Hyperhidrosis,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0000975,C0020458,"[""21003077""]","[""SNOMEDCT_US:312230002"",""UMLS:C0700590"",""UMLS:C0038990"",""SNOMEDCT_US:415690000"",""SNOMEDCT_US:364538006"",""UMLS:C0020458"",""SNOMEDCT_US:52613005"",""SNOMEDCT_US:161857006"",""SNOMEDCT_US:415691001"",""MEDDRA:10020642""]","[""312230002.0""]"
434,hyperkeratosis,HP_0000962,Hyperkeratosis,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0000962,C0870082,"[""21002702""]","[""MEDDRA:10020649"",""UMLS:C0870082"",""SNOMEDCT_US:399955009"",""SNOMEDCT_US:26996000"",""SNOMEDCT_US:396228006""]","[""396228006.0""]"
443,hypersensitivity,meddra:10020751,Hypersensitivity,MEDDRA,properties.name,"","",[],[],[]
445,hypertension,HP_0000822,Hypertension,HPO,properties.name;properties.concept_names,http://purl.obolibrary.org/obo/HP_0000822,C0020538,"[""21001432"",""40249783""]","[""UMLS:C0497247"",""SNOMEDCT_US:38341003"",""SNOMEDCT_US:24184005"",""UMLS:C0020538""]","[""38341003.0""]"
445,hypertension,meddra:10020772,Hypertension,MEDDRA,properties.name,"","",[],[],[]
446,hyperthyroidism,HP_0000836,Hyperthyroidism,HPO,properties.name,"","",[],[],[]
448,hypertrichosis,HP_0000998,Hypertrichosis,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0000998,"",[],"[""SNOMEDCT_US:29966009"",""SNOMEDCT_US:271607001"",""UMLS:C0020555""]",[]
451,hyperventilation,HP_0002883,Hyperventilation,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0002883,"",[],"[""SNOMEDCT_US:68978004"",""UMLS:C0020578""]",[]
458,hypoglycemia,HP_0001943,Hypoglycemia,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0001943,C0020615,"[""21000607"",""40249272""]","[""SNOMEDCT:302866003"",""UMLS:C0020615"",""SNOMEDCT_US:237630007"",""SNOMEDCT_US:302866003"",""OMIM:240800"",""DOID:9993"",""NCIt:C3126"",""SNOMEDCT_US:271327008""]","[""237630007.0"",""302866003.0""]"
468,hypotension,HP_0002615,Hypotension,HPO,properties.name,"","",[],[],[]
468,hypotension,meddra:10021097,Hypotension,MEDDRA,properties.name,"","",[],[],[]
469,hypothermia,HP_0002045,Hypothermia,HPO,properties.name;properties.exact_synonyms;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0002045,C0020672,"[""21003372""]","[""UMLS:C0020672"",""SNOMEDCT_US:386689009""]","[""386689009.0""]"
470,hypothyroidism,HP_0000821,Hypothyroidism,HPO,properties.name,"","",[],[],[]
470,hypothyroidism,meddra:10021114,Hypothyroidism,MEDDRA,properties.name,"","",[],[],[]
471,hypotonia,HP_0001252,Hypotonia,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0001252,"",[],"[""SNOMEDCT_US:398151007"",""UMLS:C0026827"",""SNOMEDCT_US:398152000""]",[]
472,hypoventilation,HP_0002791,Hypoventilation,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0002791,C0235063,"[""21001914""]","[""SNOMEDCT_US:15993004"",""SNOMEDCT_US:80954004"",""UMLS:C0235063"",""SNOMEDCT_US:31515003"",""UMLS:C3203358""]","[""80954004.0""]"
473,hypoxia,HP_0012418,Hypoxemia,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0012418,"",[],"[""SNOMEDCT_US:389087006"",""UMLS:C0700292""]",[]
474,ileus,HP_0002595,Ileus,HPO,properties.name,"","",[],[],[]
477,immune system disorder,meddra:10021425,Immune system disorder,MEDDRA,properties.name,"","",[],[],[]
481,inappropriate antidiuretic hormone secretion,HP_0031218,Inappropriate antidiuretic hormone secretion,HPO,properties.name,"","",[],[],[]
483,increased appetite,HP_0002591,Polyphagia,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0002591,"",[],"[""SNOMEDCT_US:72405004"",""SNOMEDCT_US:267023007"",""UMLS:C0020505"",""SNOMEDCT_US:58424009"",""UMLS:C0232461""]",[]
488,infection,meddra:10021789,Infection,MEDDRA,properties.name,"","",[],[],[]
491,influenza,meddra:10022000,Influenza,MEDDRA,properties.name,"","",[],[],[]
502,injection site reaction,meddra:10022095,Injection site reaction,MEDDRA,properties.name,"","",[],[],[]
505,insomnia,HP_0100785,Insomnia,HPO,properties.name,"","",[],[],[]
505,insomnia,meddra:10022437,Insomnia,MEDDRA,properties.name,"","",[],[],[]
507,intermittent claudication,HP_0004417,Intermittent claudication,HPO,properties.name,"","",[],[],[]
509,interstitial lung disease,HP_0006530,Abnormal pulmonary interstitial morphology,HPO,properties.exact_synonyms;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0006530,C0206062,"[""21013422""]","[""SNOMEDCT_US:233703007"",""UMLS:C0206062""]","[""233703007.0""]"
509,interstitial lung disease,meddra:10022611,Interstitial lung disease,MEDDRA,properties.name,"","",[],[],[]
510,intestinal obstruction,HP_0005214,Intestinal obstruction,HPO,properties.name,"","",[],[],[]
511,intestinal perforation,HP_0031368,Intestinal perforation,HPO,properties.name,"","",[],[],[]
515,iron deficiency anaemia,HP_0001891,Iron deficiency anemia,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0001891,C0162316,"[""21000803""]","[""NCIt:C84484"",""DOID:11758"",""UMLS:C0162316"",""ICD10:D50"",""SNOMEDCT_US:87522002"",""SNOMEDCT:87522002""]","[""87522002.0""]"
