matrix_index,drug_name,optimuskg_id,optimuskg_name,matched_field,inchi_key,canonical_smiles,source_ids,accession_numbers,identity_class
257,sevelamer,CHEMBL5314349,SEVELAMER,properties.name;properties.synonyms,"","",[],[],insufficient_structure
257,sevelamer,DRUGBANK:DB00658,Sevelamer,properties.name;properties.synonyms,ZNSIZMQNQCNRBW-UHFFFAOYSA-N,"",[],"[""APRD01226""]",insufficient_structure
261,nafarelin,CHEMBL1201309,NAFARELIN,properties.name;properties.synonyms,PPXLVGBVOZLEIW-ITQXDASVSA-N,CC(C)C[C@H](NC(=O)[C@@H](Cc1cccc2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,[],[],mixed_identity
261,nafarelin,DRUGBANK:DB00666,Nafarelin,properties.name;properties.synonyms,RWHUEXWOYVBUCI-ITQXDASVSA-N,CC(C)C[C@H](NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,[],"[""APRD01129""]",mixed_identity
284,porfimer.sodium,CHEMBL1201481,PORFIMER SODIUM,properties.name;properties.synonyms,"","","[""porfimer%20sodium"",""human/EPAR/photobarr""]",[],insufficient_structure
284,porfimer.sodium,DRUGBANK:DB00707,Porfimer sodium,properties.name;properties.synonyms,"","",[],"[""APRD00078""]",insufficient_structure
286,lamivudine,CHEMBL141,LAMIVUDINE,properties.name;properties.synonyms;properties.trade_names,JTEGQNOMFQHVDC-NKWVEPMBSA-N,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,"[""DB00709"",""lamivudine"",""human/EPAR/lamivudine-teva"",""63577""]",[],insufficient_structure
286,lamivudine,RXNORM:68244,lamivudine,properties.name,"","",[],[],insufficient_structure
295,risperidone,CHEMBL85,RISPERIDONE,properties.name;properties.synonyms;properties.trade_names,RAPZEAPATHNIPO-UHFFFAOYSA-N,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,"[""risperidone"",""8871"",""DB00734"",""human/EPAR/okedi""]",[],insufficient_structure
295,risperidone,RXNORM:35636,risperidone,properties.name,"","",[],[],insufficient_structure
