matrix_index,side_effect_name,sider_umls_cui,optimuskg_match_count,meddra_match_count,hpo_match_count,canonical_optimuskg_id,alias_optimuskg_ids,mapping_status
251,diverticulitis,C0012813,0,0,0,"",[],umls_no_optimuskg_match
252,dizziness,C0012833,1,0,1,HP_0002321,[],umls_unique_other
253,dizziness postural,C0234987,0,0,0,"",[],umls_no_optimuskg_match
254,drug eruption,C0011609,0,0,0,"",[],umls_no_optimuskg_match
255,drug hypersensitivity,C0013182,0,0,0,"",[],umls_no_optimuskg_match
256,drug ineffective,C0852908,0,0,0,"",[],umls_no_optimuskg_match
257,dry eye,C0314719,0,0,0,"",[],umls_no_optimuskg_match
258,dry mouth,C0043352,0,0,0,"",[],umls_no_optimuskg_match
259,dry skin,C0151908,1,0,1,HP_0000958,[],umls_unique_other
260,dry throat,C0235234,0,0,0,"",[],umls_no_optimuskg_match
261,duodenal ulcer,C0013295,0,0,0,"",[],umls_no_optimuskg_match
262,duodenal inflammation,"",0,0,0,"",[],no_sider_umls
263,paresthesia,"",0,0,0,"",[],no_sider_umls
264,dysarthria,C0013362,1,0,1,HP_0001260,[],umls_unique_other
265,bad taste,"",0,0,0,"",[],no_sider_umls
266,dyskinesia,C0013384,0,0,0,"",[],umls_no_optimuskg_match
267,menses painful,"",0,0,0,"",[],no_sider_umls
268,dyspareunia,C1384606,1,0,1,HP_0030016,[],umls_unique_other
269,dyspepsia,C0013395,0,0,0,"",[],umls_no_optimuskg_match
270,dysphagia,C0011168,1,0,1,HP_0002015,[],umls_unique_other
271,dysphonia,C1527344,0,0,0,"",[],umls_no_optimuskg_match
272,dysphoria,C0233477,0,0,0,"",[],umls_no_optimuskg_match
273,air hunger,"",0,0,0,"",[],no_sider_umls
274,air hunger exertional,"",0,0,0,"",[],no_sider_umls
275,urinary spray,"",0,0,0,"",[],no_sider_umls
276,ear disorder,C0013447,0,0,0,"",[],umls_no_optimuskg_match
277,ear infection,C0699744,0,0,0,"",[],umls_no_optimuskg_match
278,ear pain,C0013456,1,0,1,HP_0030766,[],umls_unique_other
279,bruise,"",0,0,0,"",[],no_sider_umls
280,eczema,C0013595,1,0,1,HP_0000964,[],umls_unique_other
281,ejaculation delayed,C0234047,0,0,0,"",[],umls_no_optimuskg_match
282,ejaculation disorder,C0235969,0,0,0,"",[],umls_no_optimuskg_match
283,ejaculation failure,C0278106,0,0,0,"",[],umls_no_optimuskg_match
284,electrocardiogram abnormal,C0522055,2,0,2,"","[""HP_0003115"",""HP_0011675""]",umls_multiple_no_unique_meddra
285,electrocardiogram qt prolonged,C0151878,1,0,1,HP_0001657,[],umls_unique_other
286,electrocardiogram st segment depression,C0520887,0,0,0,"",[],umls_no_optimuskg_match
287,electroencephalogram abnormal,C0151611,1,0,1,HP_0002353,[],umls_unique_other
288,electrolyte imbalance,C0342579,0,0,0,"",[],umls_no_optimuskg_match
289,embolism,C0013922,0,0,0,"",[],umls_no_optimuskg_match
290,embolism venous,C0340726,0,0,0,"",[],umls_no_optimuskg_match
291,emotional disorder,C0233459,0,0,0,"",[],umls_no_optimuskg_match
292,emphysema,C0034067,0,0,0,"",[],umls_no_optimuskg_match
293,encephalopathy,C0085584,1,0,1,HP_0001298,[],umls_unique_other
294,endocrine disorder,C0014130,1,0,1,HP_0000818,[],umls_unique_other
295,endometrial disorder,C0151622,0,0,0,"",[],umls_no_optimuskg_match
296,ophthalmia,"",0,0,0,"",[],no_sider_umls
297,enteritis,C0014335,0,0,0,"",[],umls_no_optimuskg_match
298,enterocolitis,C0014356,0,0,0,"",[],umls_no_optimuskg_match
299,enuresis,C0014394,0,0,0,"",[],umls_no_optimuskg_match
300,eosinophilia,C0014457,1,0,1,HP_0001880,[],umls_unique_other
301,epididymitis,C0014534,1,0,1,HP_0000031,[],umls_unique_other
302,epigastric discomfort,C1291078,0,0,0,"",[],umls_no_optimuskg_match
303,epistaxis,C0014591,0,0,0,"",[],umls_no_optimuskg_match
