matrix_index,side_effect_name,sider_umls_cui,meddra_id,meddra_name,canonical_optimuskg_id,alias_optimuskg_ids,mapping_method,mapping_status,requires_review
418,herpes zoster,C0019360,10019974,Herpes zoster,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
419,hiatus hernia,C3489393,10020028,Hiatus hernia,,"[""HP_0002036""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
420,hiccups,C0019521,10020039,Hiccups,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
421,hirsutism,C0019572,10020112,Hirsutism,,"[""HP_0001007""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
422,hostility,C0020039,10020400,Hostility,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
424,hyperacusis,C0034880,10020559,Hyperacusis,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
425,venous congestion,,,,,[],,unresolved,True
426,allodynia mechanical,,,,,[],,unresolved,True
427,bilirubin blood,,,,,[],,unresolved,True
428,high calcium blood,,,,,[],,unresolved,True
429,high calcium urine,,,,,[],,unresolved,True
430,high cholesterol blood,,,,,[],,unresolved,True
431,high blood sugar,,,,,[],,unresolved,True
432,hyperhidrosis,C0020458,10020642,Hyperhidrosis,,"[""HP_0000975""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
433,high potassium blood,,,,,[],,unresolved,True
434,hyperkeratosis,C0870082,10020649,Hyperkeratosis,,"[""HP_0000962""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
435,movement function hyperactivity,,,,,[],,unresolved,True
436,high lactic acid blood,,,,,[],,unresolved,True
437,high levels of lipids,,,,,[],,unresolved,True
438,high magnesium blood,,,,,[],,unresolved,True
439,salt retention,,,,,[],,unresolved,True
440,pain allergy,,,,,[],,unresolved,True
441,high phosphorus blood,,,,,[],,unresolved,True
442,exaggerated reflexes,,,,,[],,unresolved,True
444,sleep excessive,,,,,[],,unresolved,True
446,hyperthyroidism,C0020550,10020850,Hyperthyroidism,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
447,tone increased,,,,,[],,unresolved,True
448,hypertrichosis,C0020555,10020864,Hypertrichosis,,"[""HP_0000998""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
449,high glycerin three ester blood,,,,,[],,unresolved,True
450,high uric acid blood,,,,,[],,unresolved,True
451,hyperventilation,C0020578,10020910,Hyperventilation,,"[""HP_0002883""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
452,body numbness,,,,,[],,unresolved,True
453,body numbness oral,,,,,[],,unresolved,True
454,low albumin blood,,,,,[],,unresolved,True
455,low calcium blood,,,,,[],,unresolved,True
456,low chlorine blood,,,,,[],,unresolved,True
457,chlorosis,,,,,[],,unresolved,True
458,hypoglycemia,,,,,[],,unresolved,True
459,drenching sweats,,,,,[],,unresolved,True
460,potassium deficiency,,,,,[],,unresolved,True
461,activity motor retarded,,,,,[],,unresolved,True
462,low magnesium blood,,,,,[],,unresolved,True
463,hypomania,C0241934,10021030,Hypomania,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
464,low sodium blood,,,,,[],,unresolved,True
465,phosphorus low blood,,,,,[],,unresolved,True
466,potassium deficiency,,,,,[],,unresolved,True
467,diminished reflexes,,,,,[],,unresolved,True
469,hypothermia,C0413252,10021113,Hypothermia,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
471,hypotonia,C0026827,10021118,Hypotonia,,"[""HP_0001252""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
472,hypoventilation,C3203358,10021133,Hypoventilation,,"[""HP_0002791""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
473,hypoxia,C0242184,10021143,Hypoxia,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
474,ileus,C1258215,10021328,Ileus,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
475,ileus paralytic,C0030446,10021333,Ileus paralytic,,"[""HP_0002590""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
476,ill-defined disorder,C2047937,10061520,Ill-defined disorder,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
478,impaired gastric emptying,C0522063,10021518,Impaired gastric emptying,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
479,impaired healing,C0151692,10021519,Impaired healing,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
480,impetigo,C0021099,10021531,Impetigo,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
481,inappropriate antidiuretic hormone secretion,C0021141,10053198,Inappropriate antidiuretic hormone secretion,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
482,incontinence,C0021167,10021639,Incontinence,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
483,increased appetite,C0232461,10021654,Increased appetite,,"[""HP_0002591""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
484,increased bronchial secretion,C1262144,10062530,Increased bronchial secretion,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
485,increased tendency to bruise,C0423798,10021688,Increased tendency to bruise,,"[""HP_0000978""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
486,hardening,,,,,[],,unresolved,True
487,infarction,C0021308,10061216,Infarction,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
