matrix_index,drug_name,stitch_id,stitch_found,distinct_stitch_inchikey_count,optimuskg_structure_match_count,optimuskg_structure_match_ids,structure_status
99,zolmitriptan,CIDm00060857,false,0,0,[],stitch_not_found
100,paracetamol,CIDm00001983,true,46,1,"[""CHEMBL112""]",unique_structure_match
101,gefitinib,CIDm00123631,true,92,1,"[""CHEMBL939""]",unique_structure_match
102,piperacillin,CIDm00043672,false,0,0,[],stitch_not_found
103,dihydroergotamine,CIDm00010531,false,0,0,[],stitch_not_found
104,tolcapone,CIDm04659569,true,4,1,"[""CHEMBL1324""]",unique_structure_match
105,hydromorphone,CIDm05284570,false,0,0,[],stitch_not_found
106,indometacin,CIDm00003715,true,36,2,"[""CHEMBL3989410"",""CHEMBL6""]",multiple_structure_matches
107,metformin,CIDm00004091,true,43,2,"[""CHEMBL1431"",""CHEMBL1703""]",multiple_structure_matches
108,ipratropium.bromide,CIDm00003746,true,87,0,[],stitch_found_no_optimuskg_match
109,olanzapine,CIDm00004585,true,91,0,[],stitch_found_no_optimuskg_match
110,atenolol,CIDm00002249,true,23,3,"[""CHEMBL1230004"",""CHEMBL24"",""CHEMBL343633""]",multiple_structure_matches
111,pimecrolimus,CIDm06509979,false,0,0,[],stitch_not_found
112,omeprazole,CIDm00004594,true,190,5,"[""CHEMBL1200470"",""CHEMBL1201320"",""CHEMBL1503"",""CHEMBL1567328"",""CHEMBL2105294""]",multiple_structure_matches
113,cetirizine,CIDm01548999,false,0,0,[],stitch_not_found
114,diltiazem,CIDm00039186,false,0,0,[],stitch_not_found
115,alfuzosin,CIDm00002092,true,86,2,"[""CHEMBL1723"",""CHEMBL709""]",multiple_structure_matches
116,nitisinone,CIDm00115355,true,3,1,"[""CHEMBL1337""]",unique_structure_match
117,clobazam,CIDm00002789,true,3,1,"[""CHEMBL70418""]",unique_structure_match
118,megestrol,CIDm00019090,true,9,0,[],stitch_found_no_optimuskg_match
119,aztreonam,CIDm05742832,false,0,0,[],stitch_not_found
120,sapropterin,CIDm00044257,false,0,0,[],stitch_not_found
121,vinorelbine,CIDm00060779,false,0,0,[],stitch_not_found
122,anidulafungin,CIDm00166548,true,26,1,"[""CHEMBL264241""]",unique_structure_match
123,clozapine,CIDm00002818,true,24,0,[],stitch_found_no_optimuskg_match
124,levonorgestrel,CIDm00013109,false,0,0,[],stitch_not_found
125,cidofovir,CIDm00466146,false,0,0,[],stitch_not_found
126,mirtazapine,CIDm00004205,true,37,3,"[""CHEMBL1366933"",""CHEMBL2107339"",""CHEMBL654""]",multiple_structure_matches
127,timolol,CIDm00033624,false,0,0,[],stitch_not_found
128,treprostinil,CIDm06918140,false,0,0,[],stitch_not_found
129,palonosetron,CIDm06337614,false,0,0,[],stitch_not_found
130,mexiletine,CIDm00004178,true,20,3,"[""CHEMBL1200606"",""CHEMBL147507"",""CHEMBL558""]",multiple_structure_matches
131,dexrazoxane,CIDm00071384,false,0,0,[],stitch_not_found
132,amlodipine,CIDm00002162,true,108,4,"[""CHEMBL1200984"",""CHEMBL1491"",""CHEMBL2111097"",""CHEMBL4594288""]",multiple_structure_matches
133,digoxin,CIDm02724385,false,0,0,[],stitch_not_found
134,nimodipine,CIDm00004497,true,6,1,"[""CHEMBL1428""]",unique_structure_match
135,beclometasone,CIDm00020469,false,0,0,[],stitch_not_found
136,progesterone,CIDm00005994,false,0,0,[],stitch_not_found
137,sorafenib,CIDm00216239,true,62,3,"[""CHEMBL1200485"",""CHEMBL1336"",""CHEMBL4297490""]",multiple_structure_matches
138,zoledronic.acid,CIDm00068740,true,38,2,"[""CHEMBL4303669"",""CHEMBL924""]",multiple_structure_matches
139,nisoldipine,CIDm00004499,true,19,1,"[""CHEMBL1726""]",unique_structure_match
140,eszopiclone,CIDm00969472,false,0,0,[],stitch_not_found
141,alprazolam,CIDm00002118,true,11,1,"[""CHEMBL661""]",unique_structure_match
142,loxapine,CIDm00003964,true,10,3,"[""CHEMBL1201060"",""CHEMBL1201155"",""CHEMBL831""]",multiple_structure_matches
143,mupirocin,CIDm00446596,false,0,0,[],stitch_not_found
144,rosiglitazone,CIDm00077998,true,85,2,"[""CHEMBL121"",""CHEMBL843""]",multiple_structure_matches
145,pramipexole,CIDm00119569,false,0,0,[],stitch_not_found
146,miglustat,CIDm00051634,true,41,2,"[""CHEMBL1029"",""CHEMBL1086997""]",multiple_structure_matches
147,methylphenidate,CIDm00004158,true,50,4,"[""CHEMBL1722"",""CHEMBL796"",""CHEMBL827"",""CHEMBL904""]",multiple_structure_matches
148,hyoscyamine,CIDm00003661,true,101,0,[],stitch_found_no_optimuskg_match
149,zolpidem,CIDm00005732,true,193,2,"[""CHEMBL3989820"",""CHEMBL911""]",multiple_structure_matches
150,famciclovir,CIDm00003324,true,6,1,"[""CHEMBL880""]",unique_structure_match
151,streptozocin,CIDm00029327,false,0,0,[],stitch_not_found
152,allopurinol,CIDm00002094,true,11,2,"[""CHEMBL1200477"",""CHEMBL1467""]",multiple_structure_matches
153,ceftazidime,CIDm05481173,false,0,0,[],stitch_not_found
154,cerivastatin,CIDm00446156,false,0,0,[],stitch_not_found
155,trimethoprim,CIDm00005578,true,25,3,"[""CHEMBL1201080"",""CHEMBL2110367"",""CHEMBL22""]",multiple_structure_matches
156,gemcitabine,CIDm00060749,false,0,0,[],stitch_not_found
157,entecavir,CIDm00153941,true,58,2,"[""CHEMBL5314362"",""CHEMBL713""]",multiple_structure_matches
158,teniposide,CIDm00452548,false,0,0,[],stitch_not_found
159,epirubicin,CIDm00041867,false,0,0,[],stitch_not_found
160,lansoprazole,CIDm00003883,true,72,2,"[""CHEMBL1201863"",""CHEMBL480""]",multiple_structure_matches
161,loratadine,CIDm00003957,true,14,1,"[""CHEMBL998""]",unique_structure_match
162,prazosin,CIDm00004893,true,75,2,"[""CHEMBL1558"",""CHEMBL2""]",multiple_structure_matches
163,imipramine,CIDm00003696,true,20,2,"[""CHEMBL11"",""CHEMBL1692""]",multiple_structure_matches
164,acitretin,CIDm05284513,false,0,0,[],stitch_not_found
165,verteporfin,CIDm05362420,true,6,0,[],stitch_found_no_optimuskg_match
166,nabumetone,CIDm00004409,true,6,1,"[""CHEMBL1070""]",unique_structure_match
167,ketorolac,CIDm00003826,true,16,1,"[""CHEMBL469""]",unique_structure_match
168,montelukast,CIDm05281040,false,0,0,[],stitch_not_found
169,fluoxetine,CIDm00003386,true,85,4,"[""CHEMBL1169388"",""CHEMBL1201082"",""CHEMBL153036"",""CHEMBL41""]",multiple_structure_matches
170,duloxetine,CIDm00060834,true,101,2,"[""CHEMBL1175"",""CHEMBL1200328""]",multiple_structure_matches
171,rimantadine,CIDm00005071,true,17,2,"[""CHEMBL535396"",""CHEMBL959""]",multiple_structure_matches
172,lenalidomide,CIDm00216326,true,99,1,"[""CHEMBL848""]",unique_structure_match
173,raloxifene,CIDm00005035,true,43,2,"[""CHEMBL1116"",""CHEMBL81""]",multiple_structure_matches
174,celecoxib,CIDm00002662,true,30,1,"[""CHEMBL118""]",unique_structure_match
175,brimonidine,CIDm00002435,true,15,2,"[""CHEMBL2062257"",""CHEMBL844""]",multiple_structure_matches
176,dicloxacillin,CIDm00018381,false,0,0,[],stitch_not_found
177,nabilone,CIDm00039860,true,54,2,"[""CHEMBL2218896"",""CHEMBL947""]",multiple_structure_matches
178,sotalol,CIDm00005253,true,17,2,"[""CHEMBL1700"",""CHEMBL471""]",multiple_structure_matches
179,buspirone,CIDm00002477,true,14,2,"[""CHEMBL1200399"",""CHEMBL49""]",multiple_structure_matches
180,fosinopril,CIDm00055891,false,0,0,[],stitch_not_found
181,entacapone,CIDm05281081,false,0,0,[],stitch_not_found
182,zidovudine,CIDm00035370,false,0,0,[],stitch_not_found
183,darifenacin,CIDm00444030,false,0,0,[],stitch_not_found
184,oxycodone,CIDm05284603,false,0,0,[],stitch_not_found
185,flutamide,CIDm00003397,true,6,1,"[""CHEMBL806""]",unique_structure_match
