matrix_index,side_effect_name,sider_umls_cui,optimuskg_id,optimuskg_name,ontology_namespace,optimuskg_umls_cui,optimuskg_code,is_meddra,was_previous_name_candidate
58,apnoea,C0003578,HP_0002104,Apnea,HPO,C0003578,http://purl.obolibrary.org/obo/HP_0002104,false,true
71,arrhythmia,C0003811,HP_0011675,Arrhythmia,HPO,C0264886,http://purl.obolibrary.org/obo/HP_0011675,false,true
74,arthralgia,C0003862,HP_0002829,Arthralgia,HPO,C0003862,http://purl.obolibrary.org/obo/HP_0002829,false,true
75,arthritis,C0003864,HP_0001369,Arthritis,HPO,C0003864,http://purl.obolibrary.org/obo/HP_0001369,false,true
77,ascites,C0003962,HP_0001541,Ascites,HPO,C0003962,http://purl.obolibrary.org/obo/HP_0001541,false,true
82,asthma,C0004096,HP_0002099,Asthma,HPO,C0004096,http://purl.obolibrary.org/obo/HP_0002099,false,true
89,atrioventricular block first degree,C0085614,HP_0011705,First degree atrioventricular block,HPO,"",http://purl.obolibrary.org/obo/HP_0011705,false,false
92,back pain,C0004604,HP_0003418,Back pain,HPO,C0004604,http://purl.obolibrary.org/obo/HP_0003418,false,true
103,bleeding time prolonged,C0151529,HP_0003010,Prolonged bleeding time,HPO,"",http://purl.obolibrary.org/obo/HP_0003010,false,false
106,blindness,C0456909,HP_0000618,Blindness,HPO,"",http://purl.obolibrary.org/obo/HP_0000618,false,true
110,blood bilirubin increased,C0311468,HP_0002904,Hyperbilirubinemia,HPO,"",http://purl.obolibrary.org/obo/HP_0002904,false,false
115,blood disorder,C0018939,HP_0001871,Abnormality of blood and blood-forming tissues,HPO,C0018939,http://purl.obolibrary.org/obo/HP_0001871,false,false
122,blood pressure increased,C0497247,HP_0000822,Hypertension,HPO,C0020538,http://purl.obolibrary.org/obo/HP_0000822,false,false
125,blood urea increased,C0151539,HP_0003138,Increased blood urea nitrogen,HPO,"",http://purl.obolibrary.org/obo/HP_0003138,false,false
128,body temperature decreased,C0020672,HP_0002045,Hypothermia,HPO,C0020672,http://purl.obolibrary.org/obo/HP_0002045,false,false
129,body temperature increased,C0015967,HP_0001945,Fever,HPO,C0015967,http://purl.obolibrary.org/obo/HP_0001945,false,false
131,bone pain,C0151825,HP_0002653,Bone pain,HPO,C0151825,http://purl.obolibrary.org/obo/HP_0002653,false,true
132,bradycardia,C0428977,HP_0001662,Bradycardia,HPO,C0428977,http://purl.obolibrary.org/obo/HP_0001662,false,true
139,breast enlargement,C2225524,HP_0010313,Breast hypertrophy,HPO,"",http://purl.obolibrary.org/obo/HP_0010313,false,true
153,cachexia,C0006625,HP_0004326,Cachexia,HPO,"",http://purl.obolibrary.org/obo/HP_0004326,false,true
157,cardiac failure,C0018801,HP_0001635,Congestive heart failure,HPO,C0018802,http://purl.obolibrary.org/obo/HP_0001635,false,true
158,cardiac failure congestive,C0018802,HP_0001635,Congestive heart failure,HPO,C0018802,http://purl.obolibrary.org/obo/HP_0001635,false,false
160,cardiac murmur,C0018808,HP_0030148,Heart murmur,HPO,"",http://purl.obolibrary.org/obo/HP_0030148,false,true
165,cardiovascular disorder,C0007222,HP_0001626,Abnormality of the cardiovascular system,HPO,C0007222,http://purl.obolibrary.org/obo/HP_0001626,false,false
167,cataract,C0086543,HP_0000518,Cataract,HPO,"",http://purl.obolibrary.org/obo/HP_0000518,false,true
169,cellulitis,C0007642,HP_0100658,Cellulitis,HPO,C0162627,http://purl.obolibrary.org/obo/HP_0100658,false,true
173,cerebral ischaemia,C0917798,HP_0002637,Cerebral ischemia,HPO,"",http://purl.obolibrary.org/obo/HP_0002637,false,false
174,cerebrovascular accident,C0038454,HP_0001297,Stroke,HPO,C0038454,http://purl.obolibrary.org/obo/HP_0001297,false,true
178,cheilitis,C0007971,HP_0100825,Cheilitis,HPO,"",http://purl.obolibrary.org/obo/HP_0100825,false,true
180,chest pain,C0008031,HP_0100749,Chest pain,HPO,"",http://purl.obolibrary.org/obo/HP_0100749,false,true
182,cholecystitis,C0008325,HP_0001082,Cholecystitis,HPO,C0008325,http://purl.obolibrary.org/obo/HP_0001082,false,true
184,cholestasis,C0008370,HP_0001396,Cholestasis,HPO,C0008370,http://purl.obolibrary.org/obo/HP_0001396,false,true
190,coagulopathy,C0005779,HP_0001928,Abnormality of coagulation,HPO,"",http://purl.obolibrary.org/obo/HP_0001928,false,false
196,coma,C0009421,HP_0001259,Coma,HPO,C0009421,http://purl.obolibrary.org/obo/HP_0001259,false,true
198,conduction disorder,C0264886,HP_0011675,Arrhythmia,HPO,C0264886,http://purl.obolibrary.org/obo/HP_0011675,false,false
200,congenital eye disorder,C0015393,HP_0000478,Abnormality of the eye,HPO,"",http://purl.obolibrary.org/obo/HP_0000478,false,false
204,conjunctivitis,C0009763,HP_0000509,Conjunctivitis,HPO,"",http://purl.obolibrary.org/obo/HP_0000509,false,true
207,constipation,C0009806,HP_0002019,Constipation,HPO,C0009806,http://purl.obolibrary.org/obo/HP_0002019,false,true
213,corneal opacity,C0010038,HP_0007957,Corneal opacity,HPO,"",http://purl.obolibrary.org/obo/HP_0007957,false,true
215,cough,C0010200,HP_0012735,Cough,HPO,C0010200,http://purl.obolibrary.org/obo/HP_0012735,false,true
224,deafness,C0011053,HP_0000365,Hearing impairment,HPO,"",http://purl.obolibrary.org/obo/HP_0000365,false,true
229,delusion,C0011253,HP_0000746,Delusion,HPO,"",http://purl.obolibrary.org/obo/HP_0000746,false,true
230,dementia,C0497327,HP_0000726,Dementia,HPO,C0497327,http://purl.obolibrary.org/obo/HP_0000726,false,true
236,dermatitis,C0011603,HP_0011123,Inflammatory abnormality of the skin,HPO,"",http://purl.obolibrary.org/obo/HP_0011123,false,false
242,diabetes mellitus,C0011849,HP_0000819,Diabetes mellitus,HPO,C0011849,http://purl.obolibrary.org/obo/HP_0000819,false,true
243,diarrhoea,C0011991,HP_0002014,Diarrhea,HPO,C0011991,http://purl.obolibrary.org/obo/HP_0002014,false,true
245,diplopia,C0012569,HP_0000651,Diplopia,HPO,C0012569,http://purl.obolibrary.org/obo/HP_0000651,false,true
248,disseminated intravascular coagulation,C0012739,HP_0005521,Disseminated intravascular coagulation,HPO,C0012739,http://purl.obolibrary.org/obo/HP_0005521,false,true
252,dizziness,C0012833,HP_0002321,Vertigo,HPO,C0012833,http://purl.obolibrary.org/obo/HP_0002321,false,true
259,dry skin,C0151908,HP_0000958,Dry skin,HPO,"",http://purl.obolibrary.org/obo/HP_0000958,false,true
264,dysarthria,C0013362,HP_0001260,Dysarthria,HPO,"",http://purl.obolibrary.org/obo/HP_0001260,false,true
