matrix_index,biokorf_side_id,side_effect_name,sider_umls_cui,meddra_id,meddra_name,canonical_optimuskg_id,alias_optimuskg_ids,optimuskg_node_count,identity_source,mapping_confidence,kg_mapping_status,has_kg_node,requires_review
17,BIOKORF_SIDE_017,affect lability,C0233472,10054196,Affect lability,,[],0,sider_umls_pt,high,external_meddra_only,False,True
18,BIOKORF_SIDE_018,affective disorder,C0525045,10001443,Affective disorder,,[],0,sider_umls_pt,high,external_meddra_only,False,True
19,BIOKORF_SIDE_019,loss of taste,,,,,[],0,none,none,no_kg_evidence,False,True
20,BIOKORF_SIDE_020,aggression,C0001807,10001488,Aggression,meddra:10001488,"[""HP_0000718""]",2,sider_umls_pt,high,meddra_with_alias_kg,True,False
21,BIOKORF_SIDE_021,agitation,C0085631,10001497,Agitation,meddra:10001497,"[""HP_0000713""]",2,exact_meddra_pt_name,high,meddra_with_alias_kg,True,False
22,BIOKORF_SIDE_022,agranulocytosis,C0001824,10001507,Agranulocytosis,meddra:10001507,"[""HP_0001913""]",2,exact_meddra_pt_name,high,meddra_with_alias_kg,True,False
23,BIOKORF_SIDE_023,akathisia,C0392156,10001540,Akathisia,meddra:10001540,[],1,sider_umls_pt,high,canonical_meddra_with_kg,True,False
24,BIOKORF_SIDE_024,can not exercise,,,,,[],0,none,none,no_kg_evidence,False,True
25,BIOKORF_SIDE_025,alanine aminotransferase increased,C0151905,10001551,Alanine aminotransferase increased,,[],0,sider_umls_pt,high,external_meddra_only,False,True
26,BIOKORF_SIDE_026,proteinuria,C0033687,10037032,Proteinuria,meddra:10037032,"[""HP_0000093""]",2,sider_umls_pt,high,meddra_with_alias_kg,True,False
27,BIOKORF_SIDE_027,alcohol intolerance,C0151474,10001598,Alcohol intolerance,,[],0,sider_umls_pt,high,external_meddra_only,False,True
28,BIOKORF_SIDE_028,alopecia,C0002170,10001760,Alopecia,meddra:10001760,"[""HP_0001596"",""HP_0002293""]",3,sider_umls_pt,high,meddra_with_alias_kg,True,False
29,BIOKORF_SIDE_029,altered state of consciousness,C0150450,10001854,Altered state of consciousness,,[],0,sider_umls_pt,high,external_meddra_only,False,True
30,BIOKORF_SIDE_030,other allergic pneumonitis,,,,,[],0,none,none,no_kg_evidence,False,True
31,BIOKORF_SIDE_031,amblyopia,C0002418,10001906,Amblyopia,,"[""HP_0000646""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
32,BIOKORF_SIDE_032,amenorrhoea,C0002453,10001928,Amenorrhoea,,[],0,sider_umls_pt,high,external_meddra_only,False,True
33,BIOKORF_SIDE_033,amnesia,C0002622,10001949,Amnesia,meddra:10001949,[],1,sider_umls_pt,high,canonical_meddra_with_kg,True,False
34,BIOKORF_SIDE_034,amylase increased,C0151479,10002016,Amylase increased,,[],0,sider_umls_pt,high,external_meddra_only,False,True
35,BIOKORF_SIDE_035,anaemia,C0002871,10002034,Anaemia,,"[""HP_0001903""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
36,BIOKORF_SIDE_036,anaemia large cell,,,,,[],0,none,none,no_kg_evidence,False,True
37,BIOKORF_SIDE_037,anaemia megaloblastic,C0002888,10002065,Anaemia megaloblastic,,"[""HP_0001889""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
38,BIOKORF_SIDE_038,anal pruritus,C0033775,10068172,Anal pruritus,,[],0,sider_umls_pt,high,external_meddra_only,False,True
39,BIOKORF_SIDE_039,anaphylactic shock,C0002792,10002199,Anaphylactic shock,,[],0,exact_meddra_pt_name,high,external_meddra_only,False,True
40,BIOKORF_SIDE_040,anaphylaxis reaction,,,,,[],0,none,none,no_kg_evidence,False,True
41,BIOKORF_SIDE_041,aneurysm,C0002940,10002329,Aneurysm,,"[""HP_0002617""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
42,BIOKORF_SIDE_042,anger,C0002957,10002368,Anger,,[],0,sider_umls_pt,high,external_meddra_only,False,True
43,BIOKORF_SIDE_043,angina pectoris,C0002962,10002383,Angina pectoris,,[],0,sider_umls_pt,high,external_meddra_only,False,True
44,BIOKORF_SIDE_044,angioedema,C0002994,10002424,Angioedema,meddra:10002424,[],1,sider_umls_pt,high,canonical_meddra_with_kg,True,False
45,BIOKORF_SIDE_045,angiopathy,C0042373,10059245,Angiopathy,,[],0,sider_umls_pt,high,external_meddra_only,False,True
46,BIOKORF_SIDE_046,angle closure glaucoma,C0017605,10002500,Angle closure glaucoma,,[],0,sider_umls_pt,high,external_meddra_only,False,True
47,BIOKORF_SIDE_047,anorectal discomfort,C2242737,10068286,Anorectal discomfort,,[],0,sider_umls_pt,high,external_meddra_only,False,True
48,BIOKORF_SIDE_048,anorectal disorder,C0687707,10002644,Anorectal disorder,,[],0,sider_umls_pt,high,external_meddra_only,False,True
49,BIOKORF_SIDE_049,inability to orgasm,,,,,[],0,none,none,no_kg_evidence,False,True
50,BIOKORF_SIDE_050,antisocial behaviour,C0233523,10002820,Antisocial behaviour,,[],0,sider_umls_pt,high,external_meddra_only,False,True
51,BIOKORF_SIDE_051,antisocial personality disorder,C0003431,10002822,Antisocial personality disorder,,[],0,exact_meddra_pt_name,high,external_meddra_only,False,True
52,BIOKORF_SIDE_052,arrest of urinary output,,,,,[],0,none,none,no_kg_evidence,False,True
53,BIOKORF_SIDE_053,anxiety,C0003467,10002855,Anxiety,meddra:10002855,"[""HP_0000739""]",2,sider_umls_pt,high,meddra_with_alias_kg,True,False
54,BIOKORF_SIDE_054,apathy,C0085632,10002942,Apathy,,"[""HP_0000741""]",1,exact_meddra_pt_name,high,meddra_with_alias_kg,True,False
55,BIOKORF_SIDE_055,aphasia,C0003537,10002948,Aphasia,,"[""HP_0002381""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
56,BIOKORF_SIDE_056,aplasia pure red cell,C0034902,10002965,Aplasia pure red cell,,"[""HP_0012410""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
57,BIOKORF_SIDE_057,aplastic anaemia,C0002874,10002967,Aplastic anaemia,,"[""HP_0001915""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
58,BIOKORF_SIDE_058,apnoea,C0003578,10002974,Apnoea,,"[""HP_0002104""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
59,BIOKORF_SIDE_059,appendicitis,C0003615,10003011,Appendicitis,,[],0,sider_umls_pt,high,external_meddra_only,False,True
60,BIOKORF_SIDE_060,application site burn,C0877661,10065059,Application site burn,,[],0,sider_umls_pt,high,external_meddra_only,False,True
61,BIOKORF_SIDE_061,application site dryness,C0877098,10048943,Application site dryness,,[],0,sider_umls_pt,high,external_meddra_only,False,True
62,BIOKORF_SIDE_062,application site erythema,C0853700,10003041,Application site erythema,,[],0,sider_umls_pt,high,external_meddra_only,False,True
63,BIOKORF_SIDE_063,application site irritation,C0521490,10003046,Application site irritation,,[],0,sider_umls_pt,high,external_meddra_only,False,True
64,BIOKORF_SIDE_064,application site pain,C0521491,10003051,Application site pain,,[],0,exact_meddra_pt_name,high,external_meddra_only,False,True
65,BIOKORF_SIDE_065,application site paresthesia,,,,,[],0,none,none,no_kg_evidence,False,True
66,BIOKORF_SIDE_066,application site pruritus,C0853714,10003053,Application site pruritus,,[],0,sider_umls_pt,high,external_meddra_only,False,True
67,BIOKORF_SIDE_067,application site rash,C0521495,10003054,Application site rash,,[],0,exact_meddra_pt_name,high,external_meddra_only,False,True
68,BIOKORF_SIDE_068,application site reaction,C0151505,10003055,Application site reaction,,[],0,sider_umls_pt,high,external_meddra_only,False,True
69,BIOKORF_SIDE_069,application site vesicles,C0877097,10048941,Application site vesicles,,[],0,sider_umls_pt,high,external_meddra_only,False,True
70,BIOKORF_SIDE_070,apraxia,C0003635,10003062,Apraxia,,[],0,exact_meddra_pt_name,high,external_meddra_only,False,True
71,BIOKORF_SIDE_071,arrhythmia,C0003811,10003119,Arrhythmia,meddra:10003119,"[""HP_0011675""]",2,sider_umls_pt,high,meddra_with_alias_kg,True,False
72,BIOKORF_SIDE_072,arrhythmia supraventricular,C0428974,10003130,Arrhythmia supraventricular,,[],0,sider_umls_pt,high,external_meddra_only,False,True
73,BIOKORF_SIDE_073,arteriosclerosis,C0003850,10003210,Arteriosclerosis,,[],0,sider_umls_pt,high,external_meddra_only,False,True
74,BIOKORF_SIDE_074,arthralgia,C0003862,10003239,Arthralgia,meddra:10003239,"[""HP_0002829""]",2,sider_umls_pt,high,meddra_with_alias_kg,True,False
75,BIOKORF_SIDE_075,arthritis,C0003864,10003246,Arthritis,meddra:10003246,"[""HP_0001369""]",2,sider_umls_pt,high,meddra_with_alias_kg,True,False
76,BIOKORF_SIDE_076,other symptoms referable to lower leg joint,,,,,[],0,none,none,no_kg_evidence,False,True
77,BIOKORF_SIDE_077,ascites,C0003962,10003445,Ascites,,"[""HP_0001541""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
78,BIOKORF_SIDE_078,asocial behaviour,C0233528,10003472,Asocial behaviour,,[],0,sider_umls_pt,high,external_meddra_only,False,True
79,BIOKORF_SIDE_079,aspartate aminotransferase increased,C0151904,10003481,Aspartate aminotransferase increased,,[],0,sider_umls_pt,high,external_meddra_only,False,True
80,BIOKORF_SIDE_080,asthenia,C0004093,10003549,Asthenia,meddra:10003549,[],1,sider_umls_pt,high,canonical_meddra_with_kg,True,False
81,BIOKORF_SIDE_081,eye strain,,,,,[],0,none,none,no_kg_evidence,False,True
82,BIOKORF_SIDE_082,asthma,C0004096,10003553,Asthma,,"[""HP_0002099""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
83,BIOKORF_SIDE_083,ataxia,C0004134,10003591,Ataxia,meddra:10003591,[],1,sider_umls_pt,high,canonical_meddra_with_kg,True,False
84,BIOKORF_SIDE_084,atelectasis,C0004144,10003598,Atelectasis,,[],0,sider_umls_pt,high,external_meddra_only,False,True
85,BIOKORF_SIDE_085,atrial fibrillation,C0004238,10003658,Atrial fibrillation,meddra:10003658,[],1,sider_umls_pt,high,canonical_meddra_with_kg,True,False
86,BIOKORF_SIDE_086,atrial flutter,C0004239,10003662,Atrial flutter,,[],0,sider_umls_pt,high,external_meddra_only,False,True
87,BIOKORF_SIDE_087,atrioventricular block,C0004245,10003671,Atrioventricular block,,[],0,sider_umls_pt,high,external_meddra_only,False,True
88,BIOKORF_SIDE_088,atrioventricular block complete,C0151517,10003673,Atrioventricular block complete,,[],0,sider_umls_pt,high,external_meddra_only,False,True
89,BIOKORF_SIDE_089,atrioventricular block first degree,C0085614,10003674,Atrioventricular block first degree,,"[""HP_0011705""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
90,BIOKORF_SIDE_090,autonomic nervous system imbalance,C0262385,10003840,Autonomic nervous system imbalance,,[],0,sider_umls_pt,high,external_meddra_only,False,True
91,BIOKORF_SIDE_091,syndrome uremic,,,,,[],0,none,none,no_kg_evidence,False,True
92,BIOKORF_SIDE_092,back pain,C0004604,10003988,Back pain,meddra:10003988,"[""HP_0003418""]",2,sider_umls_pt,high,meddra_with_alias_kg,True,False
93,BIOKORF_SIDE_093,bloodstream infections,,,,,[],0,none,none,no_kg_evidence,False,True
94,BIOKORF_SIDE_094,bacterial infection,C0004623,10060945,Bacterial infection,,[],0,sider_umls_pt,high,external_meddra_only,False,True
95,BIOKORF_SIDE_095,balance disorder,C0575090,10049848,Balance disorder,,[],0,sider_umls_pt,high,external_meddra_only,False,True
96,BIOKORF_SIDE_096,basal cell carcinoma,C0007117,10004146,Basal cell carcinoma,,[],0,sider_umls_pt,high,external_meddra_only,False,True
97,BIOKORF_SIDE_097,benign neoplasm of skin,C0004998,10004398,Benign neoplasm of skin,,[],0,sider_umls_pt,high,external_meddra_only,False,True
98,BIOKORF_SIDE_098,biliary colic,C0151824,10004663,Biliary colic,,[],0,exact_meddra_pt_name,high,external_meddra_only,False,True
99,BIOKORF_SIDE_099,bipolar disorder,C0005586,10057667,Bipolar disorder,,[],0,sider_umls_pt,high,external_meddra_only,False,True
100,BIOKORF_SIDE_100,bipolar i disorder,C0853193,10004939,Bipolar I disorder,,[],0,sider_umls_pt,high,external_meddra_only,False,True
101,BIOKORF_SIDE_101,bladder cancer,C0005684,10005003,Bladder cancer,,[],0,sider_umls_pt,high,external_meddra_only,False,True
102,BIOKORF_SIDE_102,bladder pain,C0232849,10005063,Bladder pain,,[],0,sider_umls_pt,high,external_meddra_only,False,True
103,BIOKORF_SIDE_103,bleeding time prolonged,C0151529,10005140,Bleeding time prolonged,,"[""HP_0003010""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
104,BIOKORF_SIDE_104,dermatitis eyelid,,,,,[],0,none,none,no_kg_evidence,False,True
105,BIOKORF_SIDE_105,spasm eyelid,,,,,[],0,none,none,no_kg_evidence,False,True
106,BIOKORF_SIDE_106,blindness,C0456909,10005169,Blindness,,"[""HP_0000618""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
107,BIOKORF_SIDE_107,blister,C0005758,10005191,Blister,,[],0,sider_umls_pt,high,external_meddra_only,False,True
108,BIOKORF_SIDE_108,blood albumin decreased,C0853777,10005287,Blood albumin decreased,,[],0,sider_umls_pt,high,external_meddra_only,False,True
109,BIOKORF_SIDE_109,blood alkaline phosphatase increased,C0852911,10059570,Blood alkaline phosphatase increased,,[],0,sider_umls_pt,high,external_meddra_only,False,True
110,BIOKORF_SIDE_110,blood bilirubin increased,C0311468,10005364,Blood bilirubin increased,,"[""HP_0002904""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
111,BIOKORF_SIDE_111,blood calcium decreased,C3665624,10005395,Blood calcium decreased,,[],0,sider_umls_pt,high,external_meddra_only,False,True
112,BIOKORF_SIDE_112,blood cholesterol increased,C0595930,10005425,Blood cholesterol increased,,[],0,sider_umls_pt,high,external_meddra_only,False,True
113,BIOKORF_SIDE_113,creatine kinase high,,,,,[],0,none,none,no_kg_evidence,False,True
114,BIOKORF_SIDE_114,blood creatinine increased,C0235431,10005483,Blood creatinine increased,,[],0,sider_umls_pt,high,external_meddra_only,False,True
115,BIOKORF_SIDE_115,blood disorder,C0018939,10061590,Blood disorder,,"[""HP_0001871""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
116,BIOKORF_SIDE_116,blood glucose decreased,C0595883,10005555,Blood glucose decreased,,[],0,sider_umls_pt,high,external_meddra_only,False,True
117,BIOKORF_SIDE_117,blood glucose increased,C0595877,10005557,Blood glucose increased,,[],0,sider_umls_pt,high,external_meddra_only,False,True
118,BIOKORF_SIDE_118,blood lactate dehydrogenase increased,C0853149,10005630,Blood lactate dehydrogenase increased,,[],0,sider_umls_pt,high,external_meddra_only,False,True
119,BIOKORF_SIDE_119,blood phosphorus decreased,C0877517,10049471,Blood phosphorus decreased,,[],0,sider_umls_pt,high,external_meddra_only,False,True
120,BIOKORF_SIDE_120,blood potassium decreased,C0853761,10005724,Blood potassium decreased,,[],0,sider_umls_pt,high,external_meddra_only,False,True
121,BIOKORF_SIDE_121,blood potassium increased,C0853760,10005725,Blood potassium increased,,[],0,sider_umls_pt,high,external_meddra_only,False,True
122,BIOKORF_SIDE_122,blood pressure increased,C0497247,10005750,Blood pressure increased,,"[""HP_0000822""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
123,BIOKORF_SIDE_123,blood prolactin increased,C0854082,10005780,Blood prolactin increased,,[],0,sider_umls_pt,high,external_meddra_only,False,True
124,BIOKORF_SIDE_124,blood triglycerides increased,C0853692,10005839,Blood triglycerides increased,,[],0,sider_umls_pt,high,external_meddra_only,False,True
125,BIOKORF_SIDE_125,blood urea increased,C0151539,10005851,Blood urea increased,,"[""HP_0003138""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
126,BIOKORF_SIDE_126,blood uric acid increased,C0235416,10005861,Blood uric acid increased,,[],0,sider_umls_pt,high,external_meddra_only,False,True
127,BIOKORF_SIDE_127,blood urine present,C0947999,10018870,Blood urine present,,[],0,sider_umls_pt,high,external_meddra_only,False,True
128,BIOKORF_SIDE_128,body temperature decreased,C0020672,10005910,Body temperature decreased,,"[""HP_0002045""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
129,BIOKORF_SIDE_129,body temperature increased,C0015967,10005911,Body temperature increased,,"[""HP_0001945""]",1,exact_meddra_pt_name,high,meddra_with_alias_kg,True,False
130,BIOKORF_SIDE_130,bone disorder,C0005940,10005956,Bone disorder,,[],0,sider_umls_pt,high,external_meddra_only,False,True
131,BIOKORF_SIDE_131,bone pain,C0151825,10006002,Bone pain,meddra:10006002,"[""HP_0002653""]",2,sider_umls_pt,high,meddra_with_alias_kg,True,False
132,BIOKORF_SIDE_132,bradycardia,C0428977,10006093,Bradycardia,meddra:10006093,"[""HP_0001662""]",2,exact_meddra_pt_name,high,meddra_with_alias_kg,True,False
133,BIOKORF_SIDE_133,loss of motor function,,,,,[],0,none,none,no_kg_evidence,False,True
134,BIOKORF_SIDE_134,brain oedema,C1527311,10048962,Brain oedema,,[],0,sider_umls_pt,high,external_meddra_only,False,True
135,BIOKORF_SIDE_135,breast cancer,C0006142,10006187,Breast cancer,,[],0,sider_umls_pt,high,external_meddra_only,False,True
136,BIOKORF_SIDE_136,breast discharge,C0149741,10006223,Breast discharge,,[],0,sider_umls_pt,high,external_meddra_only,False,True
137,BIOKORF_SIDE_137,breast disorder,C0006145,10061021,Breast disorder,,[],0,sider_umls_pt,high,external_meddra_only,False,True
138,BIOKORF_SIDE_138,breast engorgement,C0085688,10006240,Breast engorgement,,[],0,sider_umls_pt,high,external_meddra_only,False,True
139,BIOKORF_SIDE_139,breast enlargement,C2225524,10006242,Breast enlargement,,"[""HP_0010313""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
140,BIOKORF_SIDE_140,breast neoplasm,C1458155,10006279,Breast neoplasm,,[],0,sider_umls_pt,high,external_meddra_only,False,True
141,BIOKORF_SIDE_141,breast pain,C0024902,10006298,Breast pain,,[],0,sider_umls_pt,high,external_meddra_only,False,True
142,BIOKORF_SIDE_142,breast tenderness,C0262397,10006313,Breast tenderness,,[],0,sider_umls_pt,high,external_meddra_only,False,True
143,BIOKORF_SIDE_143,breath odour,C0018520,10006326,Breath odour,,[],0,sider_umls_pt,high,external_meddra_only,False,True
144,BIOKORF_SIDE_144,breath sounds abnormal,C0231856,10064780,Breath sounds abnormal,,[],0,sider_umls_pt,high,external_meddra_only,False,True
145,BIOKORF_SIDE_145,reactive airways disease,,,,,[],0,none,none,no_kg_evidence,False,True
146,BIOKORF_SIDE_146,bronchitis,C0006277,10006451,Bronchitis,,[],0,sider_umls_pt,high,external_meddra_only,False,True
147,BIOKORF_SIDE_147,bronchospasm,C0006266,10006482,Bronchospasm,meddra:10006482,[],1,sider_umls_pt,high,canonical_meddra_with_kg,True,False
148,BIOKORF_SIDE_148,bronchospasm paradoxical,C0236072,10006486,Bronchospasm paradoxical,,[],0,sider_umls_pt,high,external_meddra_only,False,True
149,BIOKORF_SIDE_149,bruxism,C0006325,10006514,Bruxism,,[],0,sider_umls_pt,high,external_meddra_only,False,True
150,BIOKORF_SIDE_150,bundle branch block,C0006384,10006578,Bundle branch block,,[],0,sider_umls_pt,high,external_meddra_only,False,True
151,BIOKORF_SIDE_151,burning sensation,C0085624,10006784,Burning sensation,,[],0,sider_umls_pt,high,external_meddra_only,False,True
152,BIOKORF_SIDE_152,bursitis,C0006444,10006811,Bursitis,,[],0,sider_umls_pt,high,external_meddra_only,False,True
153,BIOKORF_SIDE_153,cachexia,C0006625,10006895,Cachexia,,"[""HP_0004326""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
154,BIOKORF_SIDE_154,candida infection,C0006840,10074170,Candida infection,,[],0,sider_umls_pt,high,external_meddra_only,False,True
155,BIOKORF_SIDE_155,cardiac arrest,C0018790,10007515,Cardiac arrest,,[],0,exact_meddra_pt_name,high,external_meddra_only,False,True
156,BIOKORF_SIDE_156,cardiac disorder,C0018799,10061024,Cardiac disorder,meddra:10061024,[],1,sider_umls_pt,high,canonical_meddra_with_kg,True,False
157,BIOKORF_SIDE_157,cardiac failure,C0018801,10007554,Cardiac failure,meddra:10007554,"[""HP_0001635""]",2,sider_umls_pt,high,meddra_with_alias_kg,True,False
158,BIOKORF_SIDE_158,cardiac failure congestive,C0018802,10007559,Cardiac failure congestive,,"[""HP_0001635""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
159,BIOKORF_SIDE_159,cardiac flutter,C0016385,10052840,Cardiac flutter,,[],0,sider_umls_pt,high,external_meddra_only,False,True
160,BIOKORF_SIDE_160,cardiac murmur,C0018808,10007586,Cardiac murmur,,"[""HP_0030148""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
161,BIOKORF_SIDE_161,cardiac output decreased,C0007166,10007595,Cardiac output decreased,,[],0,sider_umls_pt,high,external_meddra_only,False,True
162,BIOKORF_SIDE_162,cardiogenic shock,C0036980,10007625,Cardiogenic shock,,[],0,sider_umls_pt,high,external_meddra_only,False,True
163,BIOKORF_SIDE_163,cardiac dilatation,,,,,[],0,none,none,no_kg_evidence,False,True
164,BIOKORF_SIDE_164,cardiomyopathy,C0878544,10007636,Cardiomyopathy,,[],0,sider_umls_pt,high,external_meddra_only,False,True
165,BIOKORF_SIDE_165,cardiovascular disorder,C0007222,10007649,Cardiovascular disorder,,"[""HP_0001626""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
166,BIOKORF_SIDE_166,carpal tunnel syndrome,C0007286,10007697,Carpal tunnel syndrome,,[],0,sider_umls_pt,high,external_meddra_only,False,True
167,BIOKORF_SIDE_167,cataract,C0086543,10007739,Cataract,meddra:10007739,"[""HP_0000518""]",2,sider_umls_pt,high,meddra_with_alias_kg,True,False
168,BIOKORF_SIDE_168,catheter site pain,C0949103,10052268,Catheter site pain,,[],0,sider_umls_pt,high,external_meddra_only,False,True
169,BIOKORF_SIDE_169,cellulitis,C0007642,10007882,Cellulitis,,"[""HP_0100658""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
170,BIOKORF_SIDE_170,cerebellar syndrome,C0007760,10008072,Cerebellar syndrome,,[],0,sider_umls_pt,high,external_meddra_only,False,True
171,BIOKORF_SIDE_171,cerebral haemorrhage,C2937358,10008111,Cerebral haemorrhage,,[],0,sider_umls_pt,high,external_meddra_only,False,True
172,BIOKORF_SIDE_172,cerebral infarction,C0007785,10008118,Cerebral infarction,meddra:10008118,[],1,sider_umls_pt,high,canonical_meddra_with_kg,True,False
173,BIOKORF_SIDE_173,cerebral ischaemia,C0917798,10008120,Cerebral ischaemia,,"[""HP_0002637""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
174,BIOKORF_SIDE_174,cerebrovascular accident,C0038454,10008190,Cerebrovascular accident,,"[""HP_0001297""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
175,BIOKORF_SIDE_175,cerebrovascular disorder,C0007820,10008196,Cerebrovascular disorder,,[],0,sider_umls_pt,high,external_meddra_only,False,True
176,BIOKORF_SIDE_176,cervix disorder,C0007867,10008351,Cervix disorder,,[],0,sider_umls_pt,high,external_meddra_only,False,True
177,BIOKORF_SIDE_177,change of bowel habit,C0278008,10008399,Change of bowel habit,,[],0,sider_umls_pt,high,external_meddra_only,False,True
178,BIOKORF_SIDE_178,cheilitis,C0007971,10008417,Cheilitis,,"[""HP_0100825""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
179,BIOKORF_SIDE_179,chest discomfort,C0235710,10008469,Chest discomfort,,[],0,sider_umls_pt,high,external_meddra_only,False,True
180,BIOKORF_SIDE_180,chest pain,C0008031,10008479,Chest pain,meddra:10008479,"[""HP_0100749""]",2,sider_umls_pt,high,meddra_with_alias_kg,True,False
181,BIOKORF_SIDE_181,chills,C0085593,10008531,Chills,meddra:10008531,[],1,sider_umls_pt,high,canonical_meddra_with_kg,True,False
182,BIOKORF_SIDE_182,cholecystitis,C0008325,10008612,Cholecystitis,,"[""HP_0001082""]",1,sider_umls_pt,high,meddra_with_alias_kg,True,False
183,BIOKORF_SIDE_183,biliary sludge,,,,,[],0,none,none,no_kg_evidence,False,True
184,BIOKORF_SIDE_184,cholestasis,C0008370,10008635,Cholestasis,,"[""HP_0001396""]",1,exact_meddra_pt_name,high,meddra_with_alias_kg,True,False
185,BIOKORF_SIDE_185,chorea and atheletes disease,,,,,[],0,none,none,no_kg_evidence,False,True
186,BIOKORF_SIDE_186,color vision change,,,,,[],0,none,none,no_kg_evidence,False,True
187,BIOKORF_SIDE_187,urine discolouration,,,,,[],0,none,none,no_kg_evidence,False,True
188,BIOKORF_SIDE_188,chronic obstructive pulmonary disease,C0024117,10009033,Chronic obstructive pulmonary disease,,[],0,sider_umls_pt,high,external_meddra_only,False,True
189,BIOKORF_SIDE_189,clostridium difficile colitis,C0238106,10009657,Clostridium difficile colitis,,[],0,sider_umls_pt,high,external_meddra_only,False,True
