matrix_index,drug_name,stitch_id,name_resolution_status,name_selected_id,name_candidate_ids,structure_status,structure_match_ids,intersection_ids,proposed_optimuskg_id,evidence_class,confidence,final_status
81,travoprost,CIDm05282226,resolved,CHEMBL1200799,"[""CHEMBL1200799""]",stitch_not_found,[],[],CHEMBL1200799,name_only_resolved,high,resolved
82,atomoxetine,CIDm00054840,resolved,CHEMBL641,"[""CHEMBL641""]",multiple_structure_matches,"[""CHEMBL1702"",""CHEMBL641""]","[""CHEMBL641""]",CHEMBL641,confirmed_name_structure,very_high,resolved
83,bleomycin,CIDm05360373,ambiguous,"","[""CHEMBL403664"",""DRUGBANK:DB00290""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
84,chlorambucil,CIDm00002708,resolved,CHEMBL515,"[""CHEMBL515""]",unique_structure_match,"[""CHEMBL515""]","[""CHEMBL515""]",CHEMBL515,confirmed_name_structure,very_high,resolved
85,raltitrexed,CIDm00104758,resolved,CHEMBL225071,"[""CHEMBL225071""]",unique_structure_match,"[""CHEMBL225071""]","[""CHEMBL225071""]",CHEMBL225071,confirmed_name_structure,very_high,resolved
86,etonogestrel,CIDm06917715,resolved,CHEMBL1531,"[""CHEMBL1531""]",stitch_not_found,[],[],CHEMBL1531,name_only_resolved,high,resolved
87,morphine,CIDm05288826,resolved,CHEMBL70,"[""CHEMBL70""]",stitch_not_found,[],[],CHEMBL70,name_only_resolved,high,resolved
88,ropivacaine,CIDm00175804,resolved,CHEMBL1077896,"[""CHEMBL1077896""]",stitch_not_found,[],[],CHEMBL1077896,name_only_resolved,high,resolved
89,bupivacaine,CIDm00002474,ambiguous,"","[""CHEMBL1098"",""RXNORM:1815""]",multiple_structure_matches,"[""CHEMBL1098"",""CHEMBL1200396"",""CHEMBL1200749"",""CHEMBL1201193""]","[""CHEMBL1098""]",CHEMBL1098,resolved_by_unique_intersection,very_high,resolved
90,penciclovir,CIDm00004725,resolved,CHEMBL1540,"[""CHEMBL1540""]",multiple_structure_matches,"[""CHEMBL1540"",""CHEMBL2079793""]","[""CHEMBL1540""]",CHEMBL1540,confirmed_name_structure,very_high,resolved
91,tenofovir.disoproxil,CIDm05481350,ambiguous,"",[],stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
92,flucloxacillin,CIDm00021319,resolved,CHEMBL222645,"[""CHEMBL222645""]",stitch_not_found,[],[],CHEMBL222645,name_only_resolved,high,resolved
93,tranexamic.acid,CIDm00005526,resolved,CHEMBL877,[],stitch_found_no_optimuskg_match,[],[],CHEMBL877,name_only_resolved,high,resolved
94,ertapenem,CIDm00150610,resolved,CHEMBL1359,"[""CHEMBL1359""]",unique_structure_match,"[""CHEMBL1359""]","[""CHEMBL1359""]",CHEMBL1359,confirmed_name_structure,very_high,resolved
