matrix_index,drug_name,stitch_id,optimuskg_id,optimuskg_name,mapping_method,mapping_confidence,candidate_count,resolution_status
665,lanreotide,CIDm00071348,"","","","",2,ambiguous
666,lanthanum.carbonate,CIDm00168924,"","","","",2,ambiguous
673,lurasidone,CIDm00213046,"","","","",2,ambiguous
683,tesamorelin,CIDm44201342,"","","","",2,ambiguous
699,teduglutide,CIDm70683012,"","","","",2,ambiguous
731,saccharated.iron.oxide,CIDm06850789,"","","","",2,ambiguous
735,technetium.(99mTc).tetrofosmin,CIDm00004274,"","","","",0,unmatched
740,iotrolan,CIDm00003738,"","","","",0,unmatched
742,desirudin,CIDm16129703,"","","","",2,ambiguous
744,colestilan,CIDm00065840,"","","","",2,ambiguous
748,atracurium,CIDm00047319,"","","","",2,ambiguous
749,mifamurtide,CIDm11672602,"","","","",2,ambiguous
750,fluticasone,CIDm05311101,"","","","",3,ambiguous
756,ceftobiprole.medocaril,CIDm12993649,"","","","",3,ambiguous
