node_id,node_type,name,source
BIOKORF_DRUG_121,BIOKORF_DRUG,vinorelbine,BioKORF
BIOKORF_DRUG_122,BIOKORF_DRUG,anidulafungin,BioKORF
BIOKORF_DRUG_123,BIOKORF_DRUG,clozapine,BioKORF
BIOKORF_DRUG_124,BIOKORF_DRUG,levonorgestrel,BioKORF
BIOKORF_DRUG_125,BIOKORF_DRUG,cidofovir,BioKORF
BIOKORF_DRUG_126,BIOKORF_DRUG,mirtazapine,BioKORF
BIOKORF_DRUG_127,BIOKORF_DRUG,timolol,BioKORF
BIOKORF_DRUG_128,BIOKORF_DRUG,treprostinil,BioKORF
BIOKORF_DRUG_129,BIOKORF_DRUG,palonosetron,BioKORF
BIOKORF_DRUG_130,BIOKORF_DRUG,mexiletine,BioKORF
BIOKORF_DRUG_131,BIOKORF_DRUG,dexrazoxane,BioKORF
BIOKORF_DRUG_132,BIOKORF_DRUG,amlodipine,BioKORF
BIOKORF_DRUG_133,BIOKORF_DRUG,digoxin,BioKORF
BIOKORF_DRUG_134,BIOKORF_DRUG,nimodipine,BioKORF
BIOKORF_DRUG_135,BIOKORF_DRUG,beclometasone,BioKORF
BIOKORF_DRUG_136,BIOKORF_DRUG,progesterone,BioKORF
BIOKORF_DRUG_137,BIOKORF_DRUG,sorafenib,BioKORF
BIOKORF_DRUG_138,BIOKORF_DRUG,zoledronic.acid,BioKORF
BIOKORF_DRUG_139,BIOKORF_DRUG,nisoldipine,BioKORF
BIOKORF_DRUG_140,BIOKORF_DRUG,eszopiclone,BioKORF
BIOKORF_DRUG_141,BIOKORF_DRUG,alprazolam,BioKORF
BIOKORF_DRUG_142,BIOKORF_DRUG,loxapine,BioKORF
BIOKORF_DRUG_143,BIOKORF_DRUG,mupirocin,BioKORF
BIOKORF_DRUG_144,BIOKORF_DRUG,rosiglitazone,BioKORF
BIOKORF_DRUG_145,BIOKORF_DRUG,pramipexole,BioKORF
BIOKORF_DRUG_146,BIOKORF_DRUG,miglustat,BioKORF
BIOKORF_DRUG_147,BIOKORF_DRUG,methylphenidate,BioKORF
