source_drug_index,target_drug_index,edge_value,kg_structure_score,gene_jaccard,pathway_jaccard,task_similarity,normalized_task_similarity,combined_score,task_overlap_count,edge_origin
9,42,1.0,0.0,0.0,0.0,1.0,1.0,,4,TASK_ONLY_EXPLICIT
9,82,1.0,0.0,0.0,0.0,1.0,1.0,,5,TASK_ONLY_EXPLICIT
9,86,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,4,TASK_ONLY_EXPLICIT
9,89,1.0,0.0,0.0,0.0,1.0,1.0,,3,TASK_ONLY_EXPLICIT
9,93,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
9,133,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
9,171,1.0,,,,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
9,189,1.0,0.0,0.0,0.0,1.0,1.0,,4,TASK_ONLY_EXPLICIT
10,349,0.9364357804719847,0.0,0.0,0.0,0.8728715609439696,0.9364357804719847,,4,TASK_ONLY_EXPLICIT
10,323,0.9330127018922194,0.0,0.0,0.0,0.8660254037844387,0.9330127018922194,,4,TASK_ONLY_EXPLICIT
10,423,0.9330127018922194,0.0,0.0,0.0,0.8660254037844387,0.9330127018922194,,3,TASK_ONLY_EXPLICIT
10,747,0.9330127018922194,,,,0.8660254037844387,0.9330127018922194,,4,TASK_ONLY_EXPLICIT
10,19,0.9082482904638631,,,,0.8164965809277261,0.9082482904638631,,6,TASK_ONLY_EXPLICIT
10,390,0.9082482904638629,0.0,0.0,0.0,0.8164965809277259,0.9082482904638629,,6,TASK_ONLY_EXPLICIT
10,733,0.9082482904638629,0.0,0.0,0.0,0.8164965809277259,0.9082482904638629,,3,TASK_ONLY_EXPLICIT
10,615,0.8922322702763681,,,,0.7844645405527361,0.8922322702763681,,4,TASK_ONLY_EXPLICIT
10,740,0.875,,,,0.7499999999999999,0.875,,5,TASK_ONLY_EXPLICIT
10,190,0.8535533905932737,0.0,0.0,0.0,0.7071067811865475,0.8535533905932737,,3,TASK_ONLY_EXPLICIT
11,131,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
11,674,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
11,747,1.0,,,,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
11,247,0.9714045207910318,0.0,0.0,0.0,0.9428090415820635,0.9714045207910318,,3,TASK_ONLY_EXPLICIT
11,463,0.9518480570575321,0.0,0.0,0.0,0.903696114115064,0.9518480570575321,,7,TASK_ONLY_EXPLICIT
11,1,0.9330127018922194,,,,0.8660254037844387,0.9330127018922194,,4,TASK_ONLY_EXPLICIT
11,67,0.9330127018922194,0.0,0.0,0.0,0.8660254037844387,0.9330127018922194,,4,TASK_ONLY_EXPLICIT
11,68,0.9330127018922194,0.0,0.0,0.0,0.8660254037844387,0.9330127018922194,,4,TASK_ONLY_EXPLICIT
11,96,0.9330127018922194,0.0,0.0,0.0,0.8660254037844387,0.9330127018922194,,4,TASK_ONLY_EXPLICIT
11,541,0.9082482904638631,,,,0.8164965809277261,0.9082482904638631,,4,TASK_ONLY_EXPLICIT
12,9,1.0,,,,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
12,86,1.0,0.0,0.0,0.0,0.9999999999999999,1.0,,4,TASK_ONLY_EXPLICIT
12,89,1.0,0.0,0.0,0.0,1.0,1.0,,5,TASK_ONLY_EXPLICIT
12,134,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
12,152,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
12,345,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
12,347,1.0,0.0,0.0,0.0,1.0,1.0,,7,TASK_ONLY_EXPLICIT
12,373,1.0,0.0,0.0,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_EXPLICIT
12,396,1.0,0.0,0.0,0.0,0.9999999999999999,1.0,,7,TASK_ONLY_EXPLICIT
12,483,1.0,0.0,0.0,0.0,1.0,1.0,,4,TASK_ONLY_EXPLICIT
13,1,1.0,,,,1.0,1.0,,11,TASK_ONLY_EXPLICIT
13,29,1.0,0.0,0.0,0.0,1.0,1.0,,4,TASK_ONLY_EXPLICIT
13,38,1.0,0.0,0.0,0.0,1.0,1.0,,4,TASK_ONLY_EXPLICIT
13,46,1.0,0.0,0.0,0.0,0.9999999999999999,1.0,,7,TASK_ONLY_EXPLICIT
