matrix_index,biokorf_drug_id,drug_name,gene_count,pathway_count,has_gene_evidence,has_pathway_evidence
291,BIOKORF_DRUG_291,lisinopril,0,0,False,False
292,BIOKORF_DRUG_292,imiquimod,3,18,True,True
293,BIOKORF_DRUG_293,glyceryl.trinitrate,2,5,True,True
294,BIOKORF_DRUG_294,nateglinide,16,45,True,True
295,BIOKORF_DRUG_295,risperidone,17,36,True,True
296,BIOKORF_DRUG_296,naftifine,0,0,False,False
297,BIOKORF_DRUG_297,esomeprazole,6,16,True,True
298,BIOKORF_DRUG_298,pentamidine.isethionate,0,0,False,False
299,BIOKORF_DRUG_299,riluzole,5,23,True,True
300,BIOKORF_DRUG_300,hydrocortisone,22,41,True,True
301,BIOKORF_DRUG_301,mannitol,0,0,False,False
302,BIOKORF_DRUG_302,gadobenic.acid,0,0,False,False
303,BIOKORF_DRUG_303,modafinil,8,21,True,True
304,BIOKORF_DRUG_304,deferoxamine,2,20,True,True
305,BIOKORF_DRUG_305,tretinoin,31,67,True,True
306,BIOKORF_DRUG_306,dolasetron,4,13,True,True
307,BIOKORF_DRUG_307,clopidogrel,12,26,True,True
308,BIOKORF_DRUG_308,meropenem,0,0,False,False
309,BIOKORF_DRUG_309,irinotecan,18,41,True,True
310,BIOKORF_DRUG_310,olopatadine,13,35,True,True
311,BIOKORF_DRUG_311,alprostadil,9,15,True,True
312,BIOKORF_DRUG_312,etoposide,18,45,True,True
313,BIOKORF_DRUG_313,tirofiban,2,23,True,True
314,BIOKORF_DRUG_314,oxcarbazepine,25,31,True,True
315,BIOKORF_DRUG_315,estradiol,41,81,True,True
316,BIOKORF_DRUG_316,aciclovir,26,40,True,True
317,BIOKORF_DRUG_317,naproxen,18,41,True,True
318,BIOKORF_DRUG_318,perindopril,5,6,True,True
319,BIOKORF_DRUG_319,sulfasalazine,16,100,True,True
320,BIOKORF_DRUG_320,tazarotene,5,19,True,True
321,BIOKORF_DRUG_321,alfentanil,7,26,True,True
322,BIOKORF_DRUG_322,dicycloverine,2,5,True,True
323,BIOKORF_DRUG_323,pentoxifylline,4,16,True,True
324,BIOKORF_DRUG_324,indapamide,6,20,True,True
325,BIOKORF_DRUG_325,ribavirin,6,9,True,True
326,BIOKORF_DRUG_326,fentanyl,9,26,True,True
327,BIOKORF_DRUG_327,meloxicam,8,34,True,True
328,BIOKORF_DRUG_328,orciprenaline,1,5,True,True
329,BIOKORF_DRUG_329,tadalafil,4,11,True,True
330,BIOKORF_DRUG_330,fosfomycin,0,0,False,False
331,BIOKORF_DRUG_331,diazepam,28,28,True,True
332,BIOKORF_DRUG_332,cefaclor,0,0,False,False
333,BIOKORF_DRUG_333,mifepristone,14,39,True,True
334,BIOKORF_DRUG_334,donepezil,19,73,True,True
335,BIOKORF_DRUG_335,mercaptamine,3,16,True,True
336,BIOKORF_DRUG_336,dacarbazine,5,23,True,True
337,BIOKORF_DRUG_337,temozolomide,0,0,False,False
338,BIOKORF_DRUG_338,aminolevulinic.acid,3,3,True,True
339,BIOKORF_DRUG_339,terbinafine,11,30,True,True
340,BIOKORF_DRUG_340,penicillamine,1,5,True,True
341,BIOKORF_DRUG_341,vardenafil,6,15,True,True
342,BIOKORF_DRUG_342,tacrolimus,0,0,False,False
343,BIOKORF_DRUG_343,terbutaline,4,9,True,True
344,BIOKORF_DRUG_344,conivaptan,4,17,True,True
345,BIOKORF_DRUG_345,eprosartan,2,10,True,True
346,BIOKORF_DRUG_346,sirolimus,9,81,True,True
347,BIOKORF_DRUG_347,emtricitabine,3,15,True,True
348,BIOKORF_DRUG_348,quinapril,6,17,True,True
349,BIOKORF_DRUG_349,clomifene,4,22,True,True
350,BIOKORF_DRUG_350,risedronic.acid,2,10,True,True
351,BIOKORF_DRUG_351,bumetanide,12,26,True,True
352,BIOKORF_DRUG_352,chlormethine,1,4,True,True
353,BIOKORF_DRUG_353,granisetron,0,0,False,False
354,BIOKORF_DRUG_354,triazolam,20,12,True,True
355,BIOKORF_DRUG_355,remifentanil,3,6,True,True
356,BIOKORF_DRUG_356,didanosine,5,20,True,True
357,BIOKORF_DRUG_357,ondansetron,12,25,True,True
358,BIOKORF_DRUG_358,bimatoprost,5,10,True,True
359,BIOKORF_DRUG_359,tiagabine,3,13,True,True
360,BIOKORF_DRUG_360,quinidine,28,51,True,True
361,BIOKORF_DRUG_361,zonisamide,37,37,True,True
362,BIOKORF_DRUG_362,paricalcitol,4,15,True,True
363,BIOKORF_DRUG_363,tinidazole,2,10,True,True
364,BIOKORF_DRUG_364,repaglinide,7,35,True,True
365,BIOKORF_DRUG_365,amantadine,9,14,True,True
366,BIOKORF_DRUG_366,metronidazole,8,16,True,True
367,BIOKORF_DRUG_367,almotriptan,9,25,True,True
368,BIOKORF_DRUG_368,buprenorphine,0,0,False,False
369,BIOKORF_DRUG_369,levosimendan,4,8,True,True
370,BIOKORF_DRUG_370,cyclobenzaprine,15,52,True,True
371,BIOKORF_DRUG_371,famotidine,6,17,True,True
372,BIOKORF_DRUG_372,azacitidine,2,9,True,True
373,BIOKORF_DRUG_373,misoprostol,4,4,True,True
374,BIOKORF_DRUG_374,colesevelam,0,0,False,False
375,BIOKORF_DRUG_375,tipranavir,9,24,True,True
376,BIOKORF_DRUG_376,maprotiline,20,33,True,True
377,BIOKORF_DRUG_377,salmeterol,13,31,True,True
378,BIOKORF_DRUG_378,fulvestrant,3,26,True,True
379,BIOKORF_DRUG_379,felbamate,6,22,True,True
380,BIOKORF_DRUG_380,fexofenadine,12,25,True,True
381,BIOKORF_DRUG_381,naratriptan,5,10,True,True
382,BIOKORF_DRUG_382,rizatriptan,4,10,True,True
383,BIOKORF_DRUG_383,hydrocodone,7,19,True,True
384,BIOKORF_DRUG_384,carboplatin,0,0,False,False
385,BIOKORF_DRUG_385,pindolol,6,13,True,True
386,BIOKORF_DRUG_386,zaleplon,5,10,True,True
387,BIOKORF_DRUG_387,apraclonidine,3,8,True,True
388,BIOKORF_DRUG_388,telmisartan,8,35,True,True
389,BIOKORF_DRUG_389,desloratadine,2,6,True,True
390,BIOKORF_DRUG_390,alosetron,5,15,True,True
391,BIOKORF_DRUG_391,azelastine,16,34,True,True
392,BIOKORF_DRUG_392,ezetimibe,15,33,True,True
393,BIOKORF_DRUG_393,dipyridamole,13,25,True,True
394,BIOKORF_DRUG_394,telithromycin,3,12,True,True
395,BIOKORF_DRUG_395,lomefloxacin,4,18,True,True
396,BIOKORF_DRUG_396,ramelteon,6,15,True,True
397,BIOKORF_DRUG_397,isotretinoin,4,23,True,True
398,BIOKORF_DRUG_398,formoterol,17,35,True,True
399,BIOKORF_DRUG_399,glycopyrronium.bromide,0,0,False,False
400,BIOKORF_DRUG_400,cytarabine,9,27,True,True
401,BIOKORF_DRUG_401,rivastigmine,2,4,True,True
402,BIOKORF_DRUG_402,exemestane,2,10,True,True
403,BIOKORF_DRUG_403,methyl.aminolevulinate,0,0,False,False
404,BIOKORF_DRUG_404,azathioprine,18,81,True,True
405,BIOKORF_DRUG_405,auranofin,0,0,False,False
406,BIOKORF_DRUG_406,gabapentin,8,15,True,True
407,BIOKORF_DRUG_407,doxorubicin,31,73,True,True
408,BIOKORF_DRUG_408,frovatriptan,3,9,True,True
409,BIOKORF_DRUG_409,hydrochlorothiazide,7,22,True,True
410,BIOKORF_DRUG_410,salbutamol,4,12,True,True
